col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
0,0,0,localizer,False,1,RIGHT,eye,1,0,0.75,0.893,0.0,0.8,0,0.0,3.557,6.0,0.0,0.75,1.643,0.0,0.75,1.643
1,1,0,localizer,False,0,LEFT,eye,0,0,0.0,1.351,0.0,0.8,0,0.0,3.849,6.0,6.0,6.0,7.351,6.0,6.0,7.351
2,2,0,localizer,False,0,LEFT,eye,0,0,0.0,0.877,0.0,0.8,0,0.0,4.323,6.0,12.0,12.0,12.877,12.0,12.0,12.877
3,3,0,localizer,False,1,RIGHT,eye,1,0,2.25,2.112,0.0,0.8,0,0.0,0.838,6.0,18.0,20.25,22.362,18.0,20.25,22.362
4,4,0,localizer,False,0,LEFT,eye,0,0,2.25,0.919,0.0,0.8,0,0.0,2.031,6.0,24.0,26.25,27.169,24.0,26.25,27.169
5,5,0,localizer,False,1,RIGHT,eye,1,0,1.5,0.848,0.0,0.8,0,0.0,2.852,6.0,30.0,31.5,32.348,30.0,31.5,32.348
6,6,0,localizer,False,0,LEFT,eye,0,0,2.25,0.967,0.0,0.8,0,0.0,1.983,6.0,36.0,38.25,39.217,36.0,38.25,39.217
7,7,0,localizer,False,1,RIGHT,eye,1,0,2.25,0.928,0.0,0.8,0,0.0,2.022,6.0,42.0,44.25,45.178,42.0,44.25,45.178
8,0,0,localizer,False,0,LEFT,hand,0,0,1.5,1.156,0.0,0.8,0,0.0,2.544,6.0,48.0,49.5,50.656,0.0,1.5,2.656
9,1,0,localizer,False,0,LEFT,hand,0,0,2.25,1.157,0.0,0.8,0,0.0,1.793,6.0,54.0,56.25,57.407,6.0,8.25,9.407
10,2,0,localizer,False,1,RIGHT,hand,1,0,2.25,1.311,0.0,0.8,0,0.0,1.639,6.0,60.0,62.25,63.561,12.0,14.25,15.561
11,3,0,localizer,False,1,RIGHT,hand,1,0,0.75,1.692,0.0,0.8,0,0.0,2.758,6.0,66.0,66.75,68.442,18.0,18.75,20.442
