col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55
17,6591,Which party will win Alaska in the 2020 presidential election?,22094,Democratic,0.04,0.97,0.03,0.96,Alaska,Biden,,,,26,26,26.0,1.0,,,,0.04,0.04,135418,72193,2020,Gravis Marketing,U.S. President,10/28/20,11/3/20,2020-10-29 09:00:00,general,6211,13256,Joseph R. Biden Jr.,DEM,43.0,2,,,,,0.20045,44.47366,51.31996,37.68246,0.9644549,0.2607127,0.050925,2020-11-03,0.04,0.04,0.0,0.16,0.16,0.15
16,6591,Which party will win Alaska in the 2020 presidential election?,22093,Republican,0.97,0.04,0.96,0.03,Alaska,Trump,,,,1/50,1/50,1.0,50.0,,,,0.98,0.98,135418,72193,2020,Gravis Marketing,U.S. President,10/28/20,11/3/20,2020-10-29 09:00:00,general,6211,13254,Donald Trump,REP,52.0,2,,,,,0.79955,53.23496,60.05662,46.41244,0.3084548,0.9724002,0.949075,2020-11-03,0.98,0.97,0.01,-0.17,-0.18,-0.15
8,5596,Which party will win Arizona in the 2020 presidential election?,16000,Democratic,0.88,0.14,0.86,0.12,Arizona,Biden,1/9,1/18,1/18,2/15,1/8,1.0,8.0,0.9,0.95,0.95,0.88,0.89,136546,72764,2020,Swayable,U.S. President,11/1/20,11/3/20,2020-11-02 22:12:00,general,6214,13256,Joseph R. Biden Jr.,DEM,50.6,2,,,,,0.6449,50.84793,56.32649,45.32137,0.9328966,0.8113347,0.7315125,2020-11-03,0.91,0.86,0.03,-0.24,-0.27,-0.09
9,5596,Which party will win Arizona in the 2020 presidential election?,15999,Republican,0.16,0.86,0.14,0.84,Arizona,Trump,5,13/2,13/2,29/5,29/5,29.0,5.0,0.17,0.13,0.13,0.15,0.15,136546,72764,2020,Swayable,U.S. President,11/1/20,11/3/20,2020-11-02 22:12:00,general,6214,13254,Donald Trump,REP,45.7,2,,,,,0.3551,47.77705,53.30115,42.30933,0.6010983,0.8415968,0.2684875,2020-11-03,0.15,0.14,-0.01,0.2,0.21,0.09
5,5544,Which party will win Florida in the 2020 presidential election?,15707,Democratic,0.01,0.0,0.0,0.99,Florida,Biden,,,,,,,,,,,,,136593,72795,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:46:00,general,6220,13256,Joseph R. Biden Jr.,DEM,47.2,2,,,,,0.603175,50.55055,55.45869,45.63984,0.982675,0.7993324,0.799775,2020-11-03,,0.01,,0.59,,-0.2
4,5544,Which party will win Florida in the 2020 presidential election?,15706,Republican,0.0,0.01,0.99,0.0,Florida,Trump,,,,,,,,,,,,,136593,72795,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:46:00,general,6220,13254,Donald Trump,REP,50.1,2,,,,,0.396825,48.64365,53.55636,43.73392,0.6136206,0.9600788,0.200225,2020-11-03,,0.0,,0.4,,0.2
14,5604,Which party will win Georgia in the 2020 presidential election?,16016,Democratic,0.9,0.11,0.89,0.1,Georgia,Biden,1/12,1/16,1/16,1/12,1/12,1.0,12.0,0.92,0.94,0.94,0.92,0.92,136596,72798,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:47:00,general,6221,13256,Joseph R. Biden Jr.,DEM,46.9,2,,,,,0.322575,48.057190000000006,52.46677,43.68352,0.9899248,0.4306327999999999,0.5829875,2020-11-03,0.93,0.9,0.03,-0.58,-0.61,-0.26
15,5604,Which party will win Georgia in the 2020 presidential election?,16015,Republican,0.12,0.9,0.1,0.88,Georgia,Trump,6,13/2,13/2,46/5,43/5,43.0,5.0,0.14,0.13,0.13,0.1,0.1,136596,72798,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:47:00,general,6221,13254,Donald Trump,REP,49.4,2,,,,,0.677425,51.09085,55.47226,46.70806,0.3699302,0.9880729,0.4170125,2020-11-03,0.12,0.11,0.0,0.56,0.56,0.26
6,5545,Which party will win Michigan in the 2020 presidential election?,15709,Democratic,0.93,0.08,0.92,0.07,Michigan,Biden,,,,,,,,,,,,,136598,72800,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:47:00,general,6233,13256,Joseph R. Biden Jr.,DEM,48.4,2,,,,,0.84965,53.24591,57.99822,48.49506,0.8650621,0.9912006,0.9837875,2020-11-03,,0.91,,-0.08,,-0.13
7,5545,Which party will win Michigan in the 2020 presidential election?,15708,Republican,0.1,0.91,0.09,0.9,Michigan,Trump,,,,,,,,,,,,,136598,72800,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:47:00,general,6233,13254,Donald Trump,REP,48.1,2,,,,,0.15035,45.59146,50.35682,40.84418,0.9549385,0.5660917,0.0162124999999999,2020-11-03,,0.08,,0.05,,0.13
12,5601,Which party will win Nevada in the 2020 presidential election?,16010,Democratic,0.94,0.07,0.93,0.06,Nevada,Biden,1/50,,,1/33,1/33,1.0,33.0,0.98,,,0.97,0.97,136489,72720,2020,Data for Progress,U.S. President,11/1/20,11/3/20,2020-11-02 18:53:00,general,6244,13256,Joseph R. Biden Jr.,DEM,51.0,2,,,,,0.79945,52.33231,57.37112,47.24796,0.8866096,0.9558679,0.947875,2020-11-03,0.97,0.93,0.03,-0.14,-0.17,-0.15
13,5601,Which party will win Nevada in the 2020 presidential election?,16009,Republican,0.08,0.93,0.07,0.92,Nevada,Trump,12,,,25,25,25.0,1.0,0.08,,,0.04,0.04,136489,72720,2020,Data for Progress,U.S. President,11/1/20,11/3/20,2020-11-02 18:53:00,general,6244,13254,Donald Trump,REP,44.0,2,,,,,0.20055,45.79325,50.88303,40.77061,0.833084,0.6587481,0.0521249999999999,2020-11-03,0.05,0.07,-0.03,0.12,0.15,0.15
11,5599,Which party will win North Carolina in the 2020 presidential election?,16006,Democratic,0.05,0.97,0.03,0.95,North Carolina,Biden,6,,,39/5,39/5,39.0,5.0,0.14,,,0.11,0.11,136594,72796,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:46:00,general,6238,13256,Joseph R. Biden Jr.,DEM,47.2,2,,,,,0.543525,49.99917,54.70428,45.26941,0.9800837,0.7183844,0.698425,2020-11-03,0.12,0.04,0.07,0.49,0.42,-0.15
10,5599,Which party will win North Carolina in the 2020 presidential election?,16005,Republican,0.97,0.04,0.96,0.03,North Carolina,Trump,1/12,,,1/16,1/33,1.0,33.0,0.92,,,0.94,0.97,136594,72796,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:46:00,general,6238,13254,Donald Trump,REP,49.4,2,,,,,0.456475,49.21736,53.93476999999999,44.49616,0.5327784000000001,0.958896,0.301575,2020-11-03,0.94,0.97,-0.03,-0.51,-0.48,0.15
2,5543,Which party will win Pennsylvania in the 2020 presidential election?,15705,Democratic,0.91,0.1,0.9,0.09,Pennsylvania,Biden,1/50,1/66,1/66,1/25,1/25,1.0,25.0,0.98,0.99,0.99,0.96,0.96,136597,72799,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:47:00,general,6249,13256,Joseph R. Biden Jr.,DEM,46.9,2,,,,,0.73585,51.81283,56.31986,47.28101,0.9585174,0.9511817,0.947025,2020-11-03,0.98,0.9,0.07,-0.17,-0.24,-0.21
3,5543,Which party will win Pennsylvania in the 2020 presidential election?,15704,Republican,0.11,0.9,0.1,0.89,Pennsylvania,Trump,12,11,11,93/5,93/5,93.0,5.0,0.08,0.08,0.08,0.05,0.05,136597,72799,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:47:00,general,6249,13254,Donald Trump,REP,49.0,2,,,,,0.26415,47.445040000000006,51.99406,42.9451,0.8518834000000001,0.8872351,0.0529749999999999,2020-11-03,0.07,0.1,-0.04,0.15,0.19,0.21
0,5542,Which party will win Wisconsin in the 2020 presidential election?,15703,Democratic,0.92,0.09,0.91,0.08,Wisconsin,Biden,,,,1/25,,0.0,1.0,,,,0.96,,136558,72776,2020,Swayable,U.S. President,11/1/20,11/3/20,2020-11-02 22:14:00,general,6259,13256,Joseph R. Biden Jr.,DEM,54.6,2,,,,,0.7726,52.39842,57.45681,47.35397,0.9202692,0.9588348,0.9801125,2020-11-03,0.96,0.92,0.04,-0.15,-0.19,-0.21
1,5542,Which party will win Wisconsin in the 2020 presidential election?,15702,Republican,0.1,0.92,0.08,0.9,Wisconsin,Trump,,,,93/5,,0.0,1.0,,,,0.05,,136558,72776,2020,Swayable,U.S. President,11/1/20,11/3/20,2020-11-02 22:14:00,general,6259,13254,Donald Trump,REP,44.9,2,,,,,0.2274,46.58801,51.65123,41.53747,0.8603781999999999,0.7714145,0.0198874999999999,2020-11-03,0.05,0.09,-0.05,0.13,0.18,0.21
