col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
1,1,1,111,High Performance Server,10,1,2500.0,25000.0,True,True,1
2,1,2,121,Laser Printer,6,1,429.0,2574.0,True,True,1
3,2,1,110,Classic server,18,1,1500.0,27000.0,True,True,1
4,2,2,120,InkJet Printer,2,1,329.0,658.0,True,True,1
5,3,1,120,InkJet Printer,14,1,329.0,4606.0,True,True,1
6,3,2,110,Classic server,1,1,1500.0,1500.0,True,True,1
7,4,1,121,Laser Printer,8,1,429.0,3432.0,True,True,1
8,4,2,111,High Performance Server,5,1,2500.0,12500.0,True,True,1
9,5,1,111,High Performance Server,10,1,2500.0,25000.0,True,True,1
10,5,2,110,Classic server,4,1,1500.0,6000.0,True,True,1
11,5,3,121,Laser Printer,10,1,429.0,4290.0,True,True,1
12,5,4,303,Laser Cartridge,12,1,84.5,1014.0,True,True,1
13,5,5,304,Paper ream 500 Sheets A4 Standard 80 g,20,1,6.99,139.8,True,True,1
14,6,1,411,Consultant,15,103,800.0,12000.0,True,True,3
15,7,1,111,High Performance Server,3,1,2500.0,7500.0,True,True,1
16,7,2,110,Classic server,3,1,1500.0,4500.0,True,True,1
17,7,3,400,Project Study,1,1,8000.0,8000.0,True,True,3
18,8,1,410,Project Manager,10,103,1000.0,10000.0,True,True,3
19,8,2,111,High Performance Server,2,1,2500.0,5000.0,True,True,1
20,8,3,110,Classic server,1,1,1500.0,1500.0,True,True,1
21,8,4,121,Laser Printer,4,1,429.0,1716.0,True,True,1
22,8,5,2,Annual Maintenance,1,106,2000.0,2000.0,True,True,1
23,9,1,400,Project Study,1,1,8000.0,8000.0,True,True,3
24,9,2,410,Project Manager,20,103,1000.0,20000.0,True,True,3
25,10,1,120,InkJet Printer,1,1,329.0,329.0,True,True,1
26,10,2,302,Ink Cartridge,4,1,32.9,131.6,True,True,1
27,11,1,120,InkJet Printer,5,1,329.0,1645.0,True,True,1
28,11,2,302,Ink Cartridge,15,1,32.9,493.5,True,True,1
29,11,3,121,Laser Printer,3,1,429.0,1287.0,True,True,1
30,11,4,303,Laser Cartridge,6,1,84.5,507.0,True,True,1
