col0,col1,col2
1,1,11020
2,2,11592
3,3,12143
4,1,12352
5,1,10956
6,4,10178
7,5,12648
8,1,11327
9,6,13323
10,7,11665
11,8,11538
12,9,11550
13,11,11824
14,1,12611
15,1,13903
16,12,13961
17,1,11047
18,1,14056
19,1,14201
20,1,14199
21,1,13998
22,1,11918
23,1,10152
24,1,12049
25,1,10648
26,1,10694
27,12,13937
28,12,13933
29,1,14400
30,13,12373
31,13,13411
32,13,13412
33,13,13413
34,14,13360
35,5,13396
36,15,13430
37,15,13435
38,15,13440
39,15,14236
41,17,14507
42,18,14508
43,16,12460
44,19,14683
45,19,14684
46,19,14685
47,15,14210
49,20,11466
50,21,13537
51,22,12012
52,22,12222
53,23,13604
54,25,10594
55,25,11216
57,26,10154
58,27,11504
59,30,10104
60,30,11353
61,30,12002
62,30,10712
63,31,14760
64,34,10594
65,34,11216
67,35,15194
68,37,15220
69,36,15263
70,15,15266
71,25,15305
72,38,11216
73,38,11637
74,38,11216
75,38,11403
76,39,10134
77,40,10409
78,38,11635
79,38,11635
80,38,11637
81,38,11637
82,1,13863
83,42,15956
84,42,15305
85,42,11216
86,42,10594
88,25,13719
89,42,13167
90,42,13166
91,42,15718
92,42,15715
93,42,15707
94,42,15709
95,15,16160
96,44,15875
97,45,16131
98,46,16204
99,47,15988
100,48,15701
103,49,16280
104,15,16800
105,15,17073
106,51,12705
107,52,12705
108,52,12610
109,15,17229
110,25,17063
112,22,12138
113,25,16287
114,15,17624
115,15,17663
116,15,17657
117,15,17666
118,15,17675
119,15,17676
122,42,17970
123,42,15857
124,42,18027
125,42,18030
126,42,13395
127,42,12847
128,42,12856
129,42,12863
130,42,13392
131,34,17046
132,34,16287
133,34,13719
134,58,12034
135,59,10665
136,60,13350
137,62,12388
138,63,11500
139,63,11656
140,22,11537
143,22,11574
144,66,17464
145,67,16825
146,68,11036
147,69,16825
148,70,14068
149,70,17517
150,71,14043
151,72,13397
152,22,13886
153,73,13237
154,75,11641
155,76,15507
156,74,12077
157,77,13886
158,78,14311
159,79,12221
166,87,19093
171,15,19167
174,88,17436
175,88,15306
176,15,19331
177,90,19366
178,90,19381
179,90,19379
180,87,19333
182,90,14119
183,13,15660
184,35,15660
186,34,19822
188,3,18449
189,98,18449
192,99,15336
193,48,15703
194,60,18211
195,101,11379
203,101,10534
204,101,10547
205,101,10720
206,101,14929
207,101,16783
208,101,17412
209,101,11991
210,101,17413
211,101,11377
212,101,10546
213,101,16004
214,102,16973
215,103,19954
216,104,20076
217,25,19830
219,42,20144
220,42,20145
221,107,20113
222,108,11429
223,111,11429
224,113,20076
225,25,18349
226,15,16160
227,115,10594
228,115,11216
229,115,15305
230,115,13719
231,115,17063
232,115,16287
233,115,19830
234,115,18349
236,115,10953
237,117,12034
238,120,20256
239,121,15194
240,121,13985
241,121,13986
242,121,13987
243,121,13988
244,121,13989
245,122,13315
246,122,11918
249,122,12075
250,121,14604
251,121,14605
252,121,14606
253,121,14607
254,121,14581
255,124,11353
256,124,10104
257,124,10712
258,125,11470
259,126,12034
260,25,11268
261,127,20256
266,117,20676
267,108,20676
268,109,20676
269,111,20676
270,106,20676
271,128,20360
272,35,20720
275,130,20323
276,131,20866
277,34,16975
278,133,20276
279,134,20943
281,59,20981
282,110,20981
283,58,20982
284,126,20982
285,137,20999
286,137,20323
288,139,20999
289,35,21033
290,13,20720
291,13,21033
292,15,21094
294,15,21297
295,142,18377
296,142,20905
297,143,21366
298,143,21498
299,143,21520
302,143,21521
316,149,11918
317,149,13315
318,149,10152
319,149,10694
320,149,12049
321,149,10648
322,149,12075
324,151,21710
325,151,21711
326,152,20165
327,152,20960
328,152,20163
329,152,20164
332,152,20161
333,152,20160
334,153,21472
339,152,22153
340,152,22154
341,13,10594
342,13,21539
343,155,10372
344,156,20256
345,157,20941
346,158,22331
347,160,22335
348,161,22337
349,162,22339
350,159,22334
351,163,10029
352,163,21674
353,163,17962
354,163,17964
355,163,19777
356,163,19778
357,163,19780
358,163,19781
359,163,13565
360,163,14373
361,163,14374
362,163,11021
363,163,14206
364,163,13567
365,163,14205
366,163,17718
367,163,15235
368,163,15236
369,163,14332
370,163,20238
371,163,15658
372,163,17737
373,163,17738
374,163,15176
375,163,15215
376,163,21723
377,163,21725
379,167,22643
380,168,20943
381,169,22293
382,169,22297
383,169,22310
384,169,22484
387,169,22553
388,169,22528
389,169,22483
390,169,22284
391,169,20704
392,170,22213
394,172,17829
396,174,21704
397,175,22759
398,175,22765
399,177,10488
400,177,10082
401,177,10721
402,178,21569
403,15,22854
404,179,22870
405,180,22900
406,105,17675
407,105,17676
409,15,23040
416,15,23264
417,15,23270
419,192,21335
420,192,21416
421,193,21335
422,192,10594
423,192,11216
424,192,11268
425,193,10594
426,193,11216
427,193,11268
429,194,20297
432,198,23146
433,196,23509
434,196,23511
435,197,23510
436,191,23142
438,25,13863
439,201,13863
440,203,11379
441,204,10372
