col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98
578.T5,0,0,0,0,0,0,0,0,0,6083,0,29909,38848,0,0,0,0,0,19288,434919,0,60320,0,0,0,43996,37321,0,60229,0,0,25235,0,1201,0,0,0,61612,14411,0,0,0,7126,0,0,0,0,3287,8085,0,0,0,0,0,0,4007,1781,0,110207,4119,0,0,17,6,0,1,0,0,14,105,0,1,195,1,0,63,19,4,0,7,26,0,6,1,7,1,0,2,22,0,5,118,1,0,105,25,5,Letrozole
580.T5,5245,0,0,6703,6519,0,0,0,0,0,0,0,15738,0,0,0,10767,0,9889,34611,0,0,0,0,0,0,34438,0,0,0,0,3232,0,0,0,0,0,0,0,0,0,0,3273,0,0,4189,0,0,3471,0,0,0,0,0,0,0,0,0,38557,0,0,0,1,0,4,0,0,8,227,433,2,1,2,112,0,2,67,14,12,10,6,2,10,247,2,0,0,1,0,1,0,6,4,4,3,62,5,Letrozole
581.T5,13247,0,0,0,9531,0,0,0,1942,0,34071,0,0,0,0,0,0,0,8395,37765,0,0,0,0,0,38356,78853,0,0,0,0,12487,0,0,0,0,0,0,0,0,0,23640,8175,0,0,6685,0,0,0,0,0,0,0,0,0,0,0,0,43303,2509,22402,0,9,1,2,1,0,4,3,203,5,11,1,1,2,7,66,7,0,19,2,0,4,47,1,0,0,0,0,2,0,38,2,1,1,83,5,Letrozole
582.T5,0,0,0,0,0,0,0,0,0,0,0,0,8514,0,0,0,0,0,0,152752,0,14946,0,0,0,0,78915,0,0,0,0,0,0,0,0,0,0,20083,7669,0,0,0,2045,0,0,0,0,0,4014,0,0,0,0,0,0,0,0,0,31460,0,0,0,0,0,0,4,0,0,271,87,0,4,0,1,2,223,9,10,1,9,100,2,5,65,11,1,1,20,0,17,3,32,0,0,265,136,5,Letrozole
583.T5,0,0,0,0,0,0,0,0,0,0,0,0,22912,0,0,0,0,0,20777,115298,0,3090,0,0,0,0,61734,0,0,0,0,10708,0,0,0,0,0,4934,0,0,0,0,4476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40654,0,0,0,4,1,1,41,0,0,22,121,0,1,48,1,0,65,59,1,0,10,120,0,243,303,2,0,0,1,0,1,9,14,0,0,2,130,5,Letrozole
584.T5,18011,37491,8883,0,23016,0,6406,0,0,0,0,9865,37553,0,0,0,4380,0,0,244871,0,18468,0,0,0,0,26237,7389,9555,0,0,21460,0,0,0,0,13294,25691,7569,0,19329,0,0,3127,0,0,0,1570,0,0,0,0,0,0,0,131702,0,0,55547,3811,0,0,1,0,20,0,1,0,6,511,0,0,0,2,3,2,359,0,69,11,3,0,0,10,9,0,1,1,1,51,0,6,1,0,2,11,5,Letrozole
585.T5,24037,6618,11570,0,0,1915,0,0,0,0,23638,8318,22670,0,0,0,4242,0,0,0,0,0,0,0,0,0,33947,0,0,0,0,14186,0,1431,0,0,4350,0,11522,0,15945,0,4770,0,0,7791,0,0,0,91090,0,0,8036,0,0,0,0,0,49294,3285,0,0,4,0,8,0,1,0,1302,143,2,11,0,5,3,77,63,0,52,5,4,3,0,2,19,0,0,1,1,3,0,34,1,0,2,4,5,Letrozole
586.T5,0,23686,897,0,0,0,0,0,0,0,13236,12651,36385,0,0,0,0,0,0,110448,0,0,0,0,0,0,60986,0,0,0,0,12277,1450,0,0,0,0,25488,13714,0,0,0,0,0,0,0,0,1896,0,4532,0,11201,0,0,0,0,0,0,186922,0,0,0,2,0,0,50,2,0,11,10,0,2,3,1,0,81,26,0,2,3,139,0,98,96,1,0,0,6,0,31,13,48,2,0,0,238,5,Letrozole
589.T5,6925,0,0,3461,0,0,0,0,0,0,47699,0,12515,0,0,0,0,0,9210,0,0,0,0,0,0,0,22600,0,0,0,0,14032,0,0,0,0,0,0,0,7222,12945,0,3396,2597,7867,0,0,0,0,133294,0,0,0,0,0,40749,0,22896,14421,0,5735,0,1,12,5,1,0,2,2,125,1,1,0,0,0,7,15,0,4,4,7,6,0,424,10,4,0,0,0,3,0,2,0,0,0,5,5,Co-L
591.T5,6749,0,7232,0,0,0,0,0,0,0,0,12930,32743,0,0,0,0,0,42965,209677,0,14221,6596,0,0,0,37486,0,0,0,0,19190,0,0,0,0,0,11582,7596,0,5178,0,2507,0,0,0,0,0,3577,0,0,0,7566,4653,0,57597,0,0,88585,1236,0,0,4,0,9,3,39,2,263,228,0,0,0,21,2,5,3,0,0,7,2,3,6,94,11,2,26,1,0,1,0,13,1,3,607,7,5,Co-L
