col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
Aston Martin RapidE,320,G High Charging Combo CCS up to 150 KW,DC ISO IEC 15118-2,150.0,2019,None,,,empty,empty,65,
Audi E tron s,362,G High Charging Combo CCS up to 150 KW,DC ISO IEC 15118-2,150.0,2020,B Type 2 Tri up to 11KW,11.0,IEC 61851-1,SUV,70,86,
Audi Q6,500,G High Charging Combo CCS up to 150 KW,DIN 70121,150.0,2018,None,,,SUV,empty,empty,
BMW i3,130,E Fast Charging Combo CCS up to 50 KW,DIN 70121,50.0,2016,B Type 2 Tri up to 11KW,11.0,IEC 61851-1,hatchback,empty,empty,
BMW i3 2.0,140,E Fast Charging Combo CCS up to 50 KW,DIN 70121,50.0,2017,B Type 2 Tri up to 11KW,11.0,IEC 61851-1,hatchback,40,42,
BMW Mini E,250,E Fast Charging Combo CCS up to 50 KW,DIN 70121,50.0,2019,B Type 2 Tri up to 11KW,11.0,IEC 61851-1,hatchback,empty,33,
Chevrolet Bolt,380,E Fast Charging Combo CCS up to 50 KW,DC ISO IEC 15118-2,50.0,2016,A Type 2 Mono up to 7KW,7.2,IEC 61851-1,Sedan,60,30,
Citroen E Mehari,200,None,,,2016,A Type 2 Mono up to 7KW,7.5,IEC 61851-1,hatchback,30,30,
Citroen Berlingo,110,F CHAdeMO up to 100KW,E CHAdeMO 100KW,50.0,2010,A Type 2 Mono up to 7KW,2.3,,Van,20,empty,
Citroen C  Zero,130,F CHAdeMO up to 100KW,E CHAdeMO 100KW,50.0,2010,A Type 2 Mono up to 7KW,3.7,,hatchback,20,14.5,
Daimler E Smart,120,None,,,2015,C Type 2 Tri up to 22W,22.0,IEC 61851-1,empty,empty,empty,
Daimler Smart ED,110,None,,,2015,C Type 2 Tri up to 22W,22.0,IEC 61851 1,empty,empty,empty,
Daimler EQC,414,G High Charging Combo CCS up to 150 KW,DIN 70121,110.0,2019,B Type 2 Tri up to 11KW,11.0,IEC 61851-1,empty,empty,empty,
Daimler EQV,405,G High Charging Combo CCS up to 150 KW,DIN 70121,110.0,2021,B Type 2 Tri up to 11KW,11.0,IEC 61851-1,Van,empty,90,https:www.automobile_propre.comvoituresmercedes_eqvautonomie
Faraday Future 91,650,G High Charging Combo CCS up to 150 KW,DIN 70121,150.0,2018,None,,,SUV,empty,empty,
Ford focus Electric,207,None,,,2016,A Type 2 Mono up to 7KW,7.5,IEC 61851-1,hatchback,empty,empty,
Ford Focus Electric,165,G High Charging Combo CCS up to 150 KW,DIN 70121,150.0,2013,0 Type 1 Mono up to 3KW,6.6,0 Type 1 Mono up to 3KW,Sedan,40,34,
Ford Model E,500,G High Charging Combo CCS up to 150 KW,DIN 70121,150.0,2019,None,,,empty,empty,empty,
Ford Mustang Mach E,600,G High Charging Combo CCS up to 150 KW,DC ISO IEC 15118-2,115.0,2020,A Type 2 Mono up to 7KW,7.2,IEC 61851-1,Sedan,50,85,
Honda Fit,empty,None,,,2016,A Type 2 Mono up to 7KW,7.5,IEC 61851-1,Sedan,empty,empty,
Honda E,220,G High Charging Combo CCS up to 150 KW,DC ISO IEC 15118-20,100.0,2020,A Type 2 Mono up to 7KW,6.6,IEC 61851-1,hatchback,35,empty,
Hyundai Esuv,320,G High Charging Combo CCS up to 150 KW,DIN 70121,150.0,2018,None,,,empty,empty,empty,
Hyundai Ioniq,140,E Fast Charging Combo CCS up to 50 KW,DIN 70121,50.0,2016,A Type 2 Mono up to 7KW,7.2,IEC 61851-1,Sedan,40,40,
Infinity LE,200,F CHAdeMO up to 100KW,E CHAdeMO 100KW,100.0,2017,None,,,empty,empty,empty,
Jaguar i Pace,450,G High Charging Combo CCS up to 150 KW,DIN 70121,150.0,2017,B Type 2 Tri up to 11KW,11.0,61851-1,Sedan,70,empty,
