col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46
2012,4,2012-04-09.TEX201204090,TEX,,SEA,6,45.2,9.999,99,5.2,8,5,5,4,5,0,1,7.94,30,110,59,13,10,7,13,7,1,0,34,,,0,0,0,25,2,0,0,0,0,0,0.99,-0.192,-2.22,0,32
2012,9,2012-04-14.MIN201204140,TEX,@,MIN,4,45.5,,4,5.2,9,2,1,4,4,0,1,4.76,30,102,60,18,6,11,10,5,0,0,45,,,0,0,0,25,2,0,0,1,0,1,1.69,-0.033,0.15,3,35
2012,13,2012-04-19.DET201204190,TEX,@,DET,7,51.0,9.998,4,6.1,2,1,1,5,5,0,0,3.57,26,121,70,22,9,7,9,2,0,0,65,,,0,0,0,21,1,0,0,0,0,1,1.09,0.169,1.71,3,40
2012,18,2012-04-24.TEX201204240,TEX,,NYY,2,63.9,9.997,4,8.1,7,0,0,2,10,0,0,2.42,33,119,82,23,15,14,7,5,0,0,77,,,0,0,0,31,2,0,0,1,0,0,1.19,0.494,4.3,0,49
2012,23,2012-04-30.TOR201204300,TEX,@,TOR,3,53.2,9.996,5,7.0,4,1,1,2,9,1,1,2.18,27,97,62,18,14,7,8,2,2,0,72,,,0,0,0,24,0,0,0,1,0,0,1.25,0.325,2.54,3,42
2012,28,2012-05-06.CLE201205060,TEX,@,CLE,-2,46.6,3.999,5,6.0,6,4,3,4,11,1,0,2.54,28,112,63,17,18,8,5,1,3,0,53,,,2,0,0,24,1,0,0,0,0,0,0.82,-0.183,-1.21,3,36
2012,33,2012-05-11.TEX201205110,TEX,,LAA,7,44.1,9.995,4,5.1,3,3,3,3,7,2,1,2.84,23,93,57,18,12,3,9,3,2,0,54,,,1,0,0,19,0,0,0,0,0,0,0.33,0.059,-0.32,0,31
2012,38,2012-05-16.TEX201205160,TEX,,OAK,3,58.4,9.994,4,7.2,4,1,1,2,7,0,0,2.6,28,118,73,19,12,9,10,2,1,0,72,,,0,0,0,25,1,0,0,1,1,0,0.8,0.259,2.86,0,44
2012,43,2012-05-21.SEA201205210,TEX,@,SEA,-5,33.4,3.998,4,4.0,4,5,4,6,5,0,0,3.05,22,96,56,17,8,7,4,3,0,0,35,,,0,0,0,15,0,1,0,0,1,0,0.74,-0.265,-3.18,3,24
2012,48,2012-05-27.TEX201205270,TEX,,TOR,6,39.7,9.993,5,5.0,7,3,3,3,3,1,0,3.25,24,93,54,14,8,9,9,3,1,0,41,,,1,0,0,21,2,0,0,1,0,0,0.6,0.099,-0.3,0,27
