col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63
ANDERSON,A,G,A,A,T,T,T,C,C,T,T,G,C,A,C,T,A,A,A,C,C,C,T,C,T,G,C,A,A,C,A,C,A,A,T,C,A,C,C,A,C,G,C,C,T,C,C,A,C,C,A,T,A,T,A,C,C,C,C,C,T,S,B
SAO26,.,.,.,.,.,.,.,.,.,.,C,.,.,.,.,.,.,.,.,.,T,.,C,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,T,.,T,.,T,.,.,.,.,G,.,.,.,.,.,C,.,.,.,.,.,.,.,6,0
SAO171,.,.,.,.,.,.,C,.,.,.,C,.,.,.,.,.,.,.,.,.,T,.,C,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,T,.,T,.,T,.,.,.,.,G,.,.,.,.,.,C,.,.,.,.,.,.,.,1,0
SAO138,.,.,.,.,.,.,.,.,.,.,C,.,.,.,.,.,.,.,.,.,T,.,C,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,T,.,T,.,T,.,.,.,.,.,.,.,.,.,.,C,.,.,.,.,.,.,.,2,0
SAO118,.,.,.,.,.,.,.,.,.,.,.,A,T,.,T,C,.,.,.,.,T,G,C,.,.,.,.,.,.,T,G,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,G,.,.,.,.,.,C,.,T,.,.,.,.,.,2,0
SAO198,.,.,.,.,.,.,.,.,.,.,.,A,T,.,T,C,.,.,.,.,T,A,C,.,.,.,.,G,.,T,G,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,G,.,.,.,.,.,C,.,T,.,.,.,.,.,1,0
SAO160,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,C,.,.,.,.,T,G,C,.,.,.,.,.,.,T,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,C,.,T,.,.,.,.,.,1,0
MAL 46,.,.,.,.,.,C,C,.,.,.,.,.,T,.,.,C,.,.,.,.,T,G,C,.,.,.,.,.,.,T,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,C,.,T,.,.,.,.,.,0,4
SAO121,.,.,.,.,C,.,.,.,.,.,.,.,.,.,.,.,.,C,C,.,.,.,C,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,T,.,.,T,.,.,.,G,.,.,.,.,.,.,.,.,1,0
SAO127,.,.,.,.,C,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,T,.,.,.,G,.,.,.,.,.,.,.,.,1,0
SAO187,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,T,.,.,.,G,.,.,.,.,.,.,.,C,1,0
SAO196,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,T,.,.,.,G,.,.,.,.,.,.,.,.,1,0
MAL 38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,T,.,.,.,.,.,.,T,.,.,.,.,.,T,.,.,.,G,.,.,.,.,.,.,.,.,0,5
MAL 12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,T,.,.,.,G,.,.,.,.,.,.,.,.,0,1
MAL 15,.,.,.,.,.,C,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,T,.,.,.,G,.,.,.,.,.,.,.,.,0,1
MAL 60,.,.,.,.,.,C,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,T,.,.,.,G,.,.,.,.,.,.,.,.,0,1
SAO168,G,.,.,.,.,.,.,.,.,.,.,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,T,.,.,.,G,.,.,.,.,.,.,.,.,1,0
SAO143,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,C,T,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,T,.,.,.,G,.,.,.,.,.,.,.,.,3,0
SAO155,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,C,T,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,1,0
SAO147,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,1,0
