col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42
7440-50-8,CU,copper,VATTEN,0.0236220472440945,,uM,12210,146,Occurrence of additional WFD priority substances in Sweden,Edeboviken 1 Hallstavik,6664839,1654849,,AB,,,KUST,SW08,2013-05-01,,,,,,,,,,,Ytvatten,,,,,,,,,,,,
7440-50-8,CU,copper,VATTEN,0.0283464566929134,,uM,12211,146,Occurrence of additional WFD priority substances in Sweden,Edeboviken 2 Hallstavik,6664041,1655007,,AB,,,KUST,SW09,2012-11-01,,,,,,,,,,,Ytvatten,,,,,,,,,,,,
7440-50-8,CU,copper,VATTEN,0.031496062992126,,uM,12212,146,Occurrence of additional WFD priority substances in Sweden,Edeboviken 3 Hallstavik,6663519,1655019,,AB,,,KUST,SW10,2012-11-01,,,,,,,,,,,Ytvatten,,,,,,,,,,,,
7440-50-8,CU,copper,VATTEN,0.0393700787401575,,uM,12213,146,Occurrence of additional WFD priority substances in Sweden,Edeboviken 4 Hallstavik,6662983,1655116,,AB,,,KUST,SW11,2012-11-01,,,,,,,,,,,Ytvatten,,,,,,,,,,,,
7440-50-8,CU,copper,VATTEN,0.0020472440944881,,uM,4686,39,"Nationell screening, 2007, Nationwide screening of WFD priority substances","Emån utlopp, Ems herrgård",6334000,1542200,882.0,H,SE4,Urb bakgr,,126906,2006-01-01,,,,,,,,,,dgt,,,,,,,,,,,,,
7440-50-8,CU,copper,VATTEN,0.0006771653543307,,uM,4620,39,"Nationell screening, 2007, Nationwide screening of WFD priority substances",Gothemsån utlopp Y07,6391370,1676270,980.0,I,SE4,Urb bakgr,,125107,2006-01-01,,,,,,,,,,dgt,,,,,,,,,,,,,
7440-50-8,CU,copper,VATTEN,0.220472440944882,,uM,4828,41,"Nationell screening, 2007, Platinum group metals",Hanveden,6558715,1632251,,AB,,,,U10301024,2006-01-01,,,,,,,,,,,,,,,,,,,,,,,
7440-50-8,CU,copper,VATTEN,0.393700787401575,,uM,4830,41,"Nationell screening, 2007, Platinum group metals",Linnéaholm,6586293,1625378,,AB,,,,U10301022,2006-01-01,,,,,,,,,,,,,,,,,,,,,,,
7440-50-8,CU,copper,VATTEN,0.0409448818897638,,uM,12306,146,Occurrence of additional WFD priority substances in Sweden,Vesan,6221130,1429098,,K,,,LIMNISK,SW104,2012-11-01,,,,,,,,,,,Ytvatten,,,,,,,,,,,,
7440-50-8,CU,copper,VATTEN,0.15748031496063,,uM,12308,146,Occurrence of additional WFD priority substances in Sweden,Visby ARV,6391627,1647312,980.0,I,,,KUST,SW106,2012-11-01,,,,,,,,,,,Ytvatten,,,,,,,,,,,,
7440-50-8,CU,copper,VATTEN,0.0346456692913386,,uM,12312,146,Occurrence of additional WFD priority substances in Sweden,Åbyån,6226331,1499046,,K,,,LIMNISK,SW110,2012-11-01,,,,,,,,,,,Ytvatten,,,,,,,,,,,,
7440-50-8,CU,copper,VATTEN,0.0267716535433071,,uM,12316,146,Occurrence of additional WFD priority substances in Sweden,Öresund Malmö hamn,6169603,1323959,1280.0,M,,,KUST,SW114,2013-05-01,,,,,,,,,,,Ytvatten,,,,,,,,,,,,
