col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80
"Metadata.AWS::CloudFormation::Interface.ParameterLabels.DnsHostId.default,DNS",Host,Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parameters.DnsEndpoint.Description,The",DNS,endpoint,-,CloudFront,DNS,if,using,CloudFront,else,Public,ELB,DNS,name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metadata.Authors.Description,Darryl",Osborne,(darrylo@amazon.com),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Resources.AWS::Route53::RecordSetGroup.Properties.RecordSets,""[{u'Type':","u'A',",u'AliasTarget':,{u'EvaluateTargetHealth':,"True,",u'HostedZoneId':,"u'DnsHostId',",u'DNSName':,"u'DnsEndpoint'},",u'Name':,"[u'',","[u'www.',","u'WPDomainName',","u'.']]}]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parameters.WPDomainName.Description,The",main,domain,name,of,the,WordPress,site,(e.g.,example.com).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Resources.AWS::Route53::RecordSetGroup.Properties.HostedZoneName,""[u'',","[u'WPDomainName',","u'.']]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parameters.WPDomainName.AllowedPattern,^(?!http)(([a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9\-]*[a-zA-Z0-9])\.)*([A-Za-z0-9]|[A-Za-z0-9][A-Za-z0-9\-]*[A-Za-z0-9])$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metadata.AWS::CloudFormation::Interface.ParameterGroups,""[{u'Parameters':","[u'WPDomainName',","u'DnsEndpoint',","u'DnsHostId'],",u'Label':,{u'default':,u'Route,53,"Parameters'}}]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parameters.DnsEndpoint.AllowedPattern,^(?!http)(([a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9\-]*[a-zA-Z0-9])\.)*([A-Za-z0-9]|[A-Za-z0-9][A-Za-z0-9\-]*[A-Za-z0-9])$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metadata.AWS::CloudFormation::Interface.ParameterLabels.WPDomainName.default,Site",Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parameters.DnsHostId.Description,The",DNS,host,zone,id,-,'Z2FDTNDATAQYW2',if,using,CloudFront,else,Public,ELB,host,zone,id.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parameters.DnsHostId.AllowedPattern,^[A-Z0-9]{14}$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metadata.AWS::CloudFormation::Interface.ParameterLabels.DnsEndpoint.default,DNS",Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
