col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
0,0,TextMandatory,TextMandatory?,Text,,,,,True,,TextMandatory guide,TextMandatory desc
0,1,TextOptional,TextOptional?,Text,,,,,,,TextOptional guide,TextOptional desc
0,2,Date1,Date1?,Date,,,,,,,Date1 guide,Date1 desc
0,3,Date2,Date2?,Date,,,,,,,Date2 guide,Date2 desc
0,4,Time,Time?,Time,,,,,,,Time guide,Time desc
0,5,Time2,Time2?,Time,,,,,,,Time2 guide,Time2 desc
1,0,Choice,Choice?,Choice,,,,,,,Choice guide,Choice desc
1,1,Decimal,Decimal?,Decimal,,,,,,,Decimal guide,Decimal desc
1,2,Integer,Integer?,Integer,5.0,,,,,,Integer guide,Integer desc
1,3,Choice2,Choice2?,Choice,,,,,,,Choice2 guide,Choice2 desc
1,4,Choice3,Choice3?,Choice,,,,,,,Choice3 guide,Choice3 desc
2,0,CYCLE_ID,Cycle_ID?,Text,,,,1.0,True,20.0,Cycle ID guide,Cycle ID desc
2,1,UNIT,Unit?,Integer,100.0,999.0,,,True,,Unit guide,Unit desc
2,2,SITE,Site?,Integer,100.0,999.0,,,True,,Site guide,Site desc
