col0,col1,col2,col3,col4
number,of,configs,found,28.0
--------------------------------------------------------------------------,,,,
BufferSz;RedSz;GreenSz;BlueSz;AlphaSz;AlphaMskSz;RGBText;RGBAText;COLOR_BUFFER_TYPE;EGL_CONFIG_CAVEAT;ID;zDepthSz;FBO_Level;MaxPbufferWidth;MaxPbufferHeight;MaxPbufferPixels;MaxSwapInterval;MinSwapInterval;NativeRender;NativeVisualID;NativeVisualType;RenderType;SampleBuffers;Samples;StencilSz;SurfaceType;XType;XRedVal;XGreenVal;XBlueVal,,,,
32;8;8;8;8;0;false;true;RGB;NONE;1;24;0;2048;2048;4194304;2147483647;0;true;37928;12344;7;0;0;8;667;EGL_NONE;0;0;0;,,,,
24;8;8;8;0;0;true;true;RGB;NONE;2;24;0;2048;2048;4194304;2147483647;0;true;33832;12344;7;0;0;8;667;EGL_NONE;0;0;0;,,,,
32;8;8;8;8;0;false;true;RGB;NONE;3;24;0;2048;2048;4194304;2147483647;0;true;37928;12344;7;0;0;0;667;EGL_NONE;0;0;0;,,,,
24;8;8;8;0;0;true;true;RGB;NONE;4;24;0;2048;2048;4194304;2147483647;0;true;33832;12344;7;0;0;0;667;EGL_NONE;0;0;0;,,,,
32;8;8;8;8;0;false;true;RGB;NONE;5;0;0;2048;2048;4194304;2147483647;0;true;37928;12344;7;0;0;8;667;EGL_NONE;0;0;0;,,,,
24;8;8;8;0;0;true;true;RGB;NONE;6;0;0;2048;2048;4194304;2147483647;0;true;33832;12344;7;0;0;8;667;EGL_NONE;0;0;0;,,,,
32;8;8;8;8;0;false;true;RGB;NONE;7;0;0;2048;2048;4194304;2147483647;0;true;37928;12344;7;0;0;0;667;EGL_NONE;0;0;0;,,,,
24;8;8;8;0;0;true;true;RGB;NONE;8;0;0;2048;2048;4194304;2147483647;0;true;33832;12344;7;0;0;0;667;EGL_NONE;0;0;0;,,,,
32;8;8;8;8;0;false;false;RGB;NONE;9;24;0;2048;2048;4194304;2147483647;0;true;37928;12344;7;1;4;8;667;EGL_NONE;0;0;0;,,,,
24;8;8;8;0;0;false;false;RGB;NONE;10;24;0;2048;2048;4194304;2147483647;0;true;33832;12344;7;1;4;8;667;EGL_NONE;0;0;0;,,,,
32;8;8;8;8;0;false;false;RGB;NONE;11;24;0;2048;2048;4194304;2147483647;0;true;37928;12344;7;1;4;0;667;EGL_NONE;0;0;0;,,,,
24;8;8;8;0;0;false;false;RGB;NONE;12;24;0;2048;2048;4194304;2147483647;0;true;33832;12344;7;1;4;0;667;EGL_NONE;0;0;0;,,,,
32;8;8;8;8;0;false;false;RGB;NONE;13;0;0;2048;2048;4194304;2147483647;0;true;37928;12344;7;1;4;8;667;EGL_NONE;0;0;0;,,,,
24;8;8;8;0;0;false;false;RGB;NONE;14;0;0;2048;2048;4194304;2147483647;0;true;33832;12344;7;1;4;8;667;EGL_NONE;0;0;0;,,,,
32;8;8;8;8;0;false;false;RGB;NONE;15;0;0;2048;2048;4194304;2147483647;0;true;37928;12344;7;1;4;0;667;EGL_NONE;0;0;0;,,,,
24;8;8;8;0;0;false;false;RGB;NONE;16;0;0;2048;2048;4194304;2147483647;0;true;33832;12344;7;1;4;0;667;EGL_NONE;0;0;0;,,,,
16;5;6;5;0;0;true;true;RGB;NONE;17;24;0;2048;2048;4194304;2147483647;0;true;107544;12344;7;0;0;8;667;EGL_NONE;0;0;0;,,,,
16;5;6;5;0;0;true;true;RGB;NONE;18;24;0;2048;2048;4194304;2147483647;0;true;107544;12344;7;0;0;0;667;EGL_NONE;0;0;0;,,,,
16;5;6;5;0;0;true;true;RGB;NONE;19;0;0;2048;2048;4194304;2147483647;0;true;107544;12344;7;0;0;8;667;EGL_NONE;0;0;0;,,,,
16;5;6;5;0;0;true;true;RGB;NONE;20;0;0;2048;2048;4194304;2147483647;0;true;107544;12344;7;0;0;0;667;EGL_NONE;0;0;0;,,,,
16;5;6;5;0;0;false;false;RGB;NONE;21;24;0;2048;2048;4194304;2147483647;0;true;107544;12344;7;1;4;8;667;EGL_NONE;0;0;0;,,,,
16;5;6;5;0;0;false;false;RGB;NONE;22;24;0;2048;2048;4194304;2147483647;0;true;107544;12344;7;1;4;0;667;EGL_NONE;0;0;0;,,,,
16;5;6;5;0;0;false;false;RGB;NONE;23;0;0;2048;2048;4194304;2147483647;0;true;107544;12344;7;1;4;8;667;EGL_NONE;0;0;0;,,,,
16;5;6;5;0;0;false;false;RGB;NONE;24;0;0;2048;2048;4194304;2147483647;0;true;107544;12344;7;1;4;0;667;EGL_NONE;0;0;0;,,,,
32;8;8;8;8;8;false;true;RGB;NONE;25;0;0;2048;2048;4194304;2147483647;0;true;37928;12344;7;0;0;0;667;EGL_NONE;0;0;0;,,,,
24;8;8;8;0;8;true;true;RGB;NONE;26;0;0;2048;2048;4194304;2147483647;0;true;33832;12344;7;0;0;0;667;EGL_NONE;0;0;0;,,,,
16;5;6;5;0;8;true;true;RGB;NONE;27;0;0;2048;2048;4194304;2147483647;0;true;107544;12344;7;0;0;0;667;EGL_NONE;0;0;0;,,,,
16;5;6;5;0;0;true;true;RGB;NONE;28;16;0;2048;2048;4194304;2147483647;0;true;107544;12344;7;0;0;0;667;EGL_NONE;0;0;0;,,,,
