col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62
21/10/16,Ew1,Mw-SNH,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0
1/25/2017 16:33:00,Ew7,Mw-SNH,4.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,1.0,5.0,1.0,4.0,4.0,1.0,5.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,1.0,4.0,2.0,4.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0
1/27/2017 13:36:17,Ew8,Mw-HNS,4.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,4.0,3.0,3.0,5.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0
1/31/2017 17:22:43,Ew13,Mw-SNH,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0
2/1/2017 11:27:55,Ew14,Mw-HNS,4.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0
2/7/2017 11:24:56,Ew19,Mw-SNH,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0
2/7/2017 17:31:54,Ew20,Mw-HNS,4.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0
2/10/2017 17:22:18,Ew25,Mw-SNH,4.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,5.0,3.0,3.0,1.0,4.0,4.0,5.0,4.0,4.0,5.0,1.0,3.0,2.0,5.0,1.0,5.0,2.0,1.0,3.0,4.0,5.0,2.0,4.0,1.0,5.0,2.0,5.0,4.0,3.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0
2/13/2017 11:27:08,Ew26,Mw-HNS,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,5.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0
2/16/2017 15:31:40,Ew31,Mw-SNH,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0
2/16/2017 17:27:43,Ew32,Mw-HNS,4.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,4.0,3.0,4.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,2.0,4.0,4.0,1.0,4.0,1.0
2/20/2017 16:19:26,Ew37,Mw-SNH,2.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,5.0,3.0,2.0,5.0,4.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,3.0,4.0,3.0,4.0
2/20/2017 17:41:41,Ew38,Mw-HNS,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0
2/22/2017 17:25:24,Ew43,Mw-SNH,5.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,5.0,1.0,4.0,1.0,5.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0
2/23/2017 11:39:07,Ew44,Mw-HNS,4.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,4.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0,1.0
2/28/2017 11:49:18,Ew49,Mw-SNH,3.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,5.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,4.0,1.0
Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo - Watch movie and then walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mu - Listen to music and then walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mw - Listen to music while walking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emotions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S - Sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N - Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H - Happy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNH: Sad-Neutral-Happy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNS: Happy-Neutral-Sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
