col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
Adair,71.80%,79.00%,10.00%,67.90%,76.40%,12.50%,19_001,19.0,2.0,4.0,,
Adams,78.30%,86.20%,10.10%,76.90%,83.70%,8.80%,19_002,19.0,2.0,4.0,,
Allamakee,75.00%,85.20%,13.60%,72.50%,76.10%,5.00%,19_003,19.0,2.0,4.0,,
Appanoose,77.00%,77.70%,0.90%,64.10%,81.40%,27.00%,19_004,19.0,2.0,4.0,,
Audubon,79.60%,80.00%,0.50%,86.30%,87.50%,1.40%,19_005,19.0,2.0,4.0,,
Benton,76.90%,84.10%,9.40%,78.20%,76.00%,-2.80%,19_006,19.0,2.0,4.0,,
Black Hawk,69.70%,74.30%,6.60%,60.70%,66.90%,10.20%,19_007,19.0,2.0,4.0,,
Boone,80.40%,85.80%,6.70%,70.70%,80.80%,14.30%,19_008,19.0,2.0,4.0,,
Bremer,79.90%,87.90%,10.00%,81.80%,84.20%,2.90%,19_009,19.0,2.0,4.0,,
Buchanan,76.60%,81.40%,6.30%,65.50%,69.40%,6.00%,19_010,19.0,2.0,4.0,,
Buena Vista,67.50%,75.80%,12.30%,67.20%,71.30%,6.10%,19_011,19.0,2.0,4.0,,
Butler,79.00%,85.20%,7.80%,74.70%,71.90%,-3.70%,19_012,19.0,2.0,4.0,,
Calhoun,82.30%,86.40%,5.00%,77.70%,82.10%,5.70%,19_013,19.0,2.0,4.0,,
Carroll,76.30%,89.40%,17.20%,80.90%,84.60%,4.60%,19_014,19.0,2.0,4.0,,
Cass,75.90%,83.20%,9.60%,72.70%,82.00%,12.80%,19_015,19.0,2.0,4.0,,
Cedar,82.30%,81.00%,-1.60%,79.80%,80.00%,0.30%,19_016,19.0,2.0,4.0,,
Cerro Gordo,74.00%,83.10%,12.30%,71.70%,76.90%,7.30%,19_017,19.0,2.0,4.0,,
Cherokee,79.90%,88.70%,11.00%,78.00%,74.60%,-4.40%,19_018,19.0,2.0,4.0,,
Chickasaw,77.30%,84.40%,9.20%,82.60%,79.60%,-3.60%,19_019,19.0,2.0,4.0,,
Clarke,74.20%,79.60%,7.30%,60.20%,75.90%,26.10%,19_020,19.0,2.0,4.0,,
Clay,77.30%,82.20%,6.30%,77.10%,79.40%,3.00%,19_021,19.0,2.0,4.0,,
Clayton,71.40%,75.80%,6.20%,69.60%,84.00%,20.70%,19_022,19.0,2.0,4.0,,
Clinton,77.50%,82.30%,6.20%,69.30%,75.80%,9.40%,19_023,19.0,2.0,4.0,,
Crawford,83.10%,84.10%,1.20%,79.50%,85.10%,7.00%,19_024,19.0,2.0,4.0,,
Dallas,79.80%,89.90%,12.70%,78.80%,80.20%,1.80%,19_025,19.0,2.0,4.0,,
Davis,72.70%,87.50%,20.40%,64.70%,86.40%,33.50%,19_026,19.0,2.0,4.0,,
Decatur,69.50%,77.60%,11.70%,76.00%,67.50%,-11.20%,19_027,19.0,2.0,4.0,,
Delaware,81.40%,84.80%,4.20%,81.50%,86.30%,5.90%,19_028,19.0,2.0,4.0,,
Des Moines,71.00%,80.60%,13.50%,65.60%,78.50%,19.70%,19_029,19.0,2.0,4.0,,
Dickinson,85.00%,91.70%,7.90%,77.30%,83.30%,7.80%,19_030,19.0,2.0,4.0,,
Dubuque,69.30%,79.90%,15.30%,70.50%,78.80%,11.80%,19_031,19.0,2.0,4.0,,
Emmet,77.20%,88.70%,14.90%,73.30%,79.60%,8.60%,19_032,19.0,2.0,4.0,,
Fayette,73.80%,86.00%,16.50%,74.90%,78.10%,4.30%,19_033,19.0,2.0,4.0,,
Floyd,76.60%,84.30%,10.10%,73.10%,77.20%,5.60%,19_034,19.0,2.0,4.0,,
Franklin,69.60%,83.30%,19.70%,72.60%,73.00%,0.60%,19_035,19.0,2.0,4.0,,
Fremont,71.20%,81.20%,14.00%,63.50%,73.10%,15.10%,19_036,19.0,2.0,4.0,,
Greene,76.00%,79.60%,4.70%,69.40%,79.40%,14.40%,19_037,19.0,2.0,4.0,,
Grundy,84.90%,86.50%,1.90%,78.50%,82.30%,4.80%,19_038,19.0,2.0,4.0,,
Guthrie,81.70%,88.80%,8.70%,69.50%,79.30%,14.10%,19_039,19.0,2.0,4.0,,
Hamilton,82.20%,84.80%,3.20%,74.70%,87.40%,17.00%,19_040,19.0,2.0,4.0,,
Hancock,78.30%,80.20%,2.40%,72.40%,74.40%,2.80%,19_041,19.0,2.0,4.0,,
Hardin,74.50%,86.30%,15.80%,70.90%,79.00%,11.40%,19_042,19.0,2.0,4.0,,
Harrison,74.20%,78.70%,6.10%,66.50%,75.30%,13.20%,19_043,19.0,2.0,4.0,,
Henry,77.10%,84.00%,8.90%,71.50%,75.20%,5.20%,19_044,19.0,2.0,4.0,,
Howard,77.90%,79.60%,2.20%,76.20%,82.00%,7.60%,19_045,19.0,2.0,4.0,,
Humboldt,83.70%,90.20%,7.80%,80.10%,84.80%,5.90%,19_046,19.0,2.0,4.0,,
Ida,79.70%,90.00%,12.90%,81.50%,78.70%,-3.40%,19_047,19.0,2.0,4.0,,
Iowa,75.20%,84.80%,12.80%,70.50%,83.70%,18.70%,19_048,19.0,2.0,4.0,,
Jackson,78.00%,76.40%,-2.10%,73.00%,77.20%,5.80%,19_049,19.0,2.0,4.0,,
Jasper,77.30%,82.10%,6.20%,68.80%,74.80%,8.70%,19_050,19.0,2.0,4.0,,
Jefferson,83.00%,81.50%,-1.80%,78.90%,79.40%,0.60%,19_051,19.0,2.0,4.0,,
Johnson,80.10%,81.60%,1.90%,80.60%,80.10%,-0.60%,19_052,19.0,2.0,4.0,,
Jones,78.70%,78.90%,0.30%,76.40%,76.10%,-0.40%,19_053,19.0,2.0,4.0,,
Keokuk,74.30%,81.40%,9.60%,69.70%,82.00%,17.60%,19_054,19.0,2.0,4.0,,
Kossuth,81.30%,89.20%,9.70%,73.20%,83.60%,14.20%,19_055,19.0,2.0,4.0,,
Lee,69.40%,81.00%,16.70%,67.50%,71.90%,6.50%,19_056,19.0,2.0,4.0,,
Linn,75.40%,79.50%,5.40%,74.10%,79.20%,6.90%,19_057,19.0,2.0,4.0,,
Louisa,71.50%,73.40%,2.70%,56.70%,56.70%,0.00%,19_058,19.0,2.0,4.0,,
Lucas,73.70%,89.70%,21.70%,61.80%,87.10%,40.90%,19_059,19.0,2.0,4.0,,
Lyon,88.80%,95.00%,7.00%,77.60%,77.60%,0.00%,19_119,19.0,2.0,4.0,,
Madison,77.80%,82.90%,6.60%,75.20%,84.00%,11.70%,19_121,19.0,2.0,4.0,,
Mahaska,79.80%,82.10%,2.90%,66.10%,75.80%,14.70%,19_123,19.0,2.0,4.0,,
Marion,77.80%,87.60%,12.60%,72.60%,81.00%,11.60%,19_125,19.0,2.0,4.0,,
Marshall,69.80%,71.70%,2.70%,68.40%,70.80%,3.50%,19_127,19.0,2.0,4.0,,
Mills,72.10%,85.10%,18.00%,76.40%,78.50%,2.70%,19_129,19.0,2.0,4.0,,
Mitchell,80.20%,91.10%,13.60%,78.30%,85.60%,9.30%,19_131,19.0,2.0,4.0,,
Monona,79.70%,73.70%,-7.50%,78.40%,72.10%,-8.00%,19_133,19.0,2.0,4.0,,
Monroe,69.20%,83.60%,20.80%,63.30%,87.00%,37.40%,19_135,19.0,2.0,4.0,,
Montgomery,73.00%,81.30%,11.40%,75.70%,75.90%,0.30%,19_137,19.0,2.0,4.0,,
Muscatine,75.20%,82.10%,9.20%,71.10%,78.30%,10.10%,19_139,19.0,2.0,4.0,,
O'Brien,83.70%,89.70%,7.20%,84.60%,84.50%,-0.10%,19_141,19.0,2.0,4.0,,
Osceola,80.40%,88.50%,10.10%,77.60%,83.30%,7.30%,19_143,19.0,2.0,4.0,,
Page,74.80%,82.60%,10.40%,69.80%,65.10%,-6.70%,19_145,19.0,2.0,4.0,,
Palo Alto,78.80%,80.40%,2.00%,76.00%,79.50%,4.60%,19_147,19.0,2.0,4.0,,
Plymouth,78.60%,84.10%,7.00%,77.50%,83.50%,7.70%,19_149,19.0,2.0,4.0,,
Pocahontas,78.90%,87.20%,10.50%,80.50%,83.80%,4.10%,19_151,19.0,2.0,4.0,,
Polk,75.40%,79.30%,5.20%,70.60%,74.30%,5.20%,19_153,19.0,2.0,4.0,,
Pottawattamie,66.80%,76.10%,13.90%,64.60%,71.20%,10.20%,19_155,19.0,2.0,4.0,,
Poweshiek,80.50%,84.00%,4.30%,74.20%,79.10%,6.60%,19_157,19.0,2.0,4.0,,
Ringgold,83.50%,97.60%,16.90%,76.80%,78.00%,1.60%,19_159,19.0,2.0,4.0,,
Sac,84.40%,85.30%,1.10%,76.00%,80.00%,5.30%,19_161,19.0,2.0,4.0,,
Scott,70.30%,78.60%,11.80%,62.30%,74.80%,20.10%,19_163,19.0,2.0,4.0,,
Shelby,82.70%,92.20%,11.50%,82.00%,79.70%,-2.80%,19_165,19.0,2.0,4.0,,
Sioux,85.60%,85.90%,0.40%,79.50%,86.40%,8.70%,19_167,19.0,2.0,4.0,,
Story,84.10%,85.30%,1.40%,81.10%,87.50%,7.90%,19_169,19.0,2.0,4.0,,
Tama,72.00%,75.10%,4.30%,72.10%,73.60%,2.10%,19_171,19.0,2.0,4.0,,
Taylor,79.50%,84.10%,5.80%,68.20%,79.70%,16.90%,19_173,19.0,2.0,4.0,,
Union,75.30%,85.20%,13.10%,71.90%,69.80%,-2.90%,19_175,19.0,2.0,4.0,,
Van Buren,76.60%,88.30%,15.30%,62.60%,69.40%,10.90%,19_177,19.0,2.0,4.0,,
Wapello,68.70%,78.30%,14.00%,56.80%,70.70%,24.50%,19_179,19.0,2.0,4.0,,
Warren,80.30%,86.40%,7.60%,77.40%,84.00%,8.50%,19_181,19.0,2.0,4.0,,
Washington,73.10%,77.70%,6.30%,77.20%,81.40%,5.40%,19_183,19.0,2.0,4.0,,
Wayne,80.80%,80.60%,-0.20%,68.60%,75.40%,9.90%,19_185,19.0,2.0,4.0,,
Webster,71.90%,79.00%,9.90%,64.00%,71.00%,10.90%,19_187,19.0,2.0,4.0,,
Winnebago,84.90%,86.40%,1.80%,72.20%,85.10%,17.90%,19_189,19.0,2.0,4.0,,
Winneshiek,79.80%,89.40%,12.00%,83.40%,87.60%,5.00%,19_191,19.0,2.0,4.0,,
Woodbury,70.40%,73.00%,3.70%,65.30%,69.70%,6.70%,19_193,19.0,2.0,4.0,,
Worth,66.30%,94.90%,43.10%,76.70%,68.30%,-11.00%,19_195,19.0,2.0,4.0,,
Wright,79.50%,78.10%,-1.80%,70.50%,76.80%,8.90%,19_197,19.0,2.0,4.0,,
State,75.90%,81.20%,7.00%,71.60%,77.10%,7.70%,,19.0,2.0,4.0,,
Rural,77.70%,84.20%,8.40%,73.10%,78.90%,7.90%,,,,,,IA_Rural_Counties
Small Urban,76.90%,83.50%,8.60%,73.40%,78.30%,6.70%,,,,,,IA_Urban_Counties
Metropolitan,73.50%,78.60%,7.00%,70.00%,75.80%,8.40%,,,,,,IA_Metropolitan_Counties
United States*,60.00%,60.00%,0.00%,60.00%,60.00%,0.00%,,,,,US_National,
