col0,col1,col2,col3
RIF40_ERROR_MESSAGES||RIF40_ERROR_MESSAGES_CHECKS|BEFORE EACH ROW|INSERT OR UPDATE OR DELETE|NEW.table_name IS NOT NULL|PL/SQL|rif40_error_messages_checks  BEFORE DELETE OR INSERT OR UPDATE OF table_name  ON rif40_error_messages  FOR EACH ROW ,,,
RIF40_GEOGRAPHIES||RIF40_GEOG_HIERARCHYTABLE|BEFORE EACH ROW|INSERT OR UPDATE OR DELETE|NEW.hierarchytable IS NOT NULL OR NEW.postal_population_table IS NOT NULL OR NEW.postal_point_column IS NOT NULL|PL/SQL|rif40_geog_hierarchytable  BEFORE DELETE OR INSERT OR UPDATE OF hierarchytable, postal_population_table, postal_point_column ON rif40_geographies  FOR EACH ROW ,
RIF40_PREDEFINED_GROUPS||RIF40_PREDEFINED_GROUPS_CHECKS|BEFORE EACH ROW|INSERT OR UPDATE OR DELETE|NEW.predefined_group_name IS NOT NULL OR NEW.predefined_group_description IS NOT NULL OR NEW.outcome_type IS NOT NULL OR NEW.condition IS NOT NULL|PL/SQL|rif40_predefined_groups_checks  BEFORE DELETE OR INSERT OR UPDATE OF predefined_group_name, predefined_group_description, outcome_type, condition  ON rif40_predefined_groups  FOR EACH ROW 
RIF40_STUDY_SHARES||RIF40_STUDY_SHARES_CHECKS|BEFORE EACH ROW|INSERT OR UPDATE OR DELETE|NEW.grantor IS NOT NULL OR NEW.grantee_username IS NOT NULL OR NEW.study_id IS NOT NULL|PL/SQL|rif40_study_shares_checks  BEFORE DELETE OR INSERT OR UPDATE OF grantor, grantee_username, study_id  ON rif40_study_shares  FOR EACH ROW ,
RIF40_TABLE_OUTCOMES||RIF40_TABLE_OUTCOMES_CHECKS|BEFORE EACH ROW|INSERT OR UPDATE OR DELETE|NEW.outcome_group_name IS NOT NULL OR NEW.numer_tab IS NOT NULL OR NEW.current_version_start_year IS NOT NULL|PL/SQL|rif40_table_outcomes_checks  BEFORE DELETE OR INSERT OR UPDATE OF outcome_group_name, numer_tab, current_version_start_year  ON rif40_table_outcomes  FOR EACH ROW ,
RIF40_VERSION||RIF40_VERSION_CHECKS|BEFORE EACH ROW|INSERT OR UPDATE OR DELETE|NEW.version IS NOT NULL|PL/SQL|rif40_version_checks  BEFORE DELETE OR INSERT OR UPDATE OF version ON rif40_version  FOR EACH ROW ,,,
T_RIF40_COMPARISON_AREAS||T_RIF40_COMP_AREAS_CHECKS2|AFTER STATEMENT|INSERT||PL/SQL|t_rif40_comp_areas_checks2  AFTER INSERT ON t_rif40_comparison_areas  /* Once per INSERT */ ,,,
T_RIF40_COMPARISON_AREAS||T_RIF40_COMP_AREAS_CHECKS|BEFORE EACH ROW|INSERT OR UPDATE OR DELETE|NEW.username IS NOT NULL OR NEW.study_id IS NOT NULL|PL/SQL|t_rif40_comp_areas_checks  BEFORE DELETE OR INSERT OR UPDATE OF area_id, username, study_id  ON t_rif40_comparison_areas  FOR EACH ROW ,
T_RIF40_NUM_DENOM||T_RIF40_NUM_DENOM_CHECKS|BEFORE EACH ROW|INSERT OR UPDATE OR DELETE|NEW.geography IS NOT NULL OR NEW.numerator_table IS NOT NULL OR NEW.denominator_table IS NOT NULL|PL/SQL|t_rif40_num_denom_checks  BEFORE DELETE OR INSERT OR UPDATE OF geography, numerator_table, denominator_table ON t_rif40_num_denom  FOR EACH ROW ,
T_RIF40_STUDY_AREAS||T_RIF40_STUDY_AREAS_CHECKS|BEFORE EACH ROW|INSERT OR UPDATE OR DELETE|NEW.band_id IS NOT NULL OR NEW.username IS NOT NULL OR NEW.study_id IS NOT NULL|PL/SQL|t_rif40_study_areas_checks  BEFORE DELETE OR INSERT OR UPDATE OF area_id, band_id, username, study_id  ON t_rif40_study_areas  FOR EACH ROW 
T_RIF40_STUDY_AREAS||T_RIF40_STUDY_AREAS_CHECKS2|AFTER STATEMENT|INSERT||PL/SQL|t_rif40_study_areas_checks2  AFTER INSERT ON t_rif40_study_areas  /* Once per INSERT */ ,,,
T_RIF40_USER_PROJECTS||T_RIF40_USER_PROJECTS_CHECKS|BEFORE EACH ROW|INSERT OR UPDATE OR DELETE|NEW.project IS NOT NULL OR NEW.username IS NOT NULL|PL/SQL|t_rif40_user_projects_checks  BEFORE DELETE OR INSERT OR UPDATE OF project, username ON t_rif40_user_projects  FOR EACH ROW ,,
