col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29
A1,primary,00694027_64_00-02-40,00694027.wav,160055,465,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1
A1,primary,00694027_01_00-00-01,00694027.wav,1045,255,,,,,,,,,1.0,,,,,,,,,,,,,,,1
A1,primary,00694027_02_00-00-01,00694027.wav,1300,93,,,,,,,,,,,,,,,,,,,,,,,,0
A1,primary,00694027_03_00-00-01,00694027.wav,1393,348,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1
A2,alt,00694027_52_00-02-34,00694027.wav,154134,418,,,,,1.0,,,,,,,,,,,,,,,,,,,1
A2,alt,00694027_53_00-02-34,00694027.wav,154552,186,,,,,,,,,1.0,,,,,,,,,,,,,,,1
A2,alt,00694027_54_00-02-34,00694027.wav,154738,1000,,,,,,,,,,1.0,,,,,,,,,,,,,,1
A2,alt,00694027_55_00-02-36,00694027.wav,156201,162,1.0,,,,,,,,,,,,,,,,,,,,,,,1
A3,bridge,00694027_38_00-02-04,00694027.wav,124292,216,1.0,,,,,,,,,,1.0,,,,,,,,,,,100.0,,1
A3,bridge,00694027_39_00-02-04,00694027.wav,124436,720,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1
A3,bridge,00694027_40_00-02-05,00694027.wav,125111,435,,,1.0,,,,,,1.0,,,,,,,,,,,,,100.0,,1
A3,bridge,00694027_41_00-02-05,00694027.wav,125365,417,,,,,,,,,,,,,,,,,,,,,,,,0
A4,secondary,00694027_06_00-00-02,00694027.wav,2345,330,1.0,,,,,,,,,,1.0,,,,,,0.9,,,,,100.0,,1
A4,secondary,00694027_07_00-00-02,00694027.wav,2531,488,,,,,1.0,,,,,,,,,,,,,,,,,,,1
A4,secondary,00694027_08_00-00-03,00694027.wav,2995,289,,,1.0,,,,,,1.0,,,,,,,,0.9,,,,,100.0,,1
A4,secondary,00694027_09_00-00-03,00694027.wav,3228,896,,,,,,,,,,,,,1.0,,,,,,,,,100.0,,1
A5,fill,00694027_08_00-00-03,00694027.wav,3019,139,,,,,1.0,,,,,,,,,,,,,,,,,,,1
A5,fill,00694027_09_00-00-03,00694027.wav,3228,789,,,,,,,,,,,,,,,,,,,,,,,,0
A5,fill,00694027_10_00-00-04,00694027.wav,4017,790,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1
A5,fill,00694027_11_00-00-04,00694027.wav,4807,719,,,,,,,,,,,,,1.0,,,,,,,,,,,1
B1,primary,00694027_26_00-01-35,00694027.wav,95550,720,1.0,,,,,,,,,,,,,,,,,,,,,,,1
B1,primary,00694027_27_00-01-36,00694027.wav,96270,1000,,,,,1.0,,,,,,,,,,,,,,,,,,,1
B1,primary,00694027_28_00-01-38,00694027.wav,98267,696,,,,,,,,,1.0,,,,,,,,,,,,,,,1
B1,primary,00694027_29_00-01-38,00694027.wav,98963,1000,,,,,,,,,,,,,1.0,,,,,,,,,,,1
B2,primary,00694027_25_00-01-34,00694027.wav,94923,627,1.0,,,,,,,,,,,,,,,,,,,,,,,1
B2,primary,00694027_26_00-01-35,00694027.wav,95550,720,,,,,1.0,,,,,,,,,,,,,,,,,,,1
B2,primary,00694027_27_00-01-36,00694027.wav,96270,1000,,,,,,,,,1.0,,,,,,,,,,,,,,,1
B2,primary,00694027_28_00-01-38,00694027.wav,98267,696,,,,,,,,,,,,,1.0,,,,,,,,,,,1
B3,primary,00694027_28_00-01-38,00694027.wav,98267,696,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1
B3,primary,00694027_29_00-01-38,00694027.wav,98963,1000,,,,,1.0,,,,,,,,,,,,,,,,,,,1
B3,primary,00694027_30_00-01-40,00694027.wav,100148,185,,,,,,,,,1.0,,,,,,,,,,,,,,,1
B3,primary,00694027_31_00-01-40,00694027.wav,100333,534,,,,,,,,,,,,,1.0,,,,,,,,,,,1
B4,alt,00694027_29_00-01-38,00694027.wav,98963,1000,1.0,,,,,,,,,,,,,,,,,,,,,,,1
B4,alt,00694027_30_00-01-40,00694027.wav,100148,185,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1
B4,alt,00694027_31_00-01-40,00694027.wav,100333,534,,,,,,,,,1.0,,,,,,,,,,,,,,,1
B4,alt,00694027_32_00-01-40,00694027.wav,100867,117,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1
B5,bridge,00694027_30_00-01-40,00694027.wav,100148,185,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1
B5,bridge,00694027_31_00-01-40,00694027.wav,100333,534,,,,,1.0,,,,,,,,,,,,,,,,,,,1
B5,bridge,00694027_32_00-01-40,00694027.wav,100867,117,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1
B5,bridge,00694027_33_00-02-02,00694027.wav,122067,952,,,,,,,,,,,,,1.0,,,,,,,,,,,1
B6,alt,00694027_21_00-01-33,00694027.wav,93251,302,,,,,,,,,,,,,,,,,,,,,,,,0
B6,alt,00694027_22_00-01-33,00694027.wav,93553,674,,,,,1.0,,,,,,,,,,,,,,,,,,,1
B6,alt,00694027_23_00-01-34,00694027.wav,94227,325,,,,,,,,,1.0,,,,,,,,,,,,,,,1
B6,alt,00694027_24_00-01-34,00694027.wav,94552,371,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1
B7,bridge,00694027_20_00-01-33,00694027.wav,93135,116,1.0,,,,,,,,,,,,,,,,,,,,,,,1
B7,bridge,00694027_21_00-01-33,00694027.wav,93251,302,,,,,1.0,,,,,,,,,,,,,,,,,,,1
B7,bridge,00694027_22_00-01-33,00694027.wav,93553,674,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,1
B7,bridge,00694027_23_00-01-34,00694027.wav,94227,325,,,,,,,,,,,,,1.0,,,,,,,,,,,1
B8,bridge,00694027_22_00-01-33,00694027.wav,93553,674,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1
B8,bridge,00694027_23_00-01-34,00694027.wav,94227,325,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1
B8,bridge,00694027_24_00-01-34,00694027.wav,94552,371,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1
B8,bridge,00694027_25_00-01-34,00694027.wav,94923,627,,,,,,,,,1.0,,,,,,,,,,,,,,,1
