col0,col1,col2,col3,col4
Mačči,akka,i,ɣileɣ.,
Adabu,azzayri,amharsen.,,
Tawenza,t,cennef.,,
Aḥlil,ma,n,tebɛit,akka.
Aql-iyi,d,abrid,ɣer,uxeddim.
Lɛid,tɛadda,am,aḍu.,
Tawlaft-agi,tecbaḥ,aṭṭas.,,
Leqbayel,yefka-y-asen,Ṛebbi,ala,ccḍeḥ.
Yeṭṭes,almi,d,azal.,
Aṭṭas,ur,d,necliɛ-ara.,
Meẓyan,ineqqec,di,tebḥirt.,
Zilalsen,d,jedd-es,n,Masensen.
Sliman,Ɛazem,yeǧǧa-d,agarruj.,
Yekka-t,ugeffur,di,Buɣni.,
Yidir,yura-y-as,tabṛatt,i,Feṛṛuǧa.
Tiziri,tefka-y-as,axeṣṣaṛ,i,Ɣiles.
Ass-a,yella-d,unejmuɛ,di,taddart.
Eǧǧ,lbir,kan,s,uɣummu.
Tuɣal,zzit,ɣer,weṣɣeṛ.,
Tasaɛdit,at,sirrid,iceṭṭiḍen.,
Lwennas,yettekes,iskimen.,,
Aḥmed,d,Muṛad,d,atmaten.
Aẓawan,yettekes,lxiq.,,
Tameɣṛa,s,iḍebbalen.,,
Zedɣen-t-aɣ,tilkin,ussu.,,
Tikliwin,deg,berdan.,,
Feṛṛuǧa,tarra-d,ak,uffad-is.,
Ɣeṛ,adlis-ik!,,,
Yezmar,ad,yili,belli,bedreɣ-t-id.
Ssneɣ,ciṭṭ,fell-as.,,
Anda,tella,Wagadugu,?,
Ad,afeɣ,tifrat.,,
Teḥliḍ.,,,,
Bɣiɣ,ad,hedṛeɣ,d,Tom.
D,igellil,am,Job.,
Tom,yeswa,qbel,tabyirt.,
Acu,ig,yeḥseb,iman-is,Tom?
Yessutur,tin,a,Ṛebbi.,
Faḍma,tuggem-d,aman,si,tala.
Ǧǧet-iyi,abrid,ad,ɛeddiɣ.,
Zzux,ur,ǧǧin-ara.,,
T,zemreḍ,a,ttenɣeḍ,yiwen.
Sami,iguǧ-d,deg,iḍ.,
Tuɣal,d,tazeggaɣt,acku,seg-wen.
Anwa,i,ifuden?,,
Tom,yesɛa,axeddim.,,
Yelluẓ,Tom?,,,
Yuggad,Tom?,,,
Tom,iẓul.,,,
Anwa,d,yeslan?,,
Tom,tteqṛaḥ-ent,tuɣmas-is.,,
Tom,t,tteqṛaḥ-it,tayett-is.,
Ur,i,yeǧǧi-y-ara,Sami.,
Ur,yeẓṛi-y-ara,Sami,ayen.,
Ur,yelli-y-ara,Sami,i,ḥemmel-iyi.
Ur,id,iwal-ara,Sami.,
Ur,icucef,ara,Sami.,
Xemmem,mliḥ,a,Sami.,
Yeccelha,Sami,tamurt-is.,,
Kamel,d,aggaw,n,Ṛacid.
Tasaɛdit,d,tamenzut,deg,uxxam-nsen.
Rabeḥ,d,aḍeggal,n,Ǧamel.
Tafat,d,talemmast,di,twacult-is.
Dda,Ṛemḍan,yuɣ-d,agelzim.,
Ul-iw,yedduqus.,,,
Sɛid,iḥuza,daɛwessu.,,
Muṛad,yedderɣel.,,,
Aḥsen,d,aɛeẓẓug.,,
Lmulud,d,agugam.,,
Yesluɣ,tamda.,,,
Tesluɣ,tamda.,,,
Rima,d,tanelmadt.,,
Err-as,tili.,,,
Anda-t,umɣaṛ-nni?,,,
Nadya,tessa-d,taferracit.,,
Ass-a,tella,lweɛda,di,taddart.
Smaɛil,yečča,ul-is.,,
Yeḥeml-d,wassif.,,,
Ayen,ur,nqeddec,ikarref.,
Farid,yesɛa,sin,yekniwen.,
Nna,saɛdia,d,tajaddit.,
Snitra,d,tamewanest-iw.,,
Buɣni,yiwitt,uḥemmal.,,
Ifelfel,umecṛas,qaṛṛeḥ.,,
Iǧwaɣ-d,aqeṛwi,ggirden.,,
Amud,n,temẓin.,,
Tensa,tmest,di,tiẓgi.,
Taḥanutt-agi,d,tamaynutt.,,
Iṭij,n,tmurt,d,ddwa.
Yemma,tɣum,s,uḥayek.,
Baba,yessuffeɣ,lmal,taṣebḥit.,
Aḥmed,yarra-d,akk,uffad-is.,
Karim,yeqqers,akk,ziɣ.,
Musa,yuɣal,ɣer,tmurt.,
Tameṭṭut,taqbaylit,teɛṛeq-as,tikli.,
Ulac,win,yenɣa,ustaɛfu.,
Melxiṛ,d,taslift,n,Waṛdiya.
Tasaɛdit,d,tanuṭ,n,Linda.
Samir,d,alwes,n,Yuba.
Bṛahim,d,aḥsen,d,imuḍan.
Saɛid,iberra-d,ɣer,baba.,
Dihya,d,tagellidt,n,Imaziɣen.
Aksil,yenɣa,Ɛuqba.,,
Laɛmaṛa,d,afeṛḍas.,,
Yassin,yesɛa,ṣṣifa.,,
Ufiɣ-t,yedduri,seddaw,n,ṭṭeǧṛa.
Afekrun,iteddu,s,leɛqel.,
Ṣufyan,yewḥel,d,dderya-s.,
Tawtult,tečča,ḥlafa.,,
Aqjun,yesseglef.,,,
Ad,yessekfel,amezruy.,,
