col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
BAT1,BATTERY_HOLDER12MM,BATTERY_HOLDER12MM,BAT_12MM,,,,,,,,,,,,,,BK-885-TR,,,,,,,
C2,10uF,CAPACITOR_NP0805-N,C0805-N,,,,,,,,,,,,,,GRM21BR61C106KE15L,,,,,,,
C3,10uF,CAPACITOR_NP0805-N,C0805-N,,,,,,,,,,,,,,GRM21BR61C106KE15L,,,,,,,
C4,10uF,CAPACITOR_NP0805-N,C0805-N,,,,,,,,,,,,,,GRM21BR61C106KE15L,,,,,,,
C5,0.1uF,CAPACITOR_NP0603-N,C0603-N,,,,,,,,,,,,,,CC0603KRX7R7BB104,,,,,,,
C6,0.1uF,CAPACITOR_NP0603-N,C0603-N,,,,,,,,,,,,,,CC0603KRX7R7BB104,,,,,,,
C7,10uF,CAPACITOR_NP0805-N,C0805-N,,,,,,,,,,,,,,GRM21BR61C106KE15L,,,,,,,
C8,10uF,CAPACITOR_NP0805-N,C0805-N,,,,,,,,,,,,,,GRM21BR61C106KE15L,,,,,,,
C9,10uF,CAPACITOR_NP0805-N,C0805-N,,,,,,,,,,,,,,GRM21BR61C106KE15L,,,,,,,
C10,10uF,CAPACITOR_NP0805-N,C0805-N,,,,,,,,,,,,,,GRM21BR61C106KE15L,,,,,,,
C12,0.1uF,CAPACITOR_NP0603-N,C0603-N,,,,,,,,,,,,,,CC0603KRX7R7BB104,,,,,,,
C13,0.1uF,CAPACITOR_NP0603-N,C0603-N,,,,,,,,,,,,,,CC0603KRX7R7BB104,,,,,,,
D1,MF-LED-0603-RED,LED_SINGLE-0603-RED,LED0603,Library:  MF_LEDs,,YES,,,,,,,MF-LED-0603-RED,,,,LTST-C191KRKT,1.0,,,https://factory.macrofab.com/part/MF-LED-0603-RED,MF-LED-0603-RED,,
FRAME1,FRAME-LETTERNO_PACKAGE,FRAME-LETTERNO_PACKAGE,DUMMY,Schematic Frame,Nobody,,,,,,,,,,,,,,,,,,v01,
FRAME3,FRAME-LETTERNO_PACKAGE,FRAME-LETTERNO_PACKAGE,DUMMY,Schematic Frame,Nobody,,,,,,,,,,,,,,,,,,v01,
J2,U.FL,ANTENNA_U.FL,ADAFRUIT_U.FL,U.FL Antenna Connector,,,,,,,,,,,,,U.FL-R-SMT-1(10),,,,,,,
J4,ANTENNA_SMA_EDGE,ANTENNA_SMA_EDGE,SMA-EDGE,SMA Antenna Connector,,,,,,,,,,,,,EMPCB.SMAFSTJ.B.HT,,,,,,,
J5,MF-CON-2.54mm-01x03,CON_01X03_PTH_2.54MM,PTH_2.54MM_01X03,Library:  MF_Connectors,,YES,LITH,,12v,,,,MF-CON-2.54mm-01x03,,,,,1.0,,,https://factory.macrofab.com/part/MF-CON-2.54mm-01x03,MF-CON-2.54mm-01x03,,
J6,MF-CON-2.54mm-01x06,CON_01X06_PTH_2.54MM,PTH_2.54MM_01X06,Library:  MF_Connectors,,YES,rst,tx,rx,vcc,,gnd,MF-CON-2.54mm-01x06,,,,,1.0,,,https://factory.macrofab.com/part/MF-CON-2.54mm-01x06,MF-CON-2.54mm-01x06,,
JP2,SD_USD-SOCKET,SD_USD-SOCKET,MICRO-SD-SOCKET-SDIO,microSD Socket,,,,,,,,,,,,,101-00660-68-6,,CONN-07820,,,,,
L1,2.2uH,INDUCTOR2520,L2520,,,,,,,,,,,,,,VLS252012T-2R2M1R3 ,,,,,,,
L2,1.5uH,INDUCTOR3030,L3030,,,,,,,,,,,,,,NR3015T1R5N,,,,,,,
Q1,mfet-n,MOSFET-NCHANNELSOT23-3,SOT23-3,Common NMOSFET Parts,,,,,,,,,,,,,SI2312BDS-T1-GE3,,,,,,,
Q2,mfet-n,MOSFET-NCHANNELSOT23-3,SOT23-3,Common NMOSFET Parts,,,,,,,,,,,,,SI2312BDS-T1-GE3,,,,,,,
R1,10k,RESISTOR0603-N,R0603-N,,,,,,,,,,,,,,RC0603FR-0710KL,,,,,,,
R2,100,RESISTOR0603-N,R0603-N,,,,,,,,,,,,,,RC0603FR-07100RL,,,,,,,
R3,10k,RESISTOR0603-N,R0603-N,,,,,,,,,,,,,,RC0603FR-0710KL,,,,,,,
R4,10k,RESISTOR0603-N,R0603-N,,,,,,,,,,,,,,RC0603FR-0710KL,,,,,,,
R5,100k,RESISTOR0603-N,R0603-N,,,,,,,,,,,,,,RC0603FR-07100KL,,,,,,,
SJ1,j,JUMPER-PAD-2-NOYES_SILK,PAD-JUMPER-2-NO_YES_SILK,,,,,,,,,,,,,,,,,,,,,
SJ2,j,JUMPER-PAD-2-NOYES_SILK,PAD-JUMPER-2-NO_YES_SILK,,,,,,,,,,,,,,,,,,,,,
SJ3,j,JUMPER-PAD-2-NOYES_SILK,PAD-JUMPER-2-NO_YES_SILK,,,,,,,,,,,,,,,,,,,,,
SJ4,JUMPER-PAD-2-NOYES_SILK,JUMPER-PAD-2-NOYES_SILK,PAD-JUMPER-2-NO_YES_SILK,,,,,,,,,,,,,,,,,,,,,
SJ5,JUMPER-PAD-2-NOYES_SILK,JUMPER-PAD-2-NOYES_SILK,PAD-JUMPER-2-NO_YES_SILK,,,,,,,,,,,,,,,,,,,,,
SJ6,JUMPER-PAD-2-NOYES_SILK,JUMPER-PAD-2-NOYES_SILK,PAD-JUMPER-2-NO_YES_SILK,,,,,,,,,,,,,,,,,,,,,
SW1,MF-SW-TACT-4.2MM,TACT_4.2MM,TACT4.2MM,Library:  MF_Switches,,YES,,,,,,,MF-SW-TACT-4.2MM,,,,PTS810 SJM 250 SMTR LFS,1.0,,,https://factory.macrofab.com/part/MF-SW-TACT-4.2MM,MF-SW-TACT-4.2MM,,
TC1,TC2030-IDC-NL,CON_02X03_AVRISP_TC2030-IDC-NL,TC2030-IDC-NL,Library:  MF_Connectors,,NO,,,,,,GND,TC2030-IDC-NL,,,,,0.0,,,http://www.tag-connect.com/AVRISP,TC2030-IDC-NL,,
U1,RFM69HCW-433MHZ,RFM69HCW-433MHZ,RFM69HCW-XXXS2,,,,,,,,,,,,,,COM-13910,,"IC-11997, IC-12053",,,,,
U2,TPS63031,TPS63031,SON50P260X260X80-11N,HIGH EFFICIENCY SINGLE INDUCTOR BUCK-BOOST CONVERTER WITH 1-A SWITCHES,,,,,,,,,TPS63031DSK,1686303.0,19P7478,SON-10,TPS63031DSKR,,,Texas Instruments,,,,
U4,DS3231M,DS3231M,SO08,The DS3231M is a low-cost extremely accurate I2C realtime,,,,,,,,,,,,,DS3231MZ/V+,,,,,,,
U5,328P,ATMEGA328P-AU,TQFP32-08,Atmel 32-pin 8-bit micro 16k flash.,,,,,,,,,,,,,ATMEGA328P-AU,,,,,,,
U6,TPS62161,TPS62161,WSON-8,,,,,,,,,,,,,,TPS62161DSGR,,,,,,,
X1,8MHZ,RESONATOR8MHZ,RESONATOR-SMD,Resonator,,,,,,,,,,,,,CSTCE8M00G55-R0,,XTAL-08895,,,8MHZ,,
