col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
50,I19A,NODE_4902_length_96281_cov_13.126432,atg10703|pair_5|rev,atg10703|pair_5|fwd,75203,75224,75878,75857,675
51,I61A,NODE_12812_length_323635_cov_9.417337,atg10703|pair_5|rev,atg10703|pair_5|fwd,170573,170552,169898,169919,675
52,I9A,NODE_13661_length_107724_cov_12.738434,atg10703|pair_5|rev,atg10703|pair_5|fwd,30305,30284,29630,29651,675
53,I5V,NODE_36160_length_249094_cov_15.165792,atg10703|pair_5|rev,atg10703|pair_5|fwd,8272,8293,8947,8926,675
54,I17V,NODE_17153_length_617906_cov_9.525179,atg10703|pair_5|rev,atg10703|pair_5|fwd,317588,317609,318263,318242,675
55,I31A,NODE_13850_length_40609_cov_7.450984,atg10703|pair_5|rev,atg10703|pair_5|fwd,21070,21049,20395,20416,675
56,I65V,NODE_36919_length_337138_cov_9.006107,atg10703|pair_5|rev,atg10703|pair_5|fwd,298884,298863,298209,298230,675
57,B04,B04S209,atg10703|pair_5|rev,atg10703|pair_5|fwd,31166,31145,30491,30512,675
58,MNH120,scaffold_996,atg10703|pair_5|rev,atg10703|pair_5|fwd,69498,69477,68823,68844,675
59,I37A,NODE_28325_length_1062677_cov_11.556614,atg10703|pair_5|rev,atg10703|pair_5|fwd,888249,888270,888924,888903,675
