col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43
UPSTREAM10/7/199817-OCT-980,Sample-Routine,,,,Adams,,,,Water,,UPSTREAM,AURORA_WQX,APHA,4500-NH3(D),,Ammonia,,,,,Not Detected,as NH3,,,mg/l,<0.05,Total,,Final,,,,Actual,,,Miscellaneous (Other),GRAB,1998-10-07,CO,,,,
UPSTREAM10/7/199817-OCT-980,Sample-Routine,,,,Adams,,,,Water,,UPSTREAM,AURORA_WQX,APHA,9222D,,Fecal Coliform,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPSTREAM10/7/199817-OCT-980,Sample-Routine,,,,Adams,,,,Water,,UPSTREAM,AURORA_WQX,APHA,4110-B,,Nitrate,,,,,,,,,mg/l,1.25,Total,,Final,,,,Actual,,,Miscellaneous (Other),GRAB,1998-10-07,CO,,,,
UPSTREAM10/7/199817-OCT-980,Sample-Routine,,,,Adams,,,,Water,,UPSTREAM,AURORA_WQX,APHA,2540-D,,Total suspended solids,,,,,,,,,mg/l,17.8,Total,,Final,,,,Actual,,,Miscellaneous (Other),GRAB,1998-10-07,CO,,,,
UPSTREAM10/7/19981F7-OCT-19980,Field Msr/Obs,,,,Adams,,,,Water,,UPSTREAM,AURORA_WQX,APHA,4500-O-G,,Dissolved oxygen (DO),,,,,,,,,mg/l,7.2,,,Final,,,,Actual,,,,,1998-10-07,CO,,,,
UPSTREAM10/7/19981F7-OCT-19980,Field Msr/Obs,,,,Adams,,,,Water,,UPSTREAM,AURORA_WQX,APHA,4500-H,,pH,,,,,,,,,None,8.33,,,Final,,,,Actual,,,,,1998-10-07,CO,,,,
UPSTREAM10/7/19981F7-OCT-19980,Field Msr/Obs,,,,Adams,,,,Water,,UPSTREAM,AURORA_WQX,USEPA,170.1,,"Temperature, water",,,,,,,,,deg C,11.5,,,Final,,,,Actual,,,,,1998-10-07,CO,,,,
UPSTREAM10/7/19981F7-OCT-19980,Field Msr/Obs,,,,Adams,,,,Water,,UPSTREAM,AURORA_WQX,AURORA_WQX,YSI-DS,,Total dissolved solids,,,,,,,,,g/l,0.894,Total,,Final,,,,Actual,,,,,1998-10-07,CO,,,,
UPSTREAM10/21/1998121-OCT-980,Sample-Routine,,,,Adams,,,,Water,,UPSTREAM,AURORA_WQX,APHA,4500-NH3(D),,Ammonia,,,,,Not Detected,as NH3,,,mg/l,<0.05,Total,,Final,,,,Actual,,,Miscellaneous (Other),GRAB,1998-10-21,CO,,,,
UPSTREAM10/21/1998121-OCT-980,Sample-Routine,,,,Adams,,,,Water,,UPSTREAM,AURORA_WQX,APHA,4110-B,,Nitrate,,,,,,,,,mg/l,2.34,Total,,Final,,,,Actual,,,Miscellaneous (Other),GRAB,1998-10-21,CO,,,,
UPSTREAM10/21/19981F21-OCT-19980,Field Msr/Obs,,,,Adams,,,,Water,,UPSTREAM,AURORA_WQX,APHA,4500-H,,pH,,,,,,,,,None,8.43,,,Final,,,,Actual,,,,,1998-10-21,CO,,,,
UPSTREAM10/21/19981F21-OCT-19980,Field Msr/Obs,,,,Adams,,,,Water,,UPSTREAM,AURORA_WQX,USEPA,170.1,,"Temperature, water",,,,,,,,,deg C,17,,,Final,,,,Actual,,,,,1998-10-21,CO,,,,
UPSTREAM10/21/19981F21-OCT-19980,Field Msr/Obs,,,,Adams,,,,Water,,UPSTREAM,AURORA_WQX,AURORA_WQX,YSI-DS,,Total dissolved solids,,,,,,,,,g/l,1.472,Total,,Final,,,,Actual,,,,,1998-10-21,CO,,,,
