col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52
8496473,2067918.5758,1,0,2014-11-20,2009-11-18,2014-08-13,2010,2100,W912UM,S216,238220,368.0,1532348160.0,2010-11-20,Ceiling Breach,KOR,KOR,Any International,Services,5,5+,Comp.,2+ Offers,Not Urgency,Def/Pur,Fixed-Price,FFP or No Fee,,5,88230000.0,,1,exercise < all,348181.8438,1090428000.0,495128000.0,-116786793.44,-363129840.5703,76049083.6401,-11224.49,87660726.8599,1269686133.8435,1090428001.0,471860,471860,Other,3132.77731239299,W912UM,"[1.00e+05,1.00e+06)",Korean Office W912UM,1090428000.0,3131.77731526505
8441452,236874269.8321,0,0,2011-06-01,2009-07-13,2012-07-12,2009,2100,W912P8,Y299,237990,689.0,357980992.0,2011-06-01,Ceiling Breach,USA,USA,Just U.S.,Services,5,5+,Comp.,2+ Offers,Not Urgency,Def/Pur,Fixed-Price,Incentive,Not UCA,7,1538226.6563,,1,exercise < all,735000.0,297118416.0,0.0,-725174.7617,0.0,-59626473.3437,0.0,0.0,237501767.8946,296393242.2383,684569,684569,Other,405.242741496599,"[   10.0,23516.2]","[1.00e+05,1.00e+06)",Obligations at least half Base+Opt,296393241.2383,403.256110528299
2141645,787360601.87,1,0,2013-09-30,2008-10-01,2013-08-07,2009,9760,HT9402,Q201,621491,1826.0,771077568.0,2013-09-30,None,USA,USA,Just U.S.,Services,1,1,No Comp.,No Comp.,Not Urgency,Def/Pur,Fixed-Price,FFP or No Fee,Not UCA,0,0.0,1.0,1,exercise < all,154215520.0,460034812.0,221355309.77,-17248830.0,0.0,0.0,-30746196.9,0.0,787610614.87,460034813.0,684729,684729,Other,3.98306429210238,"[    1.0,    5.0)","[7.50e+07,7.18e+08]",Obligations at least half Base+Opt,460034812.0,2.98306429858681
2141646,1446217607.1838,1,0,2013-09-30,2008-10-01,2013-08-08,2009,9760,HT9402,Q201,621491,1826.0,1131886336.0,2013-09-30,None,USA,USA,Just U.S.,Services,1,1,No Comp.,No Comp.,Not Urgency,Def/Pur,Fixed-Price,FFP or No Fee,Not UCA,0,0.0,1.0,1,exercise < all,226377264.0,291847456.0,1036028365.2638,-98799613.73,0.0,0.0,-8985896.35,0.0,1446467575.1838,291847457.0,657063,657063,Other,2.289208332335,"[    1.0,    5.0)","[7.50e+07,7.18e+08]",Obligations at least half Base+Opt,291847456.0,1.2892083367524
8568990,876559716.01,0,0,2016-03-07,2010-12-20,2015-09-28,2011,2100,W560MY,R799,541611,851.958333333333,1043726528.0,2013-04-19,Ceiling Breach,AFG,AFG,Any International,Services,8,5+,Comp.,2+ Offers,Not Urgency,Def/Pur,Cost-Based,Fixed Fee,Not UCA,3,147499542.5,,1,exercise < all,718091456.0,368576018.86,52006618.08,-347103050.375,0.0,98905830.5,0.0,24949317.08,915426190.145,73479587.565,686178,686178,OCO,1.51327169371028,"[    0.0,    1.0)","[7.50e+07,7.18e+08]",Obligations at least half Base+Opt,73479586.565,0.102326223144758
8441432,350063329.5,0,0,2011-06-23,2009-06-29,2012-07-06,2009,2100,W912P8,Y299,237990,703.0,298011168.0,2011-06-01,Ceiling Breach,USA,USA,Just U.S.,Services,6,5+,Comp.,2+ Offers,Not Urgency,Def/Pur,Fixed-Price,Incentive,,21,9282029.5,9282030.5,1,exercise < all,3116419.0,327123958.0,44276771.0,0.0,0.0,-24453818.5,0.0,0.0,350063329.5,327123959.0,682902,682902,Other,105.967899695131,"[   10.0,23516.2]","[1.00e+06,1.00e+07)",Obligations at least half Base+Opt,327123958.0,104.967900016012
8496476,1081424.6893,1,0,2015-03-31,2010-03-10,2015-03-20,2010,2100,W912UM,R699,519190,386.958333333333,691931328.0,2011-03-31,Ceiling Breach,KOR,KOR,Any International,Services,2,2,Comp.,2+ Offers,Not Urgency,Def/Pur,Fixed-Price,FFP or No Fee,Not UCA,3,31040000.0,,1,exercise < all,163345.4531,625776000.0,409978545.45,-19763981.8198,-1022059311.09,7760000.0,-729867.3516,0.0,1124730.6417,,464829,464829,Other,3831.9973563629,W912UM,"[1.00e+05,1.00e+06)",At Least 1/2 After Admin Rescision,-6068747.4598,-37.1528398533672
26427614,291664130.1875,1,0,2016-12-25,2013-09-13,2016-12-01,2013,2100,W56KGY,R425,541330,365.0,348754909.46,2014-09-12,Ceiling Breach,,USA,Any International,Services,2,2,Comp.,2+ Offers,Not Urgency,MULTIPLE AWARD IDC,Cost-Based,Fixed Fee,Not UCA,2,5052923.0,5052924.0,1,exercise < all,2000000.0,280684896.0,295063773.1875,-7750191.0,0.0,5052923.0,0.0,0.0,575051401.1875,280684897.0,659846,659846,Other,141.3424475,"[   10.0,23516.2]","[1.00e+06,1.00e+07)",Obligations at least half Base+Opt,280684896.0,140.342448
10060563,728257105.7482,1,0,2012-07-31,2009-01-30,2012-03-29,2009,5700,FA8108,J010,336411,280.0,1158101632.0,2009-11-05,None,USA,USA,Just U.S.,Services,7,5+,Comp.,2+ Offers,Not Urgency,MULTIPLE AWARD IDC,Combination or Other,Combination,Not UCA,0,0.0,1.0,1,exercise < all,240730768.0,282020936.25,304159412.2188,-17048369.75,4200580.0,0.0,-44630111.2206,0.0,769433215.4982,282020937.25,658914,658914,Other,2.17152010768312,"[    1.0,    5.0)","[7.50e+07,7.18e+08]",Obligations at least half Base+Opt,282020936.25,1.17152011183714
2141647,1308072239.8745,1,0,2013-09-30,2008-10-01,2013-08-08,2009,9760,HT9402,Q201,621491,1826.0,1034635136.0,2013-09-30,None,USA,USA,Just U.S.,Services,1,1,No Comp.,No Comp.,Not Urgency,Def/Pur,Fixed-Price,FFP or No Fee,Not UCA,0,0.0,1.0,1,exercise < all,206927024.0,504504112.0,618940839.5845,0.0,0.0,0.0,-22049737.71,0.0,1308322237.8745,504504113.0,661380,661380,Other,3.43807744995163,"[    1.0,    5.0)","[7.50e+07,7.18e+08]",Obligations at least half Base+Opt,504504112.0,2.43807745478425
