col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32
smiles,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/smiles/,30,fields.CharField,,,,,smiles,reagent,,,string,,,,True,Simplified Molecular Input Line Entry System,SMILES,True,,[d;report],[c;u],,,,,,,,,
inchi,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/inchi/,31,fields.CharField,,,,,inchi,reagent,,,string,,,,True,IUPAC International Chemical Identifier,InChI,True,,[d;report],[c;u],,,,,,,,,
molecular_formula,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/molecular_formula/,32,fields.CharField,,,,,molecular_formula,reagent,,,string,,,,True,Molecular formula,Molecular Formula,True,,[d;report],[c;u],,,,,,,,,
molecular_mass,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/molecular_mass/,33,,,,,,molecular_mass,reagent,,,decimal,,{ 'decimals': 3 },,True,Molecular mass,Molecular Mass,True,,[d;report],[c;u],,,,,,,,,
molecular_weight,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/molecular_weight/,34,,,,,,molecular_weight,reagent,,,decimal,,{ 'decimals': 3 },,True,Molecular weight,Molecular Weight,True,,[d;report],[c;u],,,,,,,,,
compound_name,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/compound_name/,35,fields.ListField,db.models.SmallMoleculeCompoundName,small_molecule_compound_name,,ordinal,compound_name,reagent,,,list,,,,True,Compound name(s),Compound Name(s),True,,[l;d;report],[c;u],,,,,,,,,
pubchem_cid,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/pubchem_cid/,36,fields.ListField,db.models.SmallMoleculePubchemCid,small_molecule_pubchem_cid,,id,pubchem_cid,reagent,,,list,link,"{ 'hrefTemplate': 'http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid={__val__}', 'target': '_blank' }",,True,PubChem CIDs: see http://pubchem.ncbi.nlm.nih.gov/,PubChem CIDs,True,,[d;report],[c;u],,,,,,,,,
chembank_id,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/chembank_id/,37,fields.ListField,db.models.SmallMoleculeChembankId,small_molecule_chembank_id,,id,chembank_id,reagent,,,list,link,"{ 'hrefTemplate': 'http://chembank.broad.harvard.edu/chemistry/viewMolecule.htm?cbid={__val__}', 'target': '_blank' }",,True,ChemBank IDs: see http://chembank.broadinstitute.org/,ChemBank IDs,True,,[none],[c;u],,,,,,,,,
chembl_id,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/chembl_id/,38,fields.ListField,db.models.SmallMoleculeChemblId,small_molecule_chembl_id,,id,chembl_id,reagent,,,list,link,"{ 'hrefTemplate': 'http://www.ebi.ac.uk/chembldb/compound/inspect/CHEMBL{__val__}', 'target': '_blank' }",,True,ChEMBL IDs: see https://www.ebi.ac.uk/chembl/,ChEMBL IDs,True,,[d;report],[c;u],,,,,,,,,
is_restricted_structure,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/is_restricted_structure/,99,,,,,,is_restricted_structure,reagent,,,boolean,,,,True,True if the structure information for this reagent is restricted,Restricted,True,,[d;report],[c;u],,,,,,,,,
molfile,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/molfile/,99,fields.CharField,db.models.Molfile,molfile,,,molfile,reagent,,,string,,,,False,Molfile,Molfile,False,,[none],[c;u],,,,,,,,,
structure_image,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/structure_image/,3,,,,,,,,,URL for the image src,string,image,{ 'hideIfEmpty': true },,False,Structure image for this compound,Structure Image,False,,[d;report],,,/db/well_image/{structure_image},,,,,,,
