col0,col1,col2,col3,col4,col5,col6,col7
AY882670.1,Geochemical Controls on Microbial Population Distribution at Rainbow and Joseph's Coat Hot Springs in Yellowstone National Park,"Korf S.E., Macur R.E., Taylor W.P., Kozubal M.A., Ackerman G., Masur D., Inskeep W.P.;",,,Unpublished.,,
AY882670.1,,"Korf S.E., Macur R.E., Taylor W.P., Kozubal M.A., Ackerman G., Masur D., Inskeep W.P.;",,,"Submitted (11-JAN-2005) to the EMBL/GenBank/DDBJ databases. Land Resources and Environmental Science, Montana State University, Leon Johnson Hall, Bozeman, MT 59717, USA",,
AY882670.1,,"Korf S.E., Macur R.E., Kozubal M.A., Ackerman G., Taylor W.P., Masur D., Inskeep W.P.;",,,"Submitted (22-DEC-2005) to the EMBL/GenBank/DDBJ databases. Land Resources and Environmental Science, Montana State University, 815 Leon Johnson Hall, Bozeman, MT 59717, USA",,
EF558678.1,"Prokaryotic Diversity of Boiling Springs Lake, Lassen Volcanic National Park","Bartles A.N., Siering P.L., Wilson M.S.;",,,Unpublished.,,
EF558678.1,,"Bartles A.N., Siering P.L., Wilson M.S.;",,,"Submitted (16-APR-2007) to the EMBL/GenBank/DDBJ databases. Department of Biological Sciences, Humboldt State University, 1 Harpst St., Arcata, CA 95521, USA",,
EF682390.1,Novel archaea and bacteria dominate stable microbial communities in North America's Largest Hot Spring,"Wilson M.S., Siering P.L., White C.L., Hauser M.E., Bartles A.N.;",,,Microb. Ecol. 56(2):292-305(2008).,,18080156.0
EF682390.1,,"Wilson M.S., Siering P.L., White C.L.;",,,"Submitted (15-JUN-2007) to the EMBL/GenBank/DDBJ databases. Biological Sciences, Humboldt State University, 1 Harpst St., Arcata, CA 95521, USA",,
JXVG01000028.1,Direct Submission,"Ronholm,J., Petronella,N., Kenwell,R. and Banerjee,S.",,,"Submitted (21-JAN-2015) Bureau of Microbial Hazards, Health Canada, 251 Sir Frederick Banting, Ottawa, Ontario K1A0K9, Canada",,
JXVG01000028.1,Draft Whole-Genome Sequences of 14 Vibrio parahaemolyticus Clinical Isolates with an Ambiguous K Serogroup,"Ronholm,J., Petronella,N., Kenwell,R. and Banerjee,S.",Publication Status: Online-Only,,Genome Announc 3 (2) (2015),,25838480.0
NR_114178.1,Direct Submission,"Nakagawa,Y., Muramatsu,Y., Miyashita,M. and Suzuki,K.",,,"Submitted (10-NOV-2011) Contact:Mika Miyashita National Institute of Technology and Evaluation, NITE Biological Resource Center (NBRC); Kazusakamatari, Kisarazu, Chiba 292-0818, Japan URL :http://www.nbrc.nite.go.jp/",,
NR_114178.1,Direct Submission,,,NCBI RefSeq Targeted Loci Project,"Submitted (23-APR-2014) National Center for Biotechnology Information, NIH, Bethesda, MD 20894, USA",,
NR_114178.1,NITE Biological Resource Center (NBRC),"Nakagawa,Y., Muramatsu,Y., Miyashita,M., Sugimoto,M., Yoshino,M. and Kamakura,Y.",,,Unpublished,,
NZ_JEYK02000005.1,Direct Submission,"Harris,A.D., Johnson,K.J., George,J., Nadendla,S., Daugherty,S.C., Parankush,S., Sadzewicz,L., Tallon,L., Sengamalay,N., Hazen,T.H. and Rasko,D.A.",,,"Submitted (18-MAR-2014) Institute for Genome Sciences, University of Maryland School of Medicine, BioPark II, 801 W. Baltimore St., Suite 619, Baltimore, MD 21201, USA",,
NZ_JEYK02000005.1,Direct Submission,"Harris,A.D., Johnson,K.J., Nadendla,S., Daugherty,S.C., Parankush,S., Sadzewicz,L., Tallon,L., Sengamalay,N., Hazen,T.H. and Rasko,D.A.",,,"Submitted (18-FEB-2014) Institute for Genome Sciences, BioPark II, 801 W. Baltimore St., Suite 619, Baltimore, MD 21201, USA",,
NZ_JEYK02000005.1,Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb),"Harris,A.D., Johnson,K.J., George,J., Nadendla,S., Daugherty,S.C., Parankush,S., Sadzewicz,L., Tallon,L., Sengamalay,N., Hazen,T.H. and Rasko,D.A.",,,Unpublished,,
