col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
+,-,-,+,+,+,-,-,-,-,-,-,-,-,<E>,<E>,Max conduit Ida dans le salon
+,-,-,+,+,+,-,-,-,-,-,-,+,-,<E>,<E>,Max a cornaqué Luc(dans les différents services+d'un endroit à l'autre)
+,-,-,+,+,+,-,-,-,-,-,-,-,-,<E>,<E>,Max course Luc jusque dans la grange
+,-,-,+,+,+,-,+,-,-,-,-,-,-,<E>,<E>,Les Huns déportent leurs amis en Asie
+,-,-,+,-,+,-,+,+,-,-,-,-,-,<E>,<E>,Le roi a détaché Max à Dax
-,-,-,+,+,+,-,-,-,-,-,-,-,-,<E>,<E>,Max drive Bucéphale du paddock à la piste
+,+,-,+,+,+,-,-,+,+,+,-,+,+,évacué,<E>,On a évacué le blessé sur Gap
+,-,-,+,+,-,-,+,-,-,-,-,-,-,<E>,<E>,On a exilé Max de son pays
+,-,-,+,+,-,+,+,-,-,-,-,-,-,<E>,patrie,On a expatrié les conspirateurs
+,-,-,+,-,+,-,-,-,-,+,+,-,-,<E>,<E>,L'entraîneur a expulsé Max de l'équipe
+,-,-,+,+,-,-,+,-,-,-,-,-,-,<E>,<E>,La justice a extradé Bob de son pays d'élection
+,+,-,+,+,-,-,+,-,-,-,-,-,-,<E>,<E>,Max a filé Luc jusque chez lui
+,-,-,+,+,+,-,-,-,-,-,-,-,-,<E>,<E>,Max mène Luc chez lui
+,+,-,+,-,+,-,-,-,+,+,+,-,-,<E>,<E>,On a parachuté ce député dans l'Eure
-,-,-,-,+,-,-,+,+,-,-,-,-,-,<E>,<E>,Max piste Léa jusque chez elle
+,-,-,-,+,+,-,-,-,+,-,+,+,-,<E>,<E>,On a pourchassé Max jusqu'à l'étranger
+,-,-,+,-,+,-,-,-,-,-,-,-,-,<E>,<E>,Max promène son chien dans le jardin
-,+,+,-,-,+,-,+,-,-,-,-,-,-,<E>,<E>,Azor rabat le lièvre vers son maître
+,+,-,-,-,+,+,+,+,+,+,+,+,-,<E>,patrie,On a rapatrié Max dans son pays
+,-,-,+,-,-,-,-,-,-,-,-,-,-,<E>,<E>,Ce pays a rappelé ses ambassadeurs de leur poste
+,+,-,+,-,+,-,-,-,+,-,+,-,-,<E>,<E>,Max reconduit Ida chez elle
+,-,-,-,-,-,-,-,-,-,-,-,-,-,recrue,<E>,Max a recruté Luc dans son parti
+,-,-,-,+,+,-,-,-,+,+,+,-,-,<E>,<E>,On a refoulé Max de ce pays
-,-,-,-,-,-,-,+,-,-,-,-,-,-,<E>,<E>,On a relâché Max de la prison d'état
+,+,-,+,+,+,-,+,-,-,-,-,-,-,<E>,<E>,Le général a replié ses soldats sur leurs lignes
-,-,-,+,-,+,-,-,-,-,-,-,-,-,<E>,<E>,On a rétrogradé Max au grade de sergent
-,-,-,-,-,-,-,+,-,-,-,-,-,-,<E>,<E>,Le videur a sorti Max du bar
+,-,-,+,+,+,-,-,-,-,-,-,-,-,<E>,<E>,Les flics suivent Luc partout
-,-,-,-,-,-,-,-,-,-,-,-,-,-,<E>,<E>,Max talonne Luc dans la courbe
+,+,-,-,+,+,-,+,-,-,-,-,-,-,<E>,<E>,Max transhume ses moutons de la vallée dans la montagne
+,+,-,-,+,+,-,+,-,-,-,-,-,-,<E>,<E>,Le froid transmigre les populations vers le Sud
