col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73
,12,770,0,1,1,Kotro,Tuomas,1993,M,0:00:00,0:34:57,0:34:57,0,8627248,0,12043,182,Finland 2,1,MEN,,,,9002,M21E,"7,7",,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,752,0,1,1,Holmberg,Andreas,1992,M,0:00:00,0:35:09,0:35:09,0,8627357,0,10739,190,Sweden 1,1,MEN,,,,9002,M21E,"8,0",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,769,0,1,1,Saarela,Ville Petteri,1989,M,0:00:00,0:35:15,0:35:15,0,8627249,0,15738,182,Finland 1,1,MEN,,,,9002,M21E,"8,0",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,767,0,1,1,Saetra,Ove,1987,M,0:00:00,0:35:26,0:35:26,0,8627392,0,15773,208,Norway 2,1,MEN,,,,9002,M21E,"7,8",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,760,0,1,1,Veselov,Kirill,1983,M,0:00:00,0:35:27,0:35:27,0,8627403,0,17734,218,Russian Federation 2,1,MEN,,,,9002,M21E,"7,9",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,766,0,1,1,Watterdal,Oyvind,1987,M,0:00:00,0:35:31,0:35:31,0,8627396,0,17979,208,Norway 1,1,MEN,,,,9002,M21E,"7,7",,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,756,0,1,1,Kappenberger,Andrin,1983,M,0:00:00,0:35:45,0:35:45,0,8627271,0,11510,188,Switzerland 1,1,MEN,,,,9002,M21E,"7,9",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,776,0,1,1,Skoda,Jakub,1988,M,0:00:00,0:35:59,0:35:59,0,8625262,0,18563,177,Czech Republic 1,1,MEN,,,,9002,M21E,"7,7",,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,753,0,1,1,Lundholm,Markus,1992,M,0:00:00,0:36:01,0:36:01,0,8627373,0,13013,190,Sweden 2,1,MEN,,,,9002,M21E,"7,8",,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,759,0,1,1,Barchukov,Vladimir,1984,M,0:00:00,0:36:07,0:36:07,0,8627404,0,7350,218,Russian Federation 1,1,MEN,,,,9002,M21E,"7,8",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,359,0,1,1,Hallik,Margus,1978,M,0:00:00,0:37:49,0:37:49,0,8627236,0,10354,181,Estonia 1,1,MEN,,,,9002,M21E,"8,0",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,71,0,1,1,Kivlenieks,Raivo,1991,M,0:00:00,0:38:07,0:38:07,0,8627426,0,11787,238,Latvia 1,1,MEN,,,,9002,M21E,"7,6",,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,774,0,1,1,Fesselhofer,Roland,1987,M,0:00:00,,,0,8621784,0,9436,164,Austria 2,1,MEN,,,,9002,M21E,"7,9",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,773,0,1,1,Kogler,Bernhard,1986,M,0:00:00,,,0,8623623,0,19562,164,Austria 1,1,MEN,,,,9002,M21E,"8,0",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,757,0,1,1,Truttmann,Sandro,1992,M,0:00:00,,,0,8627268,0,17388,188,Switzerland 2,1,MEN,,,,9002,M21E,"7,9",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
