col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
1431548,1365680000000.0,4/11/2013,27:28.5,1365680000000.0,4/11/2013,02:22.7,18581.51426,17471.90116,1280.154694,2094200,14.83353365,26.106583,1,1.0
1417998,1365640000000.0,4/11/2013,05:16.4,1365640000000.0,4/11/2013,39:33.9,29416.59204,28653.41545,22550.06155,2057500,23.47839822,32.522999,1,
1604954,1365640000000.0,4/11/2013,32:41.3,1365640000000.0,4/11/2013,37:55.1,6201.384046,5968.959325,3098.907617,313800,20.27178336,30.061472,1,
1494036,1365690000000.0,4/11/2013,10:33.6,1365690000000.0,4/11/2013,15:15.2,6919.87175,6796.532234,5412.114308,281625,24.5081921,33.730125,1,
1541227,1365640000000.0,4/11/2013,17:41.7,1365640000000.0,4/11/2013,34:49.2,10014.87086,9183.048628,6750.424068,1027500,22.42983214,33.200821,1,
1468965,1365720000000.0,4/11/2013,54:10.4,1365720000000.0,4/11/2013,34:02.1,23024.66006,19219.47261,70.96487522,2391700,10.41210908,24.83882,1,
1480300,1365710000000.0,4/11/2013,25:34.6,1365710000000.0,4/11/2013,40:23.8,14846.14891,13897.59858,8671.429934,889200,16.72003448,30.486973,1,
1563086,1365710000000.0,4/11/2013,51:35.4,1365710000000.0,4/11/2013,00:38.8,9413.731454,9000.586961,6213.298758,543400,21.23517968,30.733126,1,
1429424,1365720000000.0,4/11/2013,18:21.1,1365720000000.0,4/11/2013,44:14.0,24599.63948,23685.10218,566.3052872,1552900,15.78656391,25.018167,1,1.0
1423200,1365720000000.0,4/11/2013,46:38.0,1365720000000.0,4/11/2013,00:52.2,17528.81891,17272.53296,11085.09888,854225,21.93639865,29.645737,1,
1581400,1365690000000.0,4/11/2013,31:26.0,1365690000000.0,4/11/2013,41:20.1,13460.11166,13160.62892,9918.795041,594100,22.85099553,32.608307,1,
1484869,1365640000000.0,4/11/2013,06:28.2,1365640000000.0,4/11/2013,27:29.7,26630.11826,25901.3605,13256.96765,1261500,21.71800902,38.886486,1,
1589770,1365720000000.0,4/11/2013,02:26.9,1365720000000.0,4/11/2013,29:27.9,25302.18524,24326.69538,16899.61311,1621000,21.13759706,35.51897,1,
1430543,1365710000000.0,4/11/2013,41:16.0,1365710000000.0,4/11/2013,52:01.7,12673.22589,12183.81794,7923.966816,645700,21.751441,34.977848,1,
1546970,1365720000000.0,4/11/2013,51:19.8,1365720000000.0,4/11/2013,03:32.5,17398.17615,17256.31222,11635.38743,732700,24.00588838,34.520943,1,
1621976,1365640000000.0,4/11/2013,33:18.4,1365640000000.0,4/11/2013,43:48.4,16701.75296,16478.03321,14783.36941,630000,26.43020787,35.702946,1,
1489368,1365690000000.0,4/11/2013,36:26.4,1365690000000.0,4/11/2013,47:25.7,14855.65057,14538.12926,12120.18803,659300,22.27717795,32.824654,1,
1606745,1365690000000.0,4/11/2013,18:23.4,1365690000000.0,4/11/2013,25:18.5,3811.613078,3510.386343,2005.059087,415100,16.35083626,32.919724,1,
1640468,1365690000000.0,4/11/2013,44:59.7,1365690000000.0,4/11/2013,07:13.8,34857.72508,34627.14302,29961.58498,1334100,26.55950074,34.744541,1,
