col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
1,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,	PH15 2EB,286580,749680,Aberfeldy 12 Year
2,Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,	AB38 9PJ,326340,842570,Abelour 10 Year
3,AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2,	AB5 5LI,352960,839320,AnCnoc 12 Year
4,Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0,	PA42 7EB,141560,646220,Ardbeg 10 Year
5,Ardmore,2,2,2,0,0,1,1,1,2,3,1,1,	AB54 4NH,355350,829140,Ardmore 12 Year
6,ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2,KA27 8HJ,194050,649950,Isle of Arran 10 Year
7,Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3,G81 4SJ,247670,672610,Auchentoshan 10 Year
8,Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1,	AB55 3XS,340754,848623,Auchriosk 10 Year
9,Aultmore,2,2,1,0,0,1,0,0,2,2,2,2,	AB55 3QY,340754,848623,Aultmore 12 Year
10,Balblair,2,3,2,1,0,0,2,0,2,1,2,1,	IV19 1LB,270820,885770,Balblair 10 Year
11,Balmenach,4,3,2,0,0,2,1,3,3,0,1,2,	PH26 3PF,307750,827170,Balmenach 12 Year
12,Balvenie,3,2,1,0,0,3,2,1,0,2,2,2,	AB55 4DH,332680,840840,Balvenie 10 Year
13,BenNevis,4,2,2,0,0,2,2,0,2,2,2,2,	PH33 6TJ,212600,775710,Ben Nevis 10 Year
14,Benriach,2,2,1,0,0,2,2,0,0,2,3,2,	IV30 8SJ,323450,858380,Benriach 12 Year
15,Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2,	AB38 9NN,325800,839920,Benrinnes 15 Year
16,Benromach,2,2,2,0,0,2,2,1,2,2,2,2,	IV36 3EB,303330,859350,Benromach 5  Year
17,Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3,	DG8 9AB,242260,554260,Bladnoch 16 Year
18,BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2,	PH16 5LY,294860,757580,Blair Athol 12 Year
19,Bowmore,2,2,3,1,0,2,2,1,1,1,1,2,	PA43 7GS,131330,659720,Bowmore 12 Year
20,Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2,PA49 7UN,126680,661400,Bruichladdich 10 Year
21,Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3,PA46 7RR,142210,673170,Bunnahabhain 12 Year
22,Caol Ila,3,1,4,2,1,0,2,0,2,1,1,1,	PA46 7RL,142920,670040,Caol Ila 12 Year
23,Cardhu,1,3,1,0,0,1,1,0,2,2,2,2,	AB38 7RY,318790,843090,Cardhu 12 Year
24,Clynelish,3,2,3,3,1,0,2,0,1,1,2,0,	KW9 6LB,290250,904230,Clynelish 14 Year
25,Craigellechie,2,2,2,0,1,2,2,1,2,2,1,4,AB38 9ST,328920,844920,Crraigellachie 14 Year
26,Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2,AB37 9AB,316600,836370,Cragganmore 12 Year
27,Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1,	AB38 7RE,323520,841010,Dailuaine 16 Year
28,Dalmore,3,2,2,1,0,1,2,2,1,2,3,1,	IV17 0UT,266610,868730,Dalmore 12 Year
29,Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2,	PH19 1AB,263670,785270,Dalwhinnie 15 Year
30,Deanston,2,2,1,0,0,2,1,1,1,3,2,1,FK16 6AG,271570,701570,Deanston 12 Yer
