col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
1,2013,CarsByMarketSegment,Diesel,Mini,km,0.10505,0.10323,5e-05,0.00177,0.02211
2,2013,CarsByMarketSegment,Diesel,Mini,miles,0.169061587,0.166132581,8.05e-05,0.002848539,0.035582596
3,2013,CarsByMarketSegment,Diesel,Supermini,km,0.13742,0.1356,5e-05,0.00177,0.02905
4,2013,CarsByMarketSegment,Diesel,Supermini,miles,0.221156052,0.218227046,8.05e-05,0.002848539,0.046751443
5,2013,CarsByMarketSegment,Diesel,LowerMedium,km,0.15548,0.15366,5e-05,0.00177,0.03292
6,2013,CarsByMarketSegment,Diesel,LowerMedium,miles,0.250220805,0.247291799,8.05e-05,0.002848539,0.052979604
7,2013,CarsByMarketSegment,Diesel,UpperMedium,km,0.17224,0.17042,5e-05,0.00177,0.03651
8,2013,CarsByMarketSegment,Diesel,UpperMedium,miles,0.277193411,0.274264404,8.05e-05,0.002848539,0.058757149
9,2013,CarsByMarketSegment,Diesel,Executive,km,0.19536,0.19354,5e-05,0.00177,0.04146
10,2013,CarsByMarketSegment,Diesel,Executive,miles,0.314401444,0.311472438,8.05e-05,0.002848539,0.066723402
11,2013,CarsByMarketSegment,Diesel,Luxury,km,0.23601,0.23419,5e-05,0.00177,0.05017
12,2013,CarsByMarketSegment,Diesel,Luxury,miles,0.379821277,0.376892271,8.05e-05,0.002848539,0.080740788
13,2013,CarsByMarketSegment,Diesel,Sports,km,0.16468,0.16286,5e-05,0.00177,0.03489
14,2013,CarsByMarketSegment,Diesel,Sports,miles,0.26502677,0.262097764,8.05e-05,0.002848539,0.056150012
15,2013,CarsByMarketSegment,Diesel,Dual purpose 4X4,km,0.24191,0.24009,5e-05,0.00177,0.05143
16,2013,CarsByMarketSegment,Diesel,Dual purpose 4X4,miles,0.389316407,0.386387401,8.05e-05,0.002848539,0.082768562
17,2013,CarsByMarketSegment,Diesel,MPV,km,0.19254,0.19072,5e-05,0.00177,0.04085
18,2013,CarsByMarketSegment,Diesel,MPV,miles,0.309863094,0.306934088,8.05e-05,0.002848539,0.065741702
19,2013,CarsByMarketSegment,Diesel,Mini,km,0.14357,0.14287,0.00014,0.00056,0.02873
20,2013,CarsByMarketSegment,Petrol,Mini,miles,0.231053518,0.229926977,0.000225308,0.000901233,0.046236453
21,2013,CarsByMarketSegment,Petrol,Supermini,km,0.16341,0.16271,0.00014,0.00056,0.03271
22,2013,CarsByMarketSegment,Petrol,Supermini,miles,0.262982903,0.261856362,0.000225308,0.000901233,0.052641642
23,2013,CarsByMarketSegment,Petrol,LowerMedium,km,0.1948,0.1941,0.00014,0.00056,0.03903
24,2013,CarsByMarketSegment,Petrol,LowerMedium,miles,0.313500211,0.31237367,0.000225308,0.000901233,0.062812696
25,2013,CarsByMarketSegment,Petrol,UpperMedium,km,0.22486,0.22416,0.00014,0.00056,0.04507
26,2013,CarsByMarketSegment,Petrol,UpperMedium,miles,0.361877092,0.360750551,0.000225308,0.000901233,0.072533134
27,2013,CarsByMarketSegment,Petrol,Executive,km,0.26075,0.26005,0.00014,0.00056,0.05229
28,2013,CarsByMarketSegment,Petrol,Executive,miles,0.419636448,0.418509907,0.000225308,0.000901233,0.084152598
29,2013,CarsByMarketSegment,Petrol,Luxury,km,0.34564,0.34494,0.00014,0.00056,0.06935
30,2013,CarsByMarketSegment,Petrol,Luxury,miles,0.55625366,0.555127119,0.000225308,0.000901233,0.111608006
31,2013,CarsByMarketSegment,Petrol,Sports,km,0.25015,0.24945,0.00014,0.00056,0.05015
32,2013,CarsByMarketSegment,Petrol,Sports,miles,0.402577402,0.401450861,0.000225308,0.000901233,0.080708602
33,2013,CarsByMarketSegment,Petrol,Dual purpose 4X4,km,0.27681,0.27611,0.00014,0.00056,0.05551
34,2013,CarsByMarketSegment,Petrol,Dual purpose 4X4,miles,0.445482513,0.444355972,0.000225308,0.000901233,0.089334685
35,2013,CarsByMarketSegment,Petrol,MPV,km,0.21621,0.21551,0.00014,0.00056,0.04333
36,2013,CarsByMarketSegment,Petrol,MPV,miles,0.347956266,0.346829725,0.000225308,0.000901233,0.069732876
37,2013,CarsByMarketSegment,Unknown,Mini,km,0.143,0.14218,0.00013,0.00069,0.02797
38,2013,CarsByMarketSegment,Unknown,Mini,miles,0.230136192,0.22881653,0.000209215,0.001110447,0.045013352
39,2013,CarsByMarketSegment,Unknown,Supermini,km,0.15981,0.15882,0.00011,0.00088,0.03174
40,2013,CarsByMarketSegment,Unknown,Supermini,miles,0.257189265,0.255596014,0.000177028,0.001416223,0.051080579
41,2013,CarsByMarketSegment,Unknown,LowerMedium,km,0.17867,0.17759,0.00011,0.00097,0.03694
42,2013,CarsByMarketSegment,Unknown,LowerMedium,miles,0.287541492,0.285803401,0.000177028,0.001561064,0.059449167
43,2013,CarsByMarketSegment,Unknown,UpperMedium,km,0.19315,0.19199,0.0001,0.00106,0.04149
44,2013,CarsByMarketSegment,Unknown,UpperMedium,miles,0.310844794,0.308977955,0.000160934,0.001705905,0.066771683
45,2013,CarsByMarketSegment,Unknown,Executive,km,0.22158,0.2202,8e-05,0.0013,0.0456
46,2013,CarsByMarketSegment,Unknown,Executive,miles,0.356598444,0.354377549,0.000128748,0.002092147,0.073386086
47,2013,CarsByMarketSegment,Unknown,Luxury,km,0.30489,0.30351,8e-05,0.0013,0.0575
48,2013,CarsByMarketSegment,Unknown,Luxury,miles,0.490672892,0.488451997,0.000128748,0.002092147,0.09253728
49,2013,CarsByMarketSegment,Unknown,Sports,km,0.24348,0.2421,8e-05,0.0013,0.04072
50,2013,CarsByMarketSegment,Unknown,Sports,miles,0.391843077,0.389622182,0.000128748,0.002092147,0.065532488
51,2013,CarsByMarketSegment,Unknown,Dual purpose 4X4,km,0.25154,0.25016,8e-05,0.0013,0.05299
52,2013,CarsByMarketSegment,Unknown,Dual purpose 4X4,miles,0.40481439,0.402593495,0.000128748,0.002092147,0.085279139
53,2013,CarsByMarketSegment,Unknown,MPV,km,0.20202,0.20075,9e-05,0.00118,0.04205
