col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27
Definition,0,file_id,serial_number,1.0,,time_created,1.0,,manufacturer,1,,product,1,,number,1,,unknown,1.0,,type,1,,,,,
Data,0,file_id,serial_number,3968700466.0,,time_created,907807860.0,,manufacturer,1,,garmin_product,2503,,number,4,,type,32.0,,,,,,,,
Definition,1,device_info,timestamp,1.0,,serial_number,1.0,,manufacturer,1,,product,1,,software_version,1,,,,,,,,,,,
Data,1,device_info,timestamp,907807860.0,s,serial_number,3968700466.0,,manufacturer,1,,garmin_product,2503,,software_version,3.3,,,,,,,,,,,
Definition,2,software,version,1.0,,,,,,,,,,,,,,,,,,,,,,,
Data,2,software,version,3.6,,,,,,,,,,,,,,,,,,,,,,,
Definition,3,monitoring_info,timestamp,1.0,,local_timestamp,1.0,,cycles_to_distance,2,,cycles_to_calories,2,,unknown,2,,resting_metabolic_rate,1.0,,activity_type,2,,unknown,1.0,,
Data,3,monitoring_info,timestamp,907807860.0,s,local_timestamp,907797060.0,s,cycles_to_distance,1.5834|2.375,m/cycle,cycles_to_calories,0.0422|0.1328,kcal/cycle,unknown,4480|4480,,resting_metabolic_rate,1814.0,kcal / day,activity_type,6|1,,unknown,1.0,,
Definition,4,monitoring,timestamp,1.0,,distance,1.0,,cycles,1,,active_time,1,,active_calories,1,,duration_min,1.0,,activity_type,1,,,,,
Data,4,monitoring,timestamp,907807860.0,s,distance,0.0,m,cycles,0.0,cycles,active_time,553.0,s,active_calories,37,kcal,duration_min,1311.0,min,activity_type,0,,,,,
Data,4,monitoring,timestamp,907807860.0,s,distance,1372.04,m,steps,1733,steps,active_time,1160.0,s,active_calories,40,kcal,duration_min,1311.0,min,activity_type,6,,,,,
Definition,5,monitoring,timestamp,1.0,,unknown,1.0,,unknown,1,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp,907807860.0,s,unknown,0.0,,unknown,0,,,,,,,,,,,,,,,,,
Definition,6,unknown,unknown,1.0,,unknown,1.0,,unknown,1,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,907807860.0,,unknown,51.0,,unknown,48,,,,,,,,,,,,,,,,,
Definition,7,monitoring,timestamp_16,1.0,,heart_rate,1.0,,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,3248.0,s,heart_rate,87.0,bpm,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,3308.0,s,heart_rate,79.0,bpm,,,,,,,,,,,,,,,,,,,
Definition,0,monitoring,timestamp,1.0,,current_activity_type_intensity,1.0,,,,,,,,,,,,,,,,,,,,
Data,0,monitoring,timestamp,907807980.0,s,current_activity_type_intensity,136.0,,activity_type,8,,intensity,4.0,,,,,,,,,,,,,,
Data,4,monitoring,timestamp,907807980.0,s,distance,0.0,m,cycles,0.0,cycles,active_time,553.0,s,active_calories,37,kcal,duration_min,1313.0,min,activity_type,0,,,,,
Data,4,monitoring,timestamp,907807980.0,s,distance,1372.04,m,steps,1733,steps,active_time,1160.0,s,active_calories,40,kcal,duration_min,1313.0,min,activity_type,6,,,,,
Data,5,monitoring,timestamp,907807980.0,s,unknown,0.0,,unknown,0,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,907807980.0,,unknown,51.0,,unknown,48,,,,,,,,,,,,,,,,,
