col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
SD,PMID,18564632,,Article,,,,,,8,,,,,,,,,,,,,
Not specified,PMID,24825462,,Article,,,,,,20,,,,,,,,,,,,,
SD,PMID,25329073,,Article,,,,,,20,,,,,,,,,,,,,
SEM,PMID,20819268,,Article,,,,,,105,,,,,,,,,,,,,
SEM,PMID,27549738,,Article,,,,,,27,,,,,,,,,,,,,
SEM,PMID,19186046,,Article,,,,,,105,,,,,,,,,,,,,
SD,PMID,24364843,"Fig.2A,p.205",Article,,25.0,,,,25,,,,,,,,,,,,,
SD,PMID,23331964,"Fig4,p.7",Article,,,,,,30,,,,,,,,,,,,,
SD,PMID,20843660,Fig.7,Article,,4.0,6.0,58.3,,10,,,,,,,,,,,,,
SD,PMID,25825101,table 5,Article,,15.0,10.0,,,25,,,,,,,,,,,,,
SD,PMID,24904654,"Fig. 7, p. 238",Article,,12.0,6.0,54.2,,18,,,,,,,,,,,,,
Not specified,PMID,20514447,"p. 83, Section Results",Article,,14.0,21.0,,,35,,,,,,,,,,,,,
Not specified,PMID,25924227,"Fig. 7, p. 9",Article,,,,,,10,,,,,,,,,,,,,
