col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38
subject,,,,cell_subset,,,gene,,,,,,,,,pathogen,,vaccine,,,,,,,,,,,,,,,,,,,,
evidence,,,,,label,label,,label,label,label,label,label,label,label,label,,label,,label,label,label,label,label,label,label,label,label,label,url,label,label,label,label,label,label,label,file,file
role,,,,tissue,observed,observed,gene_biomarker,observed,background,measured,background,background,observed,observed,background,pathogen,background,vaccine,background,observed,background,background,background,background,background,background,background,background,reference,observed,observed,observed,observed,background,background,background,observed,observed
mime_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numeric_units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
display_text,,,,tissue type,response component (original gene symbol),response component (original) count,response component (gene symbol),response component count,response behavior type,response behavior,comparison,subgroup,time point,time point units,baseline time,target pathogen,vaccine year (influenza only),exposure material (VO),exposure material - additional,cohort,adjuvant,route,publication reference (PMID),publication year,"signature source figure, table or text section",signature source url,comments and additional details,gene signature is a model,Giarola-Silva et al. (2017) Distinct patterns of cellular immune response elicited by influenza non-adjuvanted and AS03-adjuvanted monovalent H1N1(pdm09) vaccine. Antiviral Res. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28549970' target='_blank'>28549970</a>,age group,age min.,age max.,age units,ID of observation within its own submission,Uniq ID of observation within its submission type,row key,response component (genes) file, response components including non-HGNC genes
,hipc_gene_28549970_2,2017.08,hipc_gene_28549970_2,blood,TLR3,5,TLR3,5,gene expression,up-regulated,3d vs 0d,none,3,days,time of vaccination (first dose),influenza A virus (A/California/7/2009(H1N1)),pan,VO_0000410,,adults (21-51),AS03 (VO_0001320),i.m.,28549970,2017,Fig 3: Adjuvanted,<a href = 'https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub,,,,,,,,,,,,
,hipc_gene_28549970_2,2017.08,hipc_gene_28549970_2,blood,TLR7,5,TLR7,5,gene expression,up-regulated,3d vs 0d,none,3,days,time of vaccination (first dose),influenza A virus (A/California/7/2009(H1N1)),pan,VO_0000410,,adults (21-51),AS03 (VO_0001320),i.m.,28549970,2017,Fig 3: Adjuvanted,<a href = 'https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub,,,,,,,,,,,,
,hipc_gene_28549970_2,2017.08,hipc_gene_28549970_2,blood,CXCL8,5,CXCL8,5,gene expression,up-regulated,3d vs 0d,none,3,days,time of vaccination (first dose),influenza A virus (A/California/7/2009(H1N1)),pan,VO_0000410,,adults (21-51),AS03 (VO_0001320),i.m.,28549970,2017,Fig 3: Adjuvanted,<a href = 'https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub,,,,,,,,,,,,
,hipc_gene_28549970_2,2017.08,hipc_gene_28549970_2,blood,CXCL9,5,CXCL9,5,gene expression,up-regulated,3d vs 0d,none,3,days,time of vaccination (first dose),influenza A virus (A/California/7/2009(H1N1)),pan,VO_0000410,,adults (21-51),AS03 (VO_0001320),i.m.,28549970,2017,Fig 3: Adjuvanted,<a href = 'https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub,,,,,,,,,,,,
,hipc_gene_28549970_2,2017.08,hipc_gene_28549970_2,blood,CCL5,5,CCL5,5,gene expression,up-regulated,3d vs 0d,none,3,days,time of vaccination (first dose),influenza A virus (A/California/7/2009(H1N1)),pan,VO_0000410,,adults (21-51),AS03 (VO_0001320),i.m.,28549970,2017,Fig 3: Adjuvanted,<a href = 'https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub,,,,,,,,,,,,
