col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30
1,403608,4,08C62B13DF295EF0E053C416A9C395A1,1,2014-11-26 17:05:54,0,32161.0,2014-11-14 13:56:05,1,250778,SAS,J0417+35/PULP,,445645,J0417+35/PULP,MoM,"Pulsars in observation specs, file or SAP",2015-12-03 00:00:00,0,0,0,0,1,0,0,2014-11-14 05:00:04,default,Pulsar Pipeline,-1.0,PulsarPipeline
2,403612,4,08EDBAA425CD1802E053C416A9C305F3,0,2014-11-28 16:18:02,0,19283.0,2014-11-24 20:51:27,1,251346,SAS,B0950+08/PULP,,446109,B0950+08/PULP,MoM,"Pulsars in observation specs, file or SAP",2015-11-28 00:00:00,0,0,0,0,0,0,0,2014-11-24 15:30:04,default,Pulsar Pipeline,-1.0,PulsarPipeline
3,403559,4,0C9DEDCB1E4519E3E053C016A9C3CE91,0,2015-01-14 14:44:13,0,11227.0,2014-12-17 23:06:44,1,250954,SAS,J0931-19/PULP,,445741,J0931-19/PULP,MoM,"Pulsars in observation specs, file or SAP",2016-05-15 00:00:00,0,0,0,0,0,0,0,2014-12-17 19:59:37,default,Pulsar Pipeline,-1.0,PulsarPipeline
4,403559,4,0E22919160DC7024E053C016A9C3D519,0,2015-02-02 22:24:29,0,64801.0,2015-01-15 20:30:03,1,257497,SAS,J1628+4406/PULP,,454678,J1628+4406/PULP,MoM,"Pulsars in observation specs, file or SAP",2016-05-15 00:00:00,0,0,0,1,0,0,0,2015-01-15 02:30:02,default,Pulsar Pipeline,-1.0,PulsarPipeline
5,403923,4,0E7462D8F9294F3FE053C016A9C3FCF5,0,2015-02-07 00:01:16,0,25126.0,2015-02-03 19:28:54,1,258699,SAS,J2051-0827/PULP,,455931,J2051-0827/PULP,MoM,"Pulsars in observation specs, file or SAP",2016-05-15 00:00:00,0,0,0,0,0,0,0,2015-02-03 12:30:08,default,Pulsar Pipeline,-1.0,PulsarPipeline
6,403640,4,0F75078513615502E053C016A9C35F38,1,2015-02-19 18:12:42,0,65983.0,2015-02-15 17:20:37,1,248951,SAS,J1816+4510/PP/6,,437623,J1816+4510/PP/6,MoM,"Pulsars in observation specs, file or SAP",2015-12-09 00:00:00,0,0,0,0,0,0,0,2015-02-14 23:00:54,default,Pulsar Pipeline,-1.0,PulsarPipeline
7,403640,4,0F770FAF79E2700DE053C016A9C368B6,1,2015-02-19 20:38:09,1,115296.0,2015-02-13 19:05:57,1,248929,SAS,J1816+4510/PP/17,,437690,J1816+4510/PP/17,MoM,"Pulsars in observation specs, file or SAP",2015-12-09 00:00:00,0,0,0,0,0,0,0,2015-02-12 11:04:21,default,Pulsar Pipeline,-1.0,PulsarPipeline
8,404141,4,1B0E79B3A6233534E053C416A9C310BD,0,2015-07-17 09:56:07,0,21847.0,2015-07-04 18:56:11,1,348208,SAS,J2210+21/PULP,,529113,J2210+21/PULP,MoM,"Pulsars in observation specs, file or SAP",2016-11-15 00:00:00,0,0,0,0,0,0,0,2015-07-04 12:52:04,default,Pulsar Pipeline,-1.0,PulsarPipeline
9,404141,4,1B0E87D56CC93818E053C416A9C3AF90,0,2015-07-17 10:00:04,0,6145.0,2015-07-04 19:36:29,1,348228,SAS,B2327-20/PULP,,529128,B2327-20/PULP,MoM,"Pulsars in observation specs, file or SAP",2016-11-15 00:00:00,0,0,0,0,0,0,0,2015-07-04 17:54:04,default,Pulsar Pipeline,-1.0,PulsarPipeline
10,404141,4,1FB3DB2F85673C80E053C016A9C34CE2,0,2015-09-14 12:56:07,0,8166.0,2015-09-04 19:22:43,1,370648,SAS,B1508+55/PULP,,578371,B1508+55/PULP,MoM,"Pulsars in observation specs, file or SAP",2016-11-15 00:00:00,0,0,0,0,0,0,0,2015-09-04 17:06:37,default,Pulsar Pipeline,-1.0,PulsarPipeline
11,404141,4,1FB3FE3ABF6B48A4E053C016A9C3277D,0,2015-09-14 13:05:55,0,40780.0,2015-09-06 00:19:42,1,370740,SAS,J2057+21/PULP,,578440,J2057+21/PULP,MoM,"Pulsars in observation specs, file or SAP",2016-11-15 00:00:00,0,0,0,0,0,0,0,2015-09-05 13:00:02,default,Pulsar Pipeline,-1.0,PulsarPipeline
12,404141,4,1FB4087A82F24DBFE053C016A9C3E0BE,0,2015-09-14 13:08:47,0,38458.0,2015-09-08 05:20:18,1,370584,SAS,B1931+24/PULP,,578612,B1931+24/PULP,MoM,"Pulsars in observation specs, file or SAP",2016-11-15 00:00:00,0,0,0,0,0,0,0,2015-09-07 18:39:20,default,Pulsar Pipeline,-1.0,PulsarPipeline
13,404230,4,2003FD624E9B7844E053C016A9C3A753,0,2015-09-18 12:32:19,0,24517.0,2015-09-15 00:49:40,1,372980,SAS,B0450-18/PULP,,580506,B0450-18/PULP,MoM,"Pulsars in observation specs, file or SAP",2016-11-15 00:00:00,0,0,0,1,0,0,0,2015-09-14 18:01:03,default,Pulsar Pipeline,-1.0,PulsarPipeline
14,404230,4,200472AAF2D00B15E053C016A9C3859E,0,2015-09-18 13:05:06,0,24058.0,2015-09-15 04:54:01,1,372988,SAS,B0559-05/PULP,,580512,B0559-05/PULP,MoM,"Pulsars in observation specs, file or SAP",2016-11-15 00:00:00,0,0,0,1,0,0,0,2015-09-14 22:13:03,default,Pulsar Pipeline,-1.0,PulsarPipeline
15,404139,4,20E25BDC07091D6BE053C016A9C3C960,0,2015-09-29 13:50:07,0,17442.0,2015-09-22 08:52:45,1,374059,SAS,LOTAAS-P0330A/PULP,,581623,LOTAAS-P0330A/PULP,MoM,Pulsar specified in dataproduct,2016-11-15 00:00:00,0,0,0,1,0,0,0,2015-09-22 04:02:03,default,Pulsar Pipeline,-1.0,PulsarPipeline
16,404139,4,20E53718486A3295E053C016A9C3A5A8,0,2015-09-29 17:14:35,0,16190.0,2015-09-28 17:49:52,1,369042,SAS,LOTAAS-P0019A/PULP,,577026,LOTAAS-P0019A/PULP,MoM,Pulsar specified in dataproduct,2016-11-15 00:00:00,0,0,0,1,0,0,0,2015-09-28 13:20:02,default,Pulsar Pipeline,-1.0,PulsarPipeline
17,404230,4,21E5C113A3023E67E053C016A9C3E2C5,0,2015-10-12 11:18:23,0,24017.0,2015-09-24 09:52:37,1,373797,SAS,B1911+13/PULP,,581135,B1911+13/PULP,MoM,"Pulsars in observation specs, file or SAP",2016-11-15 00:00:00,0,0,0,1,0,0,0,2015-09-24 03:12:20,default,Pulsar Pipeline,-1.0,PulsarPipeline
18,404144,4,21E9880A8A552AE9E053C016A9C38B37,0,2015-10-12 15:48:46,0,20274.0,2015-09-17 17:33:08,1,373102,SAS,J1825-0935/PULP,,580588,J1825-0935/PULP,MoM,"Pulsars in observation specs, file or SAP",2016-11-15 00:00:00,0,0,0,0,0,0,0,2015-09-17 11:55:14,default,Pulsar Pipeline,-1.0,PulsarPipeline
