col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34
1,1,1,True,1,3,False,False,30,0,2000,False,700,100,False,0.0,2,1,1200,644,190,0,2016,140.0,,,,728.0,665.28,,1393.28,1563.3,True,0.0,140.0
1,1,2,False,1,3,False,False,30,0,2000,False,700,100,False,0.0,2,1,1200,644,190,0,2016,140.0,,,,728.0,665.28,,1393.28,1563.3,True,0.0,140.0
1,1,3,False,1,3,True,True,2,0,0,False,700,100,False,0.0,2,1,1200,644,190,0,2016,140.0,,,,728.0,665.28,,1393.28,1563.3,True,0.0,140.0
2,2,4,True,1,2,False,False,40,0,2000,False,400,80,False,0.0,2,0,800,512,0,0,2013,0.0,,,,690.0,,,690.0,,,0.0,0.0
2,2,5,False,1,2,False,False,40,0,2000,False,400,80,False,0.0,2,0,800,512,0,0,2013,0.0,,,,690.0,,,690.0,,,0.0,0.0
3,3,6,True,1,2,False,False,28,0,2000,False,400,80,True,0.36,1,1,1000,719,164,0,2009,140.0,,,,488.24,364.32,,852.56,992.6,True,0.0,140.0
3,3,7,False,1,2,True,True,1,0,0,False,400,80,True,0.36,1,1,1000,719,164,0,2009,140.0,,,,488.24,364.32,,852.56,992.6,True,0.0,140.0
4,4,8,True,1,5,False,False,33,0,2000,False,850,120,False,0.0,2,3,2000,1500,462,0,2006,216.65,,,,608.4,601.1,,1209.5,1631.0,True,203.35,216.65
4,4,9,False,1,5,False,False,30,0,2000,False,850,120,False,0.0,2,3,2000,1500,462,0,2006,216.65,,,,608.4,601.1,,1209.5,1631.0,True,203.35,216.65
4,4,10,False,1,5,True,True,12,0,0,False,850,120,False,0.0,2,3,2000,1500,462,0,2006,216.65,,,,608.4,601.1,,1209.5,1631.0,True,203.35,216.65
4,4,11,False,1,5,True,True,10,0,0,False,850,120,False,0.0,2,3,2000,1500,462,0,2006,216.65,,,,608.4,601.1,,1209.5,1631.0,True,203.35,216.65
4,4,12,False,1,5,True,True,2,0,0,False,850,120,False,0.0,2,3,2000,1500,462,0,2006,216.65,,,,608.4,601.1,,1209.5,1631.0,True,203.35,216.65
5,5,13,True,1,3,False,False,30,0,2000,False,720,110,False,0.0,3,0,2500,1578,0,0,2011,0.0,,,,873.0,,,873.0,,,352.5,0.0
5,5,14,False,1,3,False,False,40,0,2000,False,720,110,False,0.0,3,0,2500,1578,0,0,2011,0.0,,,,873.0,,,873.0,,,352.5,0.0
5,5,15,False,1,3,False,False,35,0,2000,False,720,110,False,0.0,3,0,2500,1578,0,0,2011,0.0,,,,873.0,,,873.0,,,352.5,0.0
6,6,16,True,1,2,False,False,28,0,2000,False,400,80,True,0.36,1,1,1000,719,194,0,2019,10.0,,,,488.24,364.32,,852.56,992.6,True,0.0,0.0
6,6,17,False,1,2,True,True,1,0,0,False,400,80,True,0.36,1,1,1000,719,194,160,2019,10.0,,,,488.24,364.32,,852.56,992.6,True,0.0,0.0
7,7,18,True,1,3,False,False,30,0,2000,False,700,100,False,0.0,2,1,1200,644,190,0,2016,40.0,,,,728.0,665.28,,1393.28,1563.3,True,0.0,140.0
7,7,19,False,1,3,False,False,30,0,2000,False,700,100,False,0.0,2,1,1200,644,190,0,2016,40.0,,,,728.0,665.28,,1393.28,1563.3,True,0.0,140.0
7,7,20,False,1,3,True,True,2,0,100,False,700,100,False,0.0,2,1,1200,644,190,0,2016,40.0,,,,728.0,665.28,,1393.28,1563.3,True,0.0,140.0
8,8,21,True,1,2,False,False,38,0,2000,False,400,80,True,0.36,1,1,1000,719,204,0,2020,117.5,,,,488.24,364.32,,852.56,992.6,True,0.0,0.0
8,8,22,False,1,2,True,True,15,0,150,False,400,80,True,0.36,1,1,1000,719,204,0,2020,117.5,,,,488.24,364.32,,852.56,992.6,True,0.0,0.0
9,9,23,True,1,4,False,False,40,0,1300,False,800,90,False,0.0,2,2,1300,900,384,0,2017,50.0,,,,359.0,633.41,,992.41,1272.4,True,0.0,
9,9,24,False,1,4,False,False,38,0,0,False,800,90,False,0.0,2,2,1300,900,384,0,2017,50.0,,,,359.0,633.41,,992.41,1272.4,True,0.0,
9,9,25,False,1,4,True,True,15,0,120,True,800,90,False,0.0,2,2,1300,900,384,0,2017,50.0,,,,359.0,633.41,,992.41,1272.4,True,0.0,
9,9,26,False,1,4,True,True,13,0,180,True,800,90,False,0.0,2,2,1300,900,384,0,2017,50.0,,,,359.0,633.41,,992.41,1272.4,True,0.0,
10,10,27,True,1,2,False,False,35,0,1600,False,750,100,False,0.0,2,1,1600,1200,219,0,2021,205.0,,,,,,,,,,,
10,10,28,True,1,2,False,False,33,0,0,False,750,100,False,0.0,2,1,1600,1200,219,0,2021,205.0,,,,,,,,,,,
10,10,29,False,1,2,True,True,12,0,0,True,750,100,False,0.0,2,1,1600,1200,219,0,2021,205.0,,,,,,,,,,,
