col0,col1,col2,col3,col4,col5
90,26063,Huron,Michigan,MI,0.000821683649207
35,26113,Missaukee,Michigan,MI,0.0007765601242496
31,26165,Wexford,Michigan,MI,0.0006958659154519
62,1127,Walker,Alabama,AL,0.000673384265402
68,16019,Bonneville,Idaho,ID,0.000653841258382
127,36085,Richmond,New York,NY,0.0005877073726088
1,1059,Franklin,Alabama,AL,0.0005836079914179
32,26147,St. Clair,Michigan,MI,0.0005750291543362
10,26151,Sanilac,Michigan,MI,0.0005410807014221
70,36071,Orange,New York,NY,0.0005286750646396
64,36087,Rockland,New York,NY,0.0005209129987023
44,27155,Traverse,Minnesota,MN,0.0005137206216019
76,1123,Tallapoosa,Alabama,AL,0.0005037254590782
125,36081,Queens,New York,NY,0.0005005809567901
89,1133,Winston,Alabama,AL,0.0005000534245111
97,1093,Marion,Alabama,AL,0.0004794709473978
69,36059,Nassau,New York,NY,0.0004732093550397
41,16065,Madison,Idaho,ID,0.0004698016656604
124,36047,Kings,New York,NY,0.0004612724964114
126,36005,Bronx,New York,NY,0.0004495305193638
50,16051,Jefferson,Idaho,ID,0.0004458288732204
21,50019,Orleans,Vermont,VT,0.0004421225217819
48,36103,Suffolk,New York,NY,0.0004349093392748
28,27043,Faribault,Minnesota,MN,0.0004303102933746
57,21121,Knox,Kentucky,KY,0.0004267509272752
75,36027,Dutchess,New York,NY,0.000417268311232
22,1037,Coosa,Alabama,AL,0.0004117353989039
65,2170,Matanuska-Susitna,Alaska,AK,0.0004053465505896
102,1095,Marshall,Alabama,AL,0.0004008918718046
73,36119,Westchester,New York,NY,0.0003966132831956
5,27009,Benton,Minnesota,MN,0.0003832398491461
86,26157,Tuscola,Michigan,MI,0.0003709878317524
54,36061,New York,New York,NY,0.0003652387153038
55,34031,Passaic,New Jersey,NJ,0.0003624583665833
47,36079,Putnam,New York,NY,0.0003613194546012
118,34037,Sussex,New Jersey,NJ,0.0003608409027218
81,26099,Macomb,Michigan,MI,0.0003595315902911
4,26087,Lapeer,Michigan,MI,0.0003574818285854
87,34003,Bergen,New Jersey,NJ,0.0003550365897913
119,50009,Essex,Vermont,VT,0.0003517515253524
108,36111,Ulster,New York,NY,0.0003501085325068
77,8037,Eagle,Colorado,CO,0.0003499164443082
114,27095,Mille Lacs,Minnesota,MN,0.0003418811554472
92,42095,Northampton,Pennsylvania,PA,0.0003356298811898
113,42089,Monroe,Pennsylvania,PA,0.0003329390185776
63,21051,Clay,Kentucky,KY,0.0003325320235266
0,1043,Cullman,Alabama,AL,0.0003287600317057
53,42103,Pike,Pennsylvania,PA,0.0003250714679183
105,21235,Whitley,Kentucky,KY,0.0003228978698354
52,34039,Union,New Jersey,NJ,0.0003184843348585
96,50011,Franklin,Vermont,VT,0.0003167896429351
15,27013,Blue Earth,Minnesota,MN,0.000316637013359
24,36025,Delaware,New York,NY,0.000315303476232
122,34023,Middlesex,New Jersey,NJ,0.0003140351674952
71,36105,Sullivan,New York,NY,0.0003112332406869
67,38077,Richland,North Dakota,ND,0.000301962631811
120,27141,Sherburne,Minnesota,MN,0.0002985780984208
13,26049,Genesee,Michigan,MI,0.0002985738499659
117,1051,Elmore,Alabama,AL,0.0002980357783659
109,26133,Osceola,Michigan,MI,0.0002934024849609
40,26045,Eaton,Michigan,MI,0.0002914784162943
30,26009,Antrim,Michigan,MI,0.0002905766008349
74,34041,Warren,New Jersey,NJ,0.000284926705293
7,1073,Jefferson,Alabama,AL,0.0002803798320986
95,37101,Johnston,North Carolina,NC,0.0002747819358739
106,26075,Jackson,Michigan,MI,0.0002726430852872
43,9001,Fairfield,Connecticut,CT,0.0002705246241376
