col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,<E>,"Bouge pas, j'arrive"
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,<E>,Max s'est bougé de sa place
-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,<E>,Zoé ne décolle pas du bureau
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,<E>,Max a déhotté de(bonne heure+chez lui)
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,<E>,Max a démarré de chez lui(E+à 3 heures)
+,-,-,-,-,+,+,-,-,-,-,+,-,+,+,+,-,rail,Le train a déraillé de la voie
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,<E>,L'alpiniste a déroché de la(plate-forme+roche)
+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,+,-,<E>,Max a déserté de son régiment
+,-,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,<E>,Max a dévissé (dans la faille+de la paroi)
+,-,-,-,-,-,+,-,+,-,-,-,-,+,+,+,-,<E>,Le vase lui a échappé des mains
+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,<E>,Deux poussins(ont+sont) éclos d'un même oeuf
-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,<E>,Une odeur étrange émane de ce corps
+,+,-,-,-,+,+,-,-,-,-,-,-,-,+,+,-,<E>,L'image s'est évanouie de l'écran
+,-,-,-,-,-,+,-,+,-,-,+,-,+,+,-,-,filtre,De l'eau filtre du plafond
+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,<E>,Un filet d'eau fluait de la source
+,-,+,-,-,-,+,-,+,-,-,-,-,-,+,-,-,<E>,Des cris partent de la foule
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,<E>,La tache est partie de sa chemise
-,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,-,provenance,Ce chèque provient de votre carnet
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,<E>,L'eau ressurgit de cette faille
+,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,<E>,Le nom de Max a sauté de la liste
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,<E>,Ce secret ne sortira pas de la réunion
+,-,-,-,-,+,+,-,+,-,-,-,-,+,+,-,-,<E>,L'eau sourd du mur
+,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,<E>,Le trésorier a valsé de son poste
~,~,~,~,~,~,~,~,+,~,~,~,~,~,~,~,~,<E>,Ce tapis vient de Fez
