col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34
4,49.539268,27.0,1,adjacent,0.149825331,80798,9221,61545,19995,21964,41960,5542,3644,9185,16133,17432,33554,3861,3038,976,7856,80010,788,0.009849,0.149825,0.476525,0.523451,0.603375,0.396734,0.480807,0.519521,0.491471,0.386711,0.124236
5,689.115417,55.0,1,adjacent,0.160933454,79337,9572,59478,25385,17174,42606,4871,2265,7171,17617,12132,29813,2461,1566,563,4626,80010,-673,-0.008411,0.160933,0.595808,0.403089,0.679264,0.315856,0.590917,0.406937,0.531993,0.338521,0.121703
6,1950.853516,61.0,1,adjacent,0.339118534,80800,21806,64302,21778,14620,36358,4253,1078,5325,14459,8698,23111,1891,923,494,3293,80010,790,0.009874,0.339119,0.598988,0.402112,0.798685,0.202441,0.625633,0.376358,0.574248,0.280292,0.150015
7,130.716309,62.0,1,adjacent,0.240031076,79223,14212,59209,17838,15062,32857,4680,1867,6552,12610,10784,23391,2326,1128,545,3987,80010,-787,-0.009836,0.240031,0.542898,0.458411,0.714286,0.284951,0.539096,0.461032,0.583396,0.282919,0.136694
35,1133.490601,64.0,1,adjacent,0.246789649,79245,15144,61364,25147,17827,43042,5839,1901,7714,17632,12912,30552,3176,1462,741,5371,80010,-765,-0.009561,0.24679,0.584243,0.414177,0.756935,0.246435,0.577114,0.422624,0.591324,0.272203,0.137963
9,372.705017,66.0,1,adjacent,0.261210311,79899,15565,59588,22895,17326,40212,5064,2195,7271,15414,12080,27503,2820,1300,493,4654,80010,-111,-0.001387,0.26121,0.569357,0.430866,0.696465,0.301884,0.560448,0.439225,0.60593,0.27933,0.10593
10,32.133034,68.0,1,adjacent,0.114449213,80526,7600,66405,15020,26269,41272,6174,5743,11909,13910,21346,35251,4749,4057,1063,9819,80010,516,0.006449,0.114449,0.363927,0.636485,0.518431,0.48224,0.394599,0.605543,0.483654,0.413179,0.108259
14,24.668127,72.0,1,adjacent,0.108017016,79493,6602,61120,16661,18053,34726,4516,3162,7695,13362,14249,27623,2339,2222,648,5227,80010,-517,-0.006462,0.108017,0.479785,0.51987,0.586875,0.410916,0.483727,0.515838,0.447484,0.4251,0.123972
15,39.89904,73.0,1,adjacent,0.342742001,79409,21177,61787,11133,21729,32876,7566,2946,10515,8718,16602,25326,3951,2045,840,6886,80010,-601,-0.007512,0.342742,0.338636,0.660938,0.719544,0.280171,0.344231,0.655532,0.573773,0.296979,0.121987
17,2247.599365,75.0,1,adjacent,0.534633963,80033,34200,63969,15685,19319,35011,6366,883,7252,10851,12153,23034,2954,864,609,4401,80010,23,0.000287,0.534634,0.448002,0.551798,0.877827,0.12176,0.471086,0.527611,0.671211,0.196319,0.138378
26,39.093906,76.0,1,adjacent,0.336564187,79321,21008,62419,6286,14610,20939,4461,2622,7132,4851,10346,15247,2582,1663,546,4878,80010,-689,-0.008611,0.336564,0.300205,0.697741,0.625491,0.367639,0.318161,0.67856,0.529315,0.340918,0.111931
20,457.676788,78.0,1,adjacent,0.257631633,79219,15090,58572,18858,14530,33429,5073,2112,7224,13131,11477,24638,2504,1308,599,4462,80010,-791,-0.009886,0.257632,0.564121,0.434653,0.702243,0.292359,0.532957,0.465825,0.561183,0.293142,0.134245
27,45.352306,79.0,1,adjacent,0.396839362,79375,23906,60241,12470,18118,30627,7186,1835,9022,9188,14377,23573,3870,1266,659,5789,80010,-635,-0.007937,0.396839,0.407157,0.59157,0.796497,0.203392,0.389768,0.609893,0.668509,0.218691,0.113837
23,333.898285,81.0,1,adjacent,0.133529264,79385,7951,59545,22832,12112,34967,3027,2008,5036,15211,8740,23952,1486,1321,381,3192,80010,-625,-0.007812,0.133529,0.652959,0.346384,0.601072,0.398729,0.635062,0.364896,0.465539,0.413847,0.119361
24,36.713516,83.0,1,adjacent,0.376074487,79244,22619,60145,8858,17363,26228,5092,1928,7023,5906,11718,17628,2863,1352,622,4845,80010,-766,-0.009574,0.376074,0.337731,0.662002,0.725046,0.274527,0.335035,0.664738,0.590918,0.279051,0.12838
25,20.290581,85.0,1,adjacent,0.197882551,79251,12205,61678,16654,17597,34195,4334,2380,6692,11169,11739,22877,2177,1688,568,4384,80010,-759,-0.009486,0.197883,0.48703,0.514607,0.647639,0.355649,0.48822,0.513135,0.496578,0.385036,0.129562
28,110.675194,91.0,1,adjacent,0.359092777,80540,21849,60845,13882,17954,31818,5813,1951,7764,9524,14044,23558,4081,1374,589,6026,80010,530,0.006624,0.359093,0.436294,0.564272,0.748712,0.251288,0.404279,0.596146,0.677232,0.228012,0.097743
30,223.621155,93.0,1,adjacent,0.184439359,80744,11284,61180,19080,18002,37148,4733,2799,7547,13544,13132,26692,2773,1841,601,5248,80010,734,0.009174,0.184439,0.513621,0.484602,0.627137,0.370876,0.507418,0.491983,0.528392,0.3508,0.11452
31,53.125893,94.0,1,adjacent,0.314145279,80632,19046,60628,13372,18667,32067,4732,1834,6581,8962,12428,21401,2587,1560,668,4825,80010,622,0.007774,0.314145,0.417002,0.582125,0.71904,0.278681,0.418765,0.580721,0.536166,0.323316,0.138446
33,389.792572,96.0,1,adjacent,0.156706445,80803,10085,64356,18516,16703,35206,5998,3393,9384,15219,13854,29073,2902,2064,570,5523,80010,793,0.009911,0.156706,0.525933,0.474436,0.639173,0.361573,0.523475,0.476525,0.525439,0.37371,0.103205
34,383.245819,97.0,1,adjacent,0.245852843,79264,14702,59800,23488,18304,41779,6194,2433,8600,16511,13395,29862,3054,1682,661,5343,80010,-746,-0.009324,0.245853,0.562196,0.438115,0.720233,0.282907,0.55291,0.448563,0.571589,0.314804,0.123713
3,2182.422607,100.0,1,adjacent,0.233739125,79303,14669,62758,17408,15489,32901,3933,1924,5856,12543,10649,23192,2454,1592,546,4591,80010,-707,-0.008836,0.233739,0.529102,0.470776,0.671619,0.328552,0.540833,0.459167,0.534524,0.346765,0.118928
8,80.879059,63.0,1,affected,0.455661331,79427,27953,61346,13089,20481,33518,6218,1505,7699,8993,12074,21034,3843,1278,853,5947,80010,-583,-0.007287,0.455661,0.390507,0.611045,0.807637,0.19548,0.427546,0.574023,0.646208,0.214898,0.143434
