col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
2,2014,70,80,23.4756717755102,23.1653490516483,22.117655859375,22.0458461065312,1997 WHO Classification,others,age
6,2003,11,9,43.7321330578512,23.9136411918329,49.8999666666667,33.3005272022439,1997 WHO Classification,others,age
7,2010,17,10,9.7,2.4,9.9,2.8,1997 WHO Classification,children,age
14,2017,5944,759,28.9112858692373,32.8993786456763,30.6002163195801,36.2066495380416,The classification of Brazilian  Ministry of Health,others,age
15,2006,30,27,10.43,2.94,10.68,2.32,1997 WHO Classification,others,age
16,2014,124,33,30.3006797996878,24.2056925398215,38.0052669421488,42.1984275665621,1997 WHO Classification,adults,age
21,2017,30,20,30.281823,11.1188429531356,37.166492,11.4759640653484,1997 WHO Classification,adults,age
23,2007,20,22,9.7,2.9,11.1,2.9,1997 WHO Classification,children,age
25,2008,18,9,7.33,2.3,5.11,2.4,,others,age
26,2016,22,20,26.0,13.6,23.0,9.96,2009 WHO Classification,adults,age
27,2017,36,49,11.5,19.8866878098517,14.0,15.6508593547943,1997 WHO Classification,others,age
31,2017,343,22,26.5507713809722,14.2727235719284,27.4533944214876,14.5274476823119,2009 WHO Classification,adults,age
33,2017,1943,117,7.84098316802415,5.48402129291146,8.2079,4.40191926413832,2009 WHO Classification,children,age
35,2010,66,62,70.3,32.0017724636001,73.45,47.4702096597558,1997 WHO Classification,children,age
37,2015,588,79,29.86,15.67,36.8,18.14,1997 WHO Classification,adults,age
39,2015,415,18,51.0,54.3619908677064,61.5459995628011,40.8763624740281,2009 WHO Classification,adults,age
40,2017,2158,143,10.5712104514443,3.29034247967994,10.3792818181818,3.29930383282331,1997 WHO Classification,children,age
42,2006,239,120,9.9,4.2,9.8,3.7,1997 WHO Classification,children,age
43,2017,174,38,40.7320583615496,55.3009499820063,33.8511696914635,61.0344523568804,2009 WHO Classification,adults,age
44,2014,356,111,32.0,143.012154715586,40.0,114.323006012457,1997 WHO Classification,adults,age
55,2012,44,18,39.0,13.02,40.0,14.08,1997 WHO Classification,adults,age
58,2013,219,40,27.4,11.4,23.3,8.8,2009 WHO Classification,adults,age
61,2015,21,30,38.0,17.0,41.0,13.0,2009 WHO Classification,adults,age
62,2008,1855,118,32.0,536.514548358259,34.0,117.932576524002,1997 WHO Classification,adults,age
69,2000,268,60,18.1408346458216,69.2451878114853,14.2510357075718,46.5386678183167,1997 WHO Classification,others,age
72,2011,61,76,9.5,3.0,9.9,3.3,1997 WHO Classification,children,age
76,2015,15,15,29.3,0.52,28.3,0.5,1997 WHO Classification,others,age
76(2),2015,23,26,8.6,0.38,7.3,0.45,1997 WHO Classification,others,age
80,2016,25,27,33.9,19.3959135807526,40.8,37.8779673248684,1997 WHO Classification,adults,age
83,2016,24,22,7.8689015625,6.69443923696333,8.28289896694215,4.4699839022498,2009 WHO Classification,children,age
89,2012,48,45,31.0290481056221,44.9938700789718,24.4971192539396,45.0330514000663,Both 1997 and 2009 WHO Classifactions,others,age
90,2014,64,388,29.9,1.5,29.9,0.6,2009 WHO Classification,adults,age
93,2008,20,39,35.21197025,22.3921250055578,34.5983,33.2500454203495,Both 1997 and 2009 WHO Classifactions,adults,age
95,2012,38,13,15.76,7.82,19.0,13.4,1997 WHO Classification,others,age
