Name,Place,Date of Newspaper,Notes
"Anderson, John",Washington Co.,3 Sep 1798,Died yesterday of the prevailing fever (yellow fever)
"Atherton, Lorena","Died at Essex, VT",12 Mar 1812,"d/o Samuel, died Sunday, along with Averis Johnson"
"Atwater, Mrs. Sarah",Vermont?,31 Dec 1812,"66y, died on the 23rd of peripneumonia notha?, wife of Ambrose, had 10 children the youngest of which grad. college in 1809; early VT settler"
"Averill, Mrs. Rosannah",Died at Plattsburg,21 Jan 1813,"Wife of Nathan, Sr."
"Bailey, Samuel",Died at Chazy,21 Jan 1813,Died Friday the 1st?
"Baker, Thomas B.W.",Salem,3 Sep 1813,"18m, s/o John K. Baker"
"Barber, Jesse","Died at Swanton, VT",15 Apr 1813,"47y, had wife and 9 sm. children, member of Christ Church"
"Barnard, Joel","Brandon, VT",18 Feb 1813,Died on the 31st
"Barns, Gen. Hezekiah","Charlotte, VT",25 Mar 1813,"53y, died on the 20th, left wife and 7 children"
"Barnum, Daniel","Hinesburgh, VT",25 Mar 1813,20y?
"Barnum, Mrs.","Hinesburgh, VT",25 Mar 1813,Wife of Capt. Daniel
"Bean, Capt. William C.","Windsor, VT?",9 Jan 1812,"33y, of Col. BoydвЂ™s Regiment, killed by Indians, left afflicted mother in Windsor, VT"
"Behren, Albrecht (estate)",,26 Mar 1798,Relief of heirs
"Belch, Thomas","Dorset, VT",18 Feb 1813,28y
"Benedick, Mrs. Hannah","Hinesburgh, VT",25 Mar 1813,
"Berry, John","Bennington, VT",18 Feb 1813,30y
"Bliss, Semanthe",Salem,27 Feb 1812,"16y, died Friday, d/o Luther of Bennington"
"Bowron?, Jacob G.",Salem,9 July 1812,"Died yesterday from fall of a mast on steamboat. Has brother in Mt. Pleasant, Westchester Co."
"Brannon, Charles I. (estate sale)",,26 Mar 1798,
"Breadbake, John (estate sale)",,26 Mar 1798,Petition of Nathan Merrit; had widow Anna
"Brownson, Amos",Formerly of Salem,13 Feb 1812,Died at Montreal on the 30th
"Burke, Betty","Sandgate, VT",18 Feb 1813,11y
"Butterfield, Lovina",,7 Jan 1813,"21y, died on the 4th"
"Caldwell, Capt. Richard","Died at Champlain, NY",31 Dec 1812,"Died 22 Nov, had wife, 2 children; 25th Regt Infantry"
"Calkins, Miss","Hinesburgh, VT",25 Mar 1813,Eldest d/o Charles
"Capron, George W.","Brandon, VT",18 Feb 1813,"8y, s/o Samuel, died on the 16th"
"Castle, Lt. Jeremiah",Salem,11 Mar 1813,Died Sat.
