Date,Comments,Name,,Vote
"Jan 4, 2012","Amazing!!!!!!! Princess Donna, I genuinely have feelings for you lol",aswain,,Great! (5)
"Jan 4, 2012",I can only say WOW ! I mean WOW ! !,DARTHVEDA,,Great! (5)
"Jan 4, 2012","it was a good scene,creampie and squirting would be perfect",macload,,Fair (3)
"Jan 4, 2012",Fair?! Are you KIDDING me? Some people will just very be satisfied...This is more like mind-blowing.,raindegrey,,Great! (5)
"Jan 4, 2012",the best DP Gangbang ever !!!! (until now). Princess Donna i love you !,mmystery2,,Great! (5)
"Jan 4, 2012",Donna how can I not admire you. Awesome!!!,skyrocket,,Great! (5)
"Jan 4, 2012","Fantastic, maybe a little on the rough side for my liking, but i guess that's how Princess Donna likes it, so it's all good. Nice touch with Rain and Iona as cocksucking sidekicks. Really enjoyed when Donna was tied up on the chair and got her sexy ass fucked. Absolutely one of the best videos in here, Thanks Princess Donna and all the boys n girls, Excellent job",loftxx,,Great! (5)
"Jan 4, 2012",i came twice by only looking at the pictures! im gonna watch the vid now....its gonna be a looooooong night. LOVE YOU PRINCESS DONNA YOU ARE AMAZING!!!! <3 <3 <3,afrooman,,Great! (5)
"Jan 4, 2012","""Will leave you speechless"". Yeah, i'm speechless. I subscribed this site only to see Donna Dolore ( ""pain"" in Italian)and can only say ""WOW!!!""",Tonymiles,,Great! (5)
"Jan 4, 2012","I busted a nut, not once nor twice but thrice! Nuf Said...",9username,,Great! (5)
"Jan 4, 2012","what a beautiful production!! Princess Donna has a perfect and willing body and I could see that she really loves beeing treated by all these cocks! I enjoyed also the two women beside the main scene, they also new very good how to suck a cock and to give pleasure to men around her. What a pitie, I wasn't there! Now I will replay and then I can choose the scene for my very pleasure so faraway. Thank you, this is a very good fucking movie.",wolfie-lupo,,Great! (5)
"Jan 4, 2012",BAAAMMMMMM!!!!! 10 loads and counting!,afrooman,,Great! (5)
"Jan 4, 2012",Donna was great also I liked having Rain & Gracie as fluffers. More of the same please!!,ramon1,,Great! (5)
"Jan 4, 2012","really great ,,,,but i wish there were a foot worship in the whole process",slave122367,,Great! (5)
"Jan 4, 2012","The best GangBang ever !!!, gorgeous Donna.",dibste,,Great! (5)
"Jan 4, 2012","Donna is un-real!! There should be a better rating than ""Great"". This is way better than Great. Thanks to all!!!",patpuddin,,Great! (5)
"Jan 4, 2012","what can you possibly say after seeing a shoot like that? There are no words big enough, no thanks can be written heartfelt enough, simply no way to portray how wonderful it was. What you gave us Princess Donna was truly inspirational! It made me cry. Thank you thank you thank you. Every one of the guys gave it their all thank you thank you thank you. The ladies were a delight thank you thank you thank you. James Dean outdid himself thank you thank you thank you.You are all better than the best,every camera angle was perfect, the sound quality was awesome, the fantasy, perfection. Thank you thank you thank you. P. S. a special note for Princess Donna: if you place one drop of oil of cloves onto a teaspoon of honey and suck it slowly it will ease your throat. I hope there are a thousand hands to soothe you, and that you know there are thousands of virtual hands that wish they could. THANK YOU",switchbitch,,Great! (5)
"Jan 4, 2012","UNFREAKING BELIEVABLE!!!i'm amazed nobody didn't call 911 this is like the end of an era,how the hell can you possibly top this mayhem? Princess Donna,i hope you heal well,you gotta be hurting.GREAT SHOOT.",chaz1637,,Great! (5)
"Jan 4, 2012","best scene ever, thx!",Willem58,,Great! (5)
"Jan 4, 2012",matt is simply the best there is. Donna too of course.,pp-hivdoc,,Great! (5)
"Jan 4, 2012","Greater than GREAT! Unbelievable that she endured that, and actually enjoyed it. This shoot is the reason I rejoined BGB, and it was worth the price of admission for the month. It will certainly be hard to top, or even equal this one. This kind of spoils us for anything in the future. Thank you Donna. You are fantastic!",Nort12,,Great! (5)
