Level,User Name,Points,Activity,Reputation,Points for user,Points for threads,Points for posts,Points for miscellaneous
46,Philips - Ina,"22,602",0%,10,"1,251","15,525","5,825",0
29,Philips - Benedickte,"9,766",0%,10,940,"6,618","2,208",0
29,Philips В– Johann,"9,579",0%,10,507,"7,469","1,603",0
12,test_user,"1,897",0%,10,"1,897",0,0,0
11,sietskesijbrandi,"1,838",0%,10,"1,838",0,0,0
11,marktullemans,"1,838",0%,10,"1,838",0,0,0
11,karinroozen,"1,838",0%,10,"1,838",0,0,0
11,dannycoppens,"1,838",0%,10,"1,838",0,0,0
11,marijndamstra,"1,838",0%,10,"1,838",0,0,0
13,Robert Jansen,"2,250",0%,10,"1,811",432,6,0
12,emielrijswijk,"1,874",0%,10,"1,811",60,2,0
11,Ilse de Rooi,"1,824",0%,10,"1,815",3,6,0
11,Ramya,"1,810",0%,10,"1,810",0,0,0
11,Rob vd Ven,"1,803",0%,10,"1,803",0,0,0
15,peu306cabrio,"2,856",0%,10,"1,841",977,38,0
12,JuAn,"2,068",0%,10,"1,860",116,92,0
12,IceDragon,"1,935",0%,10,"1,799",123,12,0
12,Samsonite,"1,881",0%,10,"1,797",31,52,0
12,joost,"1,936",0%,10,"1,797",133,6,0
11,Tim,"1,805",0%,10,"1,797",1,6,0
16,DellUser,"3,326",0%,10,"2,222",869,235,0
16,JohnnyQ,"3,306",0%,10,"1,795","1,315",195,0
11,MisterT,"1,788",0%,10,"1,788",0,0,0
11,Formaad,"1,787",0%,10,"1,787",0,0,0
11,Brico,"1,835",0%,10,"1,797",35,2,0
11,Karin,"1,795",0%,10,"1,795",0,0,0
11,Floris,"1,785",0%,10,"1,785",0,0,0
12,guilherme,"1,906",0%,10,"1,785",119,2,0
11,Philipsfan,"1,783",0%,10,"1,783",0,0,0
11,Cobalt,"1,826",0%,10,"1,816",4,6,0
