School,Distance,Total,Attendance Rate,Receiving Suspensions,Getting Free/Reduced Lunch
Big Cross Street School,-,244,97%,1.6%,109
Sanford Street School,1.01 miles,249,95%,6.8%,129
Kensington Road School,1.12 miles,203,97%,2.5%,42
Abraham Wing School,1.44 miles,146,95%,1.4%,74
Tanglewood Elementary School,1.48 miles,534,97%,0.0%,97
Jackson Heights School,1.62 miles,214,97%,2.3%,54
Harrison Avenue Elementary School,1.79 miles,330,96%,0.0%,80
Moreau Elementary School,2.24 miles,297,96%,0.0%,76
Queensbury Elementary School,2.56 miles,1105,96%,0.1%,186
William H. Barton Intermediate School,2.57 miles,603,96%,0.7%,86
