File name,Package_1_for_kb954154_bf~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"1,899"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Package_1_for_kb954154~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"2,619"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Package_2_for_kb954154_bf~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"1,741"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Package_2_for_kb954154~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"2,457"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Package_3_for_kb954154_bf~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"1,741"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Package_3_for_kb954154~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"2,457"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Package_for_kb954154_client_0_bf~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"1,394"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Package_for_kb954154_client_0~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"1,413"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Package_for_kb954154_client_1_bf~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"1,357"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Package_for_kb954154_client_1~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"1,376"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Package_for_kb954154_client_bf~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"1,689"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Package_for_kb954154_client~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"1,722"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Package_for_kb954154_server_0_bf~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"1,394"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Package_for_kb954154_server_0~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"1,413"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Package_for_kb954154_server_bf~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"1,420"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Package_for_kb954154_server~31bf3856ad364e35~x86~~6.0.1.0.mum
File version,Not Applicable
File size,"1,440"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Update-bf.mum
File version,Not Applicable
File size,"2,012"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,X86_45cf86418ccf545a698fbeea9c95ad6a_31bf3856ad364e35_6.0.6000.16710_none_a1dc98c915a837bc.manifest
File version,Not Applicable
File size,710
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,X86_535ad232079780be69a1e73e2a10df8d_31bf3856ad364e35_6.0.6001.18098_none_dbd7f670fd6dafa6.manifest
File version,Not Applicable
File size,710
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,X86_7cea09d3f08f46091a121444198ef384_31bf3856ad364e35_6.0.6000.20867_none_75bd2d979012cceb.manifest
File version,Not Applicable
File size,710
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,X86_916cc8a13ab94fbad68837ba4752d40d_31bf3856ad364e35_6.0.6001.22211_none_1f22ff703c13eda5.manifest
File version,Not Applicable
File size,710
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,X86_microsoft-windows-mediaplayer-wmpeffects_31bf3856ad364e35_6.0.6000.16710_none_f75cda9b92533b4f.manifest
File version,Not Applicable
File size,"10,614"
Date (UTC),26-Jun-2008
Time (UTC),03:56
Platform,Not Applicable
,
File name,X86_microsoft-windows-mediaplayer-wmpeffects_31bf3856ad364e35_6.0.6000.20867_none_f7b769d0ab93182f.manifest
File version,Not Applicable
File size,"10,304"
Date (UTC),26-Jun-2008
Time (UTC),03:46
Platform,Not Applicable
,
File name,X86_microsoft-windows-mediaplayer-wmpeffects_31bf3856ad364e35_6.0.6001.18098_none_f8f49a4b8fb37959.manifest
File version,Not Applicable
File size,"10,614"
Date (UTC),26-Jun-2008
Time (UTC),04:27
Platform,Not Applicable
,
File name,X86_microsoft-windows-mediaplayer-wmpeffects_31bf3856ad364e35_6.0.6001.22211_none_f9cdb656a8968561.manifest
File version,Not Applicable
File size,"10,304"
Date (UTC),26-Jun-2008
Time (UTC),04:04
Platform,Not Applicable
,
