Photo,Name,Category,Primary source,Date available,Projects,
,Adult Loafer Slippers,Other,Hook Candy Crochet Patterns,December 2012,7,132
,"Adult Mary Jane ""Skimmers""",Other,Hook Candy Crochet Patterns,May 2008,336,3455
,Adult Ribbed Mitts,Mittens/Gloves,Hook Candy Crochet Patterns,December 2008,5,86
,Awesome Slippers,Other,Hook Candy Crochet Patterns,April 2008,41,1045
,baby 2 Strap Mary Janes,Socks,Hook Candy Crochet Patterns,June 2008,77,766
,baby Crossover Strap Mary Janes,Socks,Hook Candy Crochet Patterns,June 2008,62,948
,Baby Fingerless Mitts,Mittens/Gloves,Hook Candy Crochet Patterns,September 2008,31,260
,"Baby Mary Jane ""Skimmers""",Socks,Hook Candy Crochet Patterns,March 2008,401,5636
,Baby Moccasin Booties,Socks,Hook Candy Crochet Patterns,April 2008,59,680
,Baby Sandal Booties,Socks,Hook Candy Crochet Patterns,March 2008,41,503
,Carseat Shoulder Strap Covers,Home,Hook Candy Crochet Patterns,November 2008,22,732
,Children's Loafer Slippers,Child,Hook Candy Crochet Patterns,December 2012,1,49
,Children's Mary Jane Skimmers,Child,Hook Candy Crochet Patterns,November 2014,2,75
,Crossover Strap Mary Janes,Other,Hook Candy Crochet Patterns,May 2008,116,1490
,Cutie Pie Baby Hood,Baby,Hook Candy Crochet Patterns,October 2009,,39
,Daisy Stripes Steering Wheel Cover,Home,Hook Candy Crochet Patterns,October 2009,3,111
,Diamonds Bikini,Other,Hook Candy Crochet Patterns,July 2015,,30
,Doodle Bug Hat,Baby,Hook Candy Crochet Patterns,March 2009,2,151
,Double Strap Baby Booties,Socks,Hook Candy Crochet Patterns,2008,454,3372
,Floor Cushion,Home,Hook Candy Crochet Patterns,October 2009,5,391
,Hooded Shrug,Shrug,Hook Candy Crochet Patterns,March 2012,4,234
,Insulated 2-Tone EarFlap Hat with Brim,Child,Hook Candy Crochet Patterns,2012,,48
,Ipod / Gadget Envelope,Home,Hook Candy Crochet Patterns,September 2008,5,96
,Kitty Ears Hat,Child,Hook Candy Crochet Patterns,November 2012,1,52
,Knotty Pocket Scarf,Scarf,Hook Candy Crochet Patterns,November 2010,1,87
