,Username,Status,Role,Bubbles,CRank,Score
Send PM,H2OAcidic,,Contributor,3,8,8860
Send PM,haaaaaa,,Member,3,5,130
Send PM,HacSawJimThugin,"""from the void...""",Member,3,5,1480
Send PM,Hadoukameha,,Member,3,5,110
Send PM,hadouken007,,Trainee,3,5,550
Send PM,hadouken182,,Member,3,5,970
Send PM,hagerman,,Member,3,5,100
Send PM,Haioncdougal,,Member,3,5,100
Send PM,hairthinning,,Member,3,5,100
Send PM,Hajimechrono,,Member,3,5,100
Send PM,hajueraswe,,Trainee,3,5,130
Send PM,hakensm,,Member,3,5,100
Send PM,Halfbloodprince,,Contributor,3,5,3060
Send PM,HalfNerdHalfAmazing,,Member,3,5,200
Send PM,halo3blogs,,Contributor,3,5,850
Send PM,halocursed,,Contributor,3,5,8530
Send PM,HALOisKING,,Member,3,5,230
Send PM,halojane9,,Contributor,3,5,4360
Send PM,hamie96,,Contributor,3,5,490
Send PM,hammad412,,Trainee,3,5,3170
