Date,Bill No.,Bill Title,Outcome,Vote
"Dec. 4, 2014",HR 5759,Preventing Executive Overreach on Immigration Act of 2014,Bill Passed - House (219 - 197),Yea
"July 30, 2014",H Res 676,Providing for Authority to Initiate Litigation for Actions by the President or Other Executive Branch Officials Inconsistent with Their Duties Under the Constitution of the United States,Resolution Passed - House (225 - 201),Yea
"March 26, 2014",HR 1459,Ensuring Public Involvement in the Creation of National Monuments Act,Bill Passed - House (222 - 201),Yea
"March 12, 2014",HR 4138,Executive Needs to Faithfully Observe and Respect Congressional Enactments of (ENFORCE) the Law Act of 2014,Bill Passed - House (233 - 181),Yea
"Oct. 30, 2013",H J Res 99,Disapproval of the President's Exercise of Authority to Suspend the Debt Limit,Joint Resolution Passed - House (222 - 191),Yea
"Aug. 2, 2013",H Amdt 448,Requires Congressional Approval Prior to Establishing a Tax on Carbon Emissions,Amendment Adopted - House (237 - 176),Yea
"Aug. 2, 2013",H Amdt 450,Requires Congressional Approval for Any Rules Under the Patient Protection and Affordable Care Act,Amendment Adopted - House (227 - 185),Yea
"Aug. 2, 2013",HR 2009,Keep the IRS Off Your Health Care Act of 2013,Bill Passed - House (232 - 185),Yea
"Aug. 2, 2013",HR 367,Regulations From the Executive in Need of Scrutiny Act of 2013,Bill Passed - House (232 - 183),Yea
"June 6, 2013",H Amdt 136,Prohibits the Enforcement of the Immigration Executive Order,Amendment Adopted - House (224 - 201),Yea
"May 22, 2013",H Amdt 67,Requires a Finding be Added Concerning Oil Sand Crudes,Amendment Rejected - House (146 - 269),Nay
"May 16, 2013",HR 2009,Keep the IRS Off Your Health Care Act of 2013,House,Co-sponsor
"Feb. 15, 2013",HR 273,Eliminates the 2013 Statutory Pay Adjustment for Federal Employees,Bill Passed - House (261 - 154),Yea
"Jan. 23, 2013",HR 367,Regulations From the Executive in Need of Scrutiny Act of 2013,House,Co-sponsor
"Jan. 1, 2013",HR 6726,Congressional Pay Freeze and Fiscal Responsibility Act,Bill Passed - House (287 - 129),Yea
"Sept. 14, 2012",HR 6213,No More Solyndras Act,Bill Passed - House (245 - 161),Did Not Vote
"July 31, 2012",HR 828,Federal Employee Tax Accountability Act of 2012,Bill Passed - House (263 - 114),Yea
"July 31, 2012",S 679,Presidential Appointment Efficiency and Streamlining Act of 2011,Bill Passed - House (261 - 116),Nay
"July 26, 2012",HR 4078,Red Tape Reduction and Small Business Job Creation Act,Bill Passed - House (245 - 172),Yea
"Feb. 9, 2012",S 2038,Prohibits Insider Trading by Government Officials,Bill Passed - House (417 - 2),Yea
"Feb. 8, 2012",HR 3521,Authorizes the President to Line-Item Veto Certain Legislation,Bill Passed - House (254 - 173),Yea
"Jan. 18, 2012",H J Res 98,Disapproval of President's Authority to Raise the Debt Limit,Joint Resolution Passed - House (239 - 176),Yea
"Dec. 2, 2011",HR 3010,Establishes Additional Requirements for Regulatory Agencies,Bill Passed - House (253 - 167),Yea
"Sept. 14, 2011",H J Res 77,Disapproval of the President's Authority to Raise the Debt Limit,Joint Resolution Passed - House (232 - 186),Yea
"June 3, 2011",H Con Res 51,Removing Armed Forces from Libya,Joint Resolution Failed - House (148 - 265),Nay
"June 3, 2011",H Res 292,Ground Forces in Libya,Resolution Passed - House (268 - 145),Yea
"April 1, 2011",HR 1255,Government Shutdown Prevention Act,Bill Passed - House (221 - 202),Yea
"Sept. 15, 2009",H Res 744,Resolution of Disapproval of Representative Joe Wilson's Conduct,Resolution Passed - House (240 - 179),Nay
"July 9, 2008",HR 5811,Electronic Communications Preservation Act,Bill Passed - House (286 - 137),Nay
"May 22, 2007",S 214,United States Attorneys Act of 2007,Bill Passed - House (306 - 114),Nay
"June 22, 2006",HR 4890,Line Item Veto Bill,Bill Passed - House (247 - 172),Yea
