02/18/2015,"February 18, 2015 Study Session, Part 2"
02/18/2015,"February 18, 2015 Study Session, Part 3"
02/18/2015,"February 18, 2015 Study Session, Part 4"
02/04/2015,"February 4, 2015 Regular Session, Part 1"
02/04/2015,"February 4, 2015 Regular Session, Part 2"
02/04/2015,"February 4, 2015 Study Session, Part 1"
02/04/2015,"February 4, 2015 Study Session, Part 2"
02/04/2015,"February 4, 2015 Study Session, Part 3"
02/04/2015,"February 4, 2015 Study Session, Part 4"
01/21/2015,"January 21, 2015 Regular Session, Part 1"
01/21/2015,"January 21, 2015 Regular Session, Part 2"
01/21/2015,"January 21, 2015 Regular Session, Part 3"
01/21/2015,"January 21, 2015 Study Session, Part 1"
01/21/2015,"January 21, 2015 Study Session, Part 2"
01/21/2015,"January 21, 2015 Study Session, Part 3"
01/06/2015,"January 6, 2015 Regular Session, Part 1"
01/06/2015,"January 6, 2015 Regular Session, Part 2"
12/16/2014,"December 16, 2014 Regular Session, Part 1"
12/16/2014,"December 16, 2014 Regular Session, Part 2"
12/16/2014,"December 16, 2014 Regular Session, Part 3"
12/16/2014,"December 16, 2014 Study Session, Part 1"
12/16/2014,"December 16, 2014 Study Session, Part 2"
12/09/2014,"December 9, 2014 Regular Session, Part 1"
12/09/2014,"December 9, 2014 Regular Session, Part 2"
12/09/2014,"December 9, 2014 Study Session, Part 1"
12/09/2014,"December 9, 2014 Study Session, Part 2"
12/09/2014,"December 9, 2014 Study Session, Part 3"
11/18/2014,"November 18, 2014 Regular Session, Part 1"
11/18/2014,"November 18, 2014 Regular Session, Part 2"
11/18/2014,"November 18, 2014 Study Session, Part 1"
11/18/2014,"November 18, 2014 Study Session, Part 2"
11/05/2014,"November 5, 2014 Regular Session, Part 1"
11/05/2014,"November 5, 2014 Regular Session, Part 2"
11/05/2014,"November 5, 2014 Study Session, Part 1"
11/05/2014,"November 5, 2014 Study Session, Part 2"
11/05/2014,"November 5, 2014 Study Session, Part 3"
11/05/2014,"November 5, 2014 Study Session, Part 4"
10/21/2014,"October 21, 2014 Regular Session, Part 1"
10/21/2014,"October 21, 2014 Regular Session, Part 2"
10/21/2014,"October 21, 2014 Study Session, Part 1"
10/21/2014,"October 21, 2014 Study Session, Part 2"
10/21/2014,"October 21, 2014 Study Session, Part 3"
10/09/2014,"October 9, 2014 Regular Session, Part 1"
10/09/2014,"October 9, 2014 Regular Session, Part 2"
10/09/2014,"October 9, 2014 Regular Session, Part 3"
10/09/2014,"October 9, 2014 Study Session, Part 1"
10/09/2014,"October 9, 2014 Study Session, Part 2"
10/09/2014,"October 9, 2014 Study Session, Part 3"
09/23/2014,"September 23, 2014 Regular Session, Part 1"
09/23/2014,"September 23, 2014 Regular Session, Part 2"
