Lap,Seg 1,Seg 2,Seg 3,Seg 4,Lap Time,Flag,Pit
0,-,1:11.466,48.247,55.762,-,,P
0,9:03.225,50.473,35.476,1:03.950,11:33.123,,P
1,1:00.525,49.538,32.250,22.223,2:44.537,,
2,13.255,47.329,32.077,21.981,1:54.641,,
3,13.429,47.442,33.002,22.880,1:56.753,,
4,13.826,47.556,32.107,21.954,1:55.444,,
5,13.045,47.127,31.508,22.009,1:53.688,,
6,13.144,46.918,31.905,22.005,1:53.972,,
7,13.514,47.363,31.821,22.309,1:55.008,,
8,13.250,46.564,31.991,22.496,1:54.301,,
9,13.179,46.594,31.963,22.163,1:53.898,,
10,13.276,47.041,32.091,22.355,1:54.763,,
11,13.423,46.517,31.955,22.540,1:54.434,,
12,12.964,46.696,32.773,22.725,1:55.158,,
13,13.150,46.506,32.196,22.392,1:54.243,,
14,13.106,46.693,32.292,22.425,1:54.516,,
15,13.190,46.779,32.489,22.514,1:54.972,,
16,13.565,47.882,31.829,22.224,1:55.499,,
17,12.912,47.034,31.842,22.208,1:53.996,,
18,13.468,47.577,31.924,22.768,1:55.738,,
19,12.758,47.154,31.730,33.072,2:04.715,,P
20,49.443,51.241,32.648,23.112,2:36.444,,
21,13.034,47.396,32.676,23.227,1:56.333,,
22,13.036,47.296,32.597,23.102,1:56.031,,
23,12.938,47.373,32.540,23.091,1:55.941,,
24,12.990,47.306,32.079,22.516,1:54.890,,
25,13.269,47.193,32.177,22.407,1:55.047,,
26,13.108,47.076,32.306,22.526,1:55.015,,
27,12.983,47.328,32.339,22.767,1:55.418,,
28,12.888,47.545,32.590,41.984,2:15.006,,P
Ideal:,12.758,46.506,31.508,21.954,1:52.727,,
