#,Call,Score,QSOs,Mult,Class,Power,1-Band,Section,US Call Area,DXCC Entity,Continent,Club
3101,LA8OKA,60,5,4,S,B,,,,LA1,EU,
3102,NV5M,60,5,4,S,,15,NM,5,,,
3103,PY2IQ,60,5,4,S,B,,,,PY,SA,
3104,UA3LHL,60,5,4,S,,80,,,UA3,EU,
3105,WB1CZX,60,5,4,S,B,,NC,4,,,
3106,BH4RDU,54,6,3,S,,15,,,BY,AS,
3107,JA2TTH,54,6,3,S,,15,,,JA,AS,
3108,OM8AHI,54,6,3,S,,15,,,OM,EU,
3109,YC1BRS,54,7,3,S,,15,,,YB,OC,
3110,KC0STQ,48,4,4,S,B,,MO,0,,,
3111,KD0GJS,48,4,4,S,,15,NE,0,,,AK-SAR-BEN
3112,KE1BYL,48,4,4,S,,10,SCV,6,,,
3113,OK1DF,48,4,4,S,,160,,,OK1,EU,
3114,PU1LND,48,4,4,S,,10,,,PY,SA,
3115,RU1AB,48,4,4,S,,80,,,UA3,EU,
3116,UA2FT,48,4,4,SA,,,,,UA2,EU,
3117,XQ4CW,48,4,4,S,,10,,,CE,SA,
3118,YO2LXW,48,4,4,S,,20,,,YO,EU,
3119,YR2TM,48,4,4,S,B,,,,YO,EU,
3120,N8RLG,45,5,3,S,B,,OH,8,,,Portage County Amateur Radio Service
3121,JR2AAN/2,36,5,3,S,,15,,,JA,AS,
3122,KE7POV,36,5,3,S,B,,ID,7,,,
3123,LZ1DNY,36,4,3,S,,15,,,LZ,EU,
3124,VR2ZQZ,36,5,3,S,,40,,,VR,AS,
3125,JS1NYY,30,10,1,S,,15,,,JA,AS,
