,Brand,Product,Category,Rating,Reviews,Buy Again
,Estee Lauder,Skincare - Body Estee Lauder Re-Nutriv Body Creme2 Reviews,Skincare - Body,2.5,2,0%
,Estee Lauder,Eye Shadow Estee Lauder Pure Color Eyeshadow - Lemon Drop1 Reviews,Eye Shadow,4.0,1,0%
,Estee Lauder,Eye Shadow Estee Lauder Pure Color Eyeshadow - Ice Orchid1 Reviews,Eye Shadow,3.0,1,0%
,Estee Lauder,Eye Shadow Estee Lauder Coolucent Powder for Eyes - Ice White 022 Reviews,Eye Shadow,2.5,2,0%
,Estee Lauder,Lip Treatments Estee Lauder Clearly Citron Smoothing Lip Balm SPF 151 Reviews,Lip Treatments,3.0,1,0%
,Estee Lauder,Lipstick Estee Lauder Sumptuous lipstick- Modernism1 Reviews,Lipstick,2.0,1,0%
,Estee Lauder,Self Tanners Estee Lauder Self Action Self Tanner for the Face1 Reviews,Self Tanners,1.0,1,0%
,Estee Lauder,Deodorants Estee Lauder White Linen Roll-On Antiperspirant Deodorant1 Reviews,Deodorants,3.0,1,0%
,Estee Lauder,Eye Shadow Estee Lauder Pure Color Eyeshadow - Blue Storm1 Reviews,Eye Shadow,3.0,1,0%
,Estee Lauder,Moisturizers Estee Lauder 100% for Very Dry Skin - Time Release Moisture Creme [DISCONTINUED]1 Reviews,Moisturizers,1.0,1,0%
,Estee Lauder,Lipstick Estee Lauder all Day Lipstick In Milano Tile1 Reviews,Lipstick,2.0,1,0%
,Estee Lauder,Lipstick Estee Lauder Pure Color Lip Vinyl Gloss Stick -Vinyl Citrus1 Reviews,Lipstick,3.0,1,0%
,Estee Lauder,Polishes Estee Lauder Pure Color Crystal Orchid Paradise1 Reviews,Polishes,3.0,1,0%
,Estee Lauder,Mascara Estee Lauder Magnacolor1 Reviews,Mascara,1.0,1,0%
,Estee Lauder,Moisturizers Estee Lauder Re-nutriv lightweight creme [DISCONTINUED]3 Reviews,Moisturizers,2.3,3,0%
