No.,Part #,Part # / Description,List Price,Price,
1,36162-RW0-A01,"36162-RW0-A01 / VALVE ASSY., PURGE CONTROL SOLENOID",$94.78,$68.24,
2,36163-RW0-A00,"36163-RW0-A00 / STAY, PURGE CONTROL SOLENOID",$36.28,$26.12,
3,36166-RW0-A02,"36166-RW0-A02 / JOINT, PURGE",$15.57,$11.21,
4,36167-RW0-A00,"36167-RW0-A00 / TUBE A, PURGE",$8.17,$5.88,
5,36168-RAD-L10,"36168-RAD-L10 / CLIP, PURGE",$1.78,$1.28,
6,36168-RW0-A00,"36168-RW0-A00 / TUBE B, PURGE",$8.17,$5.88,
7,36169-R70-A00,"36169-R70-A00 / PIPE, PURGE",$4.00,$2.88,
8,36169-RW0-A00,"36169-RW0-A00 / PIPE, PURGE",$12.97,$9.34,
9,36171-RW0-A00,"36171-RW0-A00 / TUBE C, PURGE",$8.17,$5.88,
10,36172-RW0-A00,"36172-RW0-A00 / TUBE D, PURGE",$11.13,$8.02,
11,91402-SDC-000,"91402-SDC-000 / CLIP, TUBE (B12)",$1.32,$0.95,
12,91406-SAA-000,"91406-SAA-000 / CLAMP, TUBE (D12)",$1.77,$1.27,
13,91408-SDB-000,"91408-SDB-000 / CLAMP, TUBE (D13.0)",$2.27,$1.63,
14,93403-05014-08,93403-05014-08 / BOLT-WASHER (5X14),$0.90,$0.65,
15,93406-08020-08,93406-08020-08 / BOLT-WASHER (8X20),$1.08,$0.78,
16,95701-06012-08,"95701-06012-08 / BOLT, FLANGE (6X12)",$1.03,$0.74,
17,95701-06025-08,"95701-06025-08 / BOLT, FLANGE (6X25)",$1.02,$0.73,
