Pat,01/06/09,10:44am,I miss you!
Pat,12/24/08,6:19am,"Wallander, sweetie, you are a nut in a good way, always a good way. I think if we lived close to each other we would be such good friends. That is how I love you, even though we just go by what is on here. I even have a telescope for being out under the stars and looking at even some of the planets and enjoying talking to each other."
Wallander,12/23/08,6:44pm,"LOL....ok fine, i give up...i'm a nut....but in a good way...always in a good way. Hope you'll have a GREAT Xmas Pat....until we talk again in the new poll after this one. : )"
Pat,12/23/08,1:47pm,"I'm heading home. I hope I can get back in here tomorrow. If not, see ya on the next page. Still love ya, you flirt."
Pat,12/23/08,1:14pm,"Wallander, you are so sweet and I love our flirting. Until you find your dream girl...then I guess I'll boo-hoo. Laughing so much. Man, you are a nut!"
Wallander,12/23/08,11:50am,"Haha...WOW...you're right Pat, he doesn't sound very clever. I am 38 yrs old. And i know what you're going to ask...& my answer to you is, i don't know why!?? I just think you're a lovely dame."
Pat,12/23/08,5:55am,"Oh yeah, about his family, they seemed like they were a loud, funny, fun-loving to the hilt kind of people. They told me about their hunting and showed me all the guns and knives and other things they had. At that time all the weapons made me stop and think, but I proceeded on. I understand hunting to feed a large family of eleven, including the parents. After we married, I learned over time they were a bunch of tough *ss rednecks that love to kill lots of animals, not just for food. Just kill it and leave it there and they liked to torment each other. We were married for two years before I had a baby, I should have walked away then, but I couldn't."
Pat,12/23/08,4:48am,"Wallander, what question? And how old are you? The truth now."
Fishtits,12/22/08,11:13pm,>squirting fish milk<
Wallander,12/22/08,6:34pm,"You were absolutely right in your previous comment from last Thursday. I need to get A LOT better at talking & listening...especially the last part. I dont know when it happened but at some point i decided to close my heart to the outside world, and unfortunately my ex had to pay the price for it as well. So all in all, it was a GOOD thing that she let me go, however painful it may have been for both her & myself. And again you're correct with regards to how i SHOULD be perceiving these events in my own life...instead of seeing them ONLY as emotional losses, i need to learn to look at them as ""completions"", and by doing that i can always turn a painful turn of event into a VERY POSITIVE thing for myself. Btw before i end this comment, i have two things to say; 1st of all, i liked your somewhat older comment regarding being a ""salmon"". I really liked that metaphor because i can also identify with that feeling myself. And 2ndly in your comment from last Thursday(again), you said that you ""should have seen the red light when meeting his family""....what was it about your ex's family that should have caught your attention, if you dont mind my asking? You dont have to be so specific if you dont want to...just as a whole? Last but not least, your very last comment was VERY gracious. I totally understand the marriage thing...that whole 70's-80's ""get laid"" mentality is just not right these days...it's much too painful. If i get rich by next yr. i'll make sure to ask you again..;-)... that is, if you're still ""available"" by then, ofcoarse. Anyways Merry Xmas to everyone from mysticgames poll. :-)))"
Pat,12/22/08,9:44am,"You naughty man, Wallander. I'll have to talk to Santa to visit you. Sorry, sugar-pie, honey-bun, but you couldn't get me in the sack unless we were married and we both know that's not gonna happen. That's cool, I am that faraway star...to long for, but can't reach. I do love you."
Milkshake,12/21/08,12:20pm,"Given the 4 choices we have on this poll, it looks as though it came out to be a close tie. I think it matters more on everyones income and bills rather than thier heart. Okay, with that said........NEXT POLL?????"
Wallander,12/21/08,11:10am,"LOL....Milkshake i have a feeling you're like Will Ferrell in ELF. I saw the movie yesterday. He's fantastic in that movie. But i was VERY thankful to read both Ed's & Pat's posts. Ed, i consider you almost as a 'brother'. I hope you have a nice & cozy time up in your cabin. That sounds really cool though...are you going to hunt for food, & stuff like that?? There's NOTHING as refreshing as camping out in the nature. You become WHOLE again. Hey Pat, i'm going to keep this one short because i need to re-read your entire post, but i just wanted to say you have SO MUCH to give...if i lived close to you, i would have put on my BEST charming act, just to get you in the sack!!!! OMG did i say that??? ***Wallander looking at a distant star out the window & sighing....& deciding to call it ""Pat"" *** :-D .......i'm going to post a better response to your last comment, a little later on Pat. For now, Happy Holidays everyone.... :-)))"
Milkshake,12/21/08,9:42am,"Maybe next poll can be about which Christmas show we like best?.......Frosty the Snowman, Rudolph, A Charlie Brown Christmas, Santa Claus is Coming to Town, etc.........My all time favorite is Rudolph the Rednose Reindeer. I still cry when I watch Rudolph and Bambi. Have a Merry Christmas everyone!!"
Mel,12/21/08,9:08am,Santa has been arrested for been drunk and disorderly Beam me up Scotty
Claire,12/21/08,2:27am,It is time desperately for a new poll!
Pat,12/19/08,2:32pm,"Have a nice weekend, everyone. Good night, Wallander, talk to you Monday. Love ya."
Pat,12/19/08,1:50pm,"Mika, I was checking out Warsaw. I was thinking it was in Russia. I didn't realize it was Poland. Now I see why you said you were the new pole. I didn't catch it, that's funny."
Pat,12/19/08,1:25pm,I went back through the polls of this year and this poll is the 2nd longest one. I hope the pollster is okay. I saw Thomas's name. Wonder where he went to?
Pat,12/19/08,12:32pm,Mika should come by and pick us up.
Milkshake,12/19/08,12:04pm,"Maybe on your trip to the North Pole Mika, you can meet Santa Claus and Rudolph!"
Pat,12/19/08,11:56am,Bring back something great!
Mika,12/19/08,9:24am,"I,m going to the north pole"
Milkshake,12/19/08,8:56am,Hi Mika. I'm Milka. Welcome to the poll.
Pat,12/19/08,5:25am,"Milkshake, that was so funny. Let's be kids! Whoopie! Santa and his reindeer and Rudolph are coming! Oh boy!!! Mika, are you saying that you are the pollster or are you saying that we can talk about Warsaw? Have you given comments in any of the past polls under this name or an anonymous name? I still feel that the pollster is close. What was your other name in here? I am so curious. If you don't want to say, that's okay. What is it like living in Warsaw? How expensive is a loaf of bread? Is it still over five dollars? Do the people there have to still stand in long lines just to get a little bit of food?"
Mika,12/19/08,1:40am,Hi everyone Im the new pole Im 36 years old and from Warsaw
Milkshake,12/18/08,5:32pm,Gee! I wonder what or new poll will be about? Hmmm.....Im sure it's something interesting. Maybe if there is such thing as a Santa Claus? Or Rudolph? Is Rudolph's nose really red? When will we have new poll????????????
