Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2000-12-01,25-023,CLE,L (-10),DET,0,17:00,0,2,.000,0,0,,0,0,,0,1,1,2,2,0,2,2,0,-0.5,-3
2,2,2000-12-05,25-027,CLE,W (+5),CHH,0,10:00,1,4,.250,0,0,,0,0,,1,0,1,1,0,0,0,3,2,-0.2,-6
3,3,2000-12-23,25-045,CLE,L (-19),ORL,0,19:00,0,1,.000,0,0,,0,0,,0,4,4,7,1,0,3,1,0,3.0,-1
4,4,2000-12-26,25-048,CLE,L (-5),CHH,0,13:00,1,5,.200,0,0,,1,2,.500,0,0,0,3,1,0,0,3,3,1.4,-12
5,5,2000-12-28,25-050,CLE,L (-18),MIL,0,18:00,0,1,.000,0,0,,0,0,,0,0,0,6,0,1,1,5,0,1.2,+6
6,6,2000-12-29,25-051,CLE,W (+12),ATL,0,16:00,0,2,.000,0,0,,4,4,1.000,0,1,1,6,2,0,1,3,4,6.9,-1
7,7,2001-01-03,25-056,ATL,L (-18),PHI,0,25:00,3,11,.273,0,2,.000,0,0,,1,3,4,7,3,0,2,2,6,6.2,-12
8,8,2001-01-06,25-059,ATL,W (+1),ORL,0,19:00,0,2,.000,0,0,,1,2,.500,0,2,2,2,1,0,2,3,1,-1.0,0
9,9,2001-01-09,25-062,ATL,L (-9),SEA,0,28:00,4,7,.571,0,1,.000,0,2,.000,0,5,5,6,2,0,0,4,8,10.0,-2
10,10,2001-01-11,25-064,ATL,W (+11),GSW,1,33:00,3,7,.429,0,0,,1,2,.500,1,2,3,7,1,1,1,3,7,8.6,+7
11,11,2001-01-13,25-066,ATL,W (+20),LAC,1,34:00,6,11,.545,0,0,,2,2,1.000,1,4,5,7,2,0,0,5,14,15.5,+14
12,12,2001-01-15,25-068,ATL,L (-6),NJN,1,26:00,4,6,.667,0,0,,0,0,,0,4,4,2,2,0,5,6,8,2.6,-8
13,13,2001-01-18,25-071,ATL,L (-8),IND,1,43:00,3,13,.231,0,0,,0,0,,1,5,6,8,3,0,2,4,6,5.3,-8
14,14,2001-01-21,25-074,ATL,L (-4),WAS,1,40:00,11,24,.458,1,1,1.000,8,9,.889,1,4,5,10,3,0,1,4,31,27.5,+6
15,15,2001-01-23,25-076,ATL,L (-1),BOS,1,16:00,2,6,.333,0,0,,0,0,,0,2,2,2,4,0,3,0,4,3.6,-1
16,16,2001-02-02,25-086,ATL,L (-11),MIA,0,5:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.8,-3
17,17,2001-02-03,25-087,ATL,L (-12),ORL,1,33:00,3,9,.333,0,0,,1,1,1.000,1,4,5,2,1,0,1,6,7,2.8,-13
18,18,2001-02-05,25-089,ATL,L (-10),DAL,1,43:00,4,12,.333,0,1,.000,3,4,.750,2,6,8,7,3,0,4,3,11,9.7,-12
19,19,2001-02-06,25-090,ATL,L (-6),NJN,1,22:00,2,6,.333,0,0,,3,4,.750,1,1,2,4,1,0,3,3,7,3.8,-10
20,20,2001-02-08,25-092,ATL,L (-17),CHH,1,36:00,4,12,.333,0,0,,1,1,1.000,0,6,6,10,0,1,2,3,9,8.5,-8
Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2001-02-13,25-097,ATL,L (-4),CHI,1,37:00,4,11,.364,0,0,,2,2,1.000,0,3,3,9,5,0,2,3,10,12.9,-9
22,22,2001-02-14,25-098,ATL,L (-4),MIL,1,45:00,1,10,.100,0,0,,0,0,,0,4,4,11,2,0,1,5,2,3.3,-3
23,23,2001-02-17,25-101,ATL,W (+7),SEA,1,7:00,0,1,.000,0,0,,0,0,,0,0,0,6,2,0,1,0,0,4.5,+1
24,24,2001-02-18,25-102,ATL,W (+7),GSW,1,39:00,4,11,.364,0,0,,0,0,,0,9,9,5,2,1,2,2,8,8.0,+2
25,25,2001-02-20,25-104,ATL,L (-14),SAC,1,34:00,2,8,.250,0,1,.000,3,4,.750,1,8,9,8,0,0,4,2,7,5.7,-10
26,26,2001-02-23,25-107,ATL,L (-7),LAL,1,35:00,1,7,.143,0,1,.000,2,2,1.000,1,3,4,8,2,0,2,3,4,5.5,-9
27,27,2001-02-24,25-108,ATL,L (-3),DEN,1,37:00,2,6,.333,0,1,.000,2,2,1.000,0,3,3,10,2,0,1,4,6,9.9,+3
28,28,2001-02-26,25-110,ATL,L (-17),UTA,1,26:00,3,8,.375,0,0,,0,2,.000,1,5,6,2,0,0,2,1,6,2.0,-21
29,29,2001-02-28,25-112,ATL,L (-7),TOR,1,41:00,9,15,.600,0,1,.000,2,2,1.000,0,3,3,8,2,0,3,2,20,17.8,-1
30,30,2001-03-02,25-114,ATL,L (-6),CHH,1,22:00,1,5,.200,0,0,,0,0,,1,0,1,6,0,0,0,4,2,2.2,-9
31,31,2001-03-03,25-115,ATL,L (-29),SAS,1,33:00,6,11,.545,0,0,,0,0,,0,2,2,6,5,0,1,2,12,14.7,-22
32,32,2001-03-05,25-117,ATL,L (-7),UTA,1,40:00,4,9,.444,0,0,,6,6,1.000,0,3,3,6,1,0,3,1,14,12.0,-5
33,33,2001-03-07,25-119,ATL,L (-6),HOU,1,29:00,3,10,.300,0,0,,0,0,,1,3,4,7,3,0,1,5,6,6.7,-6
34,34,2001-03-09,25-121,ATL,L (-5),PHI,1,29:00,0,4,.000,0,0,,0,0,,0,5,5,8,2,0,0,3,0,5.1,-14
35,35,2001-03-10,25-122,ATL,W (+3),CHI,1,34:00,3,5,.600,0,0,,0,0,,0,5,5,5,2,0,3,0,6,7.7,+12
36,36,2001-03-13,25-125,ATL,W (+10),VAN,1,34:00,4,5,.800,0,0,,2,2,1.000,1,2,3,7,3,0,1,5,10,14.3,+10
37,37,2001-03-16,25-128,ATL,L (-6),IND,1,7:00,0,1,.000,0,0,,0,0,,0,2,2,1,3,0,0,1,0,3.2,+1
38,38,2001-03-17,25-129,ATL,L (-16),DET,1,37:00,2,7,.286,0,0,,0,0,,0,2,2,2,1,0,2,4,4,-0.7,-6
39,39,2001-03-19,25-131,ATL,W (+2),LAL,1,35:00,4,8,.500,0,0,,0,0,,1,1,2,8,5,0,1,4,8,13.0,0
40,40,2001-03-22,25-134,ATL,L (-14),SAS,1,21:00,0,4,.000,0,0,,0,0,,1,2,3,2,1,0,0,1,0,0.5,-10
Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,41,2001-03-23,25-135,ATL,L (-26),TOR,1,28:00,3,5,.600,0,0,,0,0,,0,1,1,5,0,0,3,1,6,4.1,-25
42,42,2001-03-25,25-137,ATL,L (-7),MIL,1,27:00,5,11,.455,0,0,,0,0,,0,1,1,7,1,0,3,3,10,6.3,-4
43,43,2001-03-27,25-139,ATL,L (-3),BOS,1,7:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2,-2
44,44,2001-03-29,25-141,ATL,W (+11),IND,1,27:00,1,3,.333,0,0,,0,0,,0,3,3,9,2,0,1,5,2,6.5,+17
45,45,2001-03-31,25-143,ATL,W (+11),DEN,1,18:00,0,2,.000,0,0,,0,0,,1,2,3,4,1,0,2,3,0,0.5,-3
46,46,2001-04-05,25-148,ATL,L (-14),DAL,1,27:00,6,11,.545,0,1,.000,0,0,,0,2,2,3,2,0,5,2,12,5.6,-15
