Rk,Gm#,Date,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,"Monday, Apr 1",,NYM,SDP,W,11,2,,1-0,1,Tied,Niese,Volquez,,3:01,D,"41,053",+
2,2,"Wednesday, Apr 3",,NYM,SDP,W,8,4,,2-0,1,Tied,Harvey,Richard,,2:36,N,"22,239",++
3,3,"Thursday, Apr 4",,NYM,SDP,L,1,2,,2-1,2,1.0,Stults,Gee,Street,3:17,D,"21,519",-
4,4,"Friday, Apr 5",,NYM,MIA,L,5,7,,2-2,3,1.0,Sanabia,Hefner,,3:31,N,"24,935",--
5,5,"Saturday, Apr 6",,NYM,MIA,W,7,3,,3-2,3,1.0,Lyon,Webb,,2:59,D,"28,474",+
6,6,"Sunday, Apr 7",,NYM,MIA,W-wo,4,3,,4-2,2,1.0,Rice,Cishek,,3:38,D,"29,780",++
7,7,"Monday, Apr 8",@,NYM,PHI,W,7,2,,5-2,2,1.0,Harvey,Halladay,,2:55,N,"35,393",+++
8,8,"Tuesday, Apr 9",@,NYM,PHI,L,3,8,,5-3,3,2.0,Lee,Gee,,2:29,N,"38,305",-
9,9,"Wednesday, Apr 10",@,NYM,PHI,L,3,7,,5-4,3,3.0,Kendrick,Hefner,,2:55,N,"38,715",--
10,10,"Friday, Apr 12",@,NYM,MIN,W,16,5,,6-4,3,3.0,Niese,Worley,,3:24,N,"23,735",+
11,11,"Saturday, Apr 13",@,NYM,MIN,W,4,2,,7-4,2,3.0,Harvey,Diamond,Parnell,2:40,D,"28,804",++
12,12,"Tuesday, Apr 16 (1)",@,NYM,COL,L,4,8,,7-5,3,5.0,Nicasio,Gee,,2:59,D,"21,510",-
13,13,"Tuesday, Apr 16 (2)",@,NYM,COL,L-wo,8,9,10,7-6,3,5.0,Betancourt,Burke,,4:19,N,"20,239",--
14,14,"Thursday, Apr 18",@,NYM,COL,L,3,11,,7-7,3,5.5,Garland,Niese,,2:54,D,"18,341",---
15,15,"Friday, Apr 19",,NYM,WSN,W,7,1,,8-7,3,4.5,Harvey,Strasburg,,2:44,N,"26,675",+
16,16,"Saturday, Apr 20",,NYM,WSN,L,6,7,,8-8,3,4.5,Clippard,Edgin,Soriano,3:20,D,"24,325",-
17,17,"Sunday, Apr 21",,NYM,WSN,W,2,0,,9-8,3,3.5,Gee,Zimmermann,Parnell,2:53,D,"26,225",+
18,18,"Tuesday, Apr 23",,NYM,LAD,L,2,7,,9-9,2,5.0,Belisario,Lyon,,3:36,N,"21,135",-
19,19,"Wednesday, Apr 24",,NYM,LAD,W-wo,7,3,10,10-9,2,4.0,Parnell,Wall,,3:37,N,"24,130",+
20,20,"Thursday, Apr 25",,NYM,LAD,L,2,3,,10-10,2,4.5,Jansen,Rice,League,2:59,D,"24,851",-
21,21,"Friday, Apr 26",,NYM,PHI,L,0,4,,10-11,3,4.5,Kendrick,Gee,,2:35,N,"21,582",--
22,22,"Saturday, Apr 27",,NYM,PHI,L,4,9,,10-12,3,4.5,Pettibone,Marcum,,3:03,D,"29,248",---
23,23,"Sunday, Apr 28",,NYM,PHI,L,1,5,,10-13,4,4.5,Hamels,Niese,,2:55,D,"28,990",----
24,24,"Monday, Apr 29",@,NYM,MIA,L-wo,3,4,15,10-14,4,5.5,Rauch,Marcum,,5:31,N,"15,605",-----
25,25,"Tuesday, Apr 30",@,NYM,MIA,L-wo,1,2,,10-15,4,6.5,Webb,Hefner,,2:25,N,"15,018",------
26,26,"Wednesday, May 1",@,NYM,MIA,W,7,6,,11-15,3,5.5,Gee,Ramos,Parnell,3:04,D,"16,188",+
27,27,"Friday, May 3",@,NYM,ATL,W,7,5,10,12-15,4,4.0,Parnell,Walden,Familia,3:29,N,"30,871",++
28,28,"Sunday, May 5",@,NYM,ATL,L,4,9,,12-16,3,5.0,Hudson,Niese,,3:05,D,"32,849",-
29,29,"Tuesday, May 7",,NYM,CHW,W-wo,1,0,10,13-16,4,4.5,Parnell,Jones,,2:30,N,"23,394",+
30,30,"Wednesday, May 8",,NYM,CHW,L,3,6,,13-17,4,5.5,Peavy,Hefner,,3:09,N,"21,470",-
31,31,"Thursday, May 9",,NYM,PIT,W-wo,3,2,,14-17,3,5.5,Parnell,Grilli,,3:06,N,"20,147",+
32,32,"Friday, May 10",,NYM,PIT,L,3,7,,14-18,3,5.5,Rodriguez,Marcum,Grilli,3:07,N,"25,153",-
33,33,"Saturday, May 11",,NYM,PIT,L,2,11,,14-19,4,5.5,Liriano,Niese,,3:03,D,"31,160",--
34,34,"Sunday, May 12",,NYM,PIT,L,2,3,,14-20,4,5.5,Wilson,Rice,Grilli,3:19,D,"28,404",---
35,35,"Monday, May 13",@,NYM,STL,L,3,6,,14-21,4,6.5,Lynn,Rice,Mujica,2:54,N,"38,412",----
36,36,"Tuesday, May 14",@,NYM,STL,L,4,10,,14-22,4,6.5,Gast,Gee,,2:39,N,"37,460",-----
37,37,"Wednesday, May 15",@,NYM,STL,L,2,4,,14-23,4,6.5,Maness,Marcum,Mujica,3:07,N,"38,143",------
38,38,"Thursday, May 16",@,NYM,STL,W,5,2,,15-23,4,6.0,Niese,Wainwright,Parnell,2:53,D,"44,068",+
39,39,"Friday, May 17",@,NYM,CHC,W,3,2,,16-23,4,6.0,Harvey,Jackson,Parnell,2:56,D,"34,890",++
40,40,"Saturday, May 18",@,NYM,CHC,L,2,8,,16-24,4,7.0,Feldman,Hefner,,2:51,D,"38,766",-
41,41,"Sunday, May 19",@,NYM,CHC,W,4,3,,17-24,4,7.0,Rice,Fujikawa,Parnell,3:01,D,"34,258",+
42,42,"Monday, May 20",,NYM,CIN,L,3,4,,17-25,4,8.0,Cueto,Marcum,Chapman,3:22,N,"23,038",-
43,43,"Tuesday, May 21",,NYM,CIN,L,0,4,,17-26,4,9.0,Leake,Niese,,2:42,N,"23,183",--
44,44,"Wednesday, May 22",,NYM,CIN,L,4,7,,17-27,4,10.0,Simon,Parnell,Chapman,3:09,D,"30,415",---
45,45,"Friday, May 24",,NYM,ATL,L,5,7,10,17-28,4,11.0,Varvaro,Lyon,Kimbrel,3:52,N,"32,325",----
46,46,"Saturday, May 25",,NYM,ATL,L,0,6,,17-29,4,12.0,Minor,Gee,,3:07,N,"27,622",-----
47,47,"Sunday, May 26",,NYM,ATL,W,4,2,,18-29,4,11.0,Hawkins,Gearrin,Parnell,2:47,N,"27,296",+
48,48,"Monday, May 27",,NYM,NYY,W,2,1,,19-29,4,10.0,Lyon,Robertson,Parnell,2:44,N,"32,911",++
49,49,"Tuesday, May 28",,NYM,NYY,W-wo,2,1,,20-29,4,10.0,Rice,Rivera,,2:54,N,"31,877",+++
50,50,"Wednesday, May 29",@,NYM,NYY,W,9,4,,21-29,4,9.0,Hefner,Phelps,,3:11,N,"43,681",++++
Rk,Gm#,Date,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
51,51,"Thursday, May 30",@,NYM,NYY,W,3,1,,22-29,4,9.0,Gee,Nuno,Parnell,2:45,N,"44,207",+++++
52,52,"Friday, May 31",@,NYM,MIA,L,1,5,,22-30,4,9.0,Turner,Marcum,,2:35,N,"16,493",-
53,53,"Saturday, Jun 1",@,NYM,MIA,L,1,8,,22-31,4,10.0,Fernandez,McHugh,,2:41,D,"16,283",--
54,54,"Sunday, Jun 2",@,NYM,MIA,L,6,11,,22-32,4,11.0,LeBlanc,Rice,,3:10,D,"18,434",---
55,55,"Tuesday, Jun 4",@,NYM,WSN,L-wo,2,3,,22-33,4,12.5,Clippard,Parnell,,2:28,N,"31,473",----
56,56,"Wednesday, Jun 5",@,NYM,WSN,W,10,1,,23-33,4,12.5,Gee,Haren,,3:12,N,"36,155",+
57,57,"Saturday, Jun 8",,NYM,MIA,L,1,2,20,23-34,4,12.5,Slowey,Marcum,Cishek,6:25,D,"20,338",-
58,58,"Sunday, Jun 9",,NYM,MIA,L,4,8,10,23-35,4,13.5,Qualls,Parnell,,3:35,D,"21,747",--
59,59,"Tuesday, Jun 11",,NYM,STL,L,2,9,,23-36,4,13.0,Wacha,Hefner,,2:53,N,"21,581",---
60,60,"Wednesday, Jun 12",,NYM,STL,W,5,1,,24-36,4,12.0,Gee,Miller,,2:33,N,"23,331",+
61,61,"Thursday, Jun 13",,NYM,STL,L,1,2,,24-37,4,12.5,Wainwright,Harvey,Mujica,2:43,D,"25,471",-
62,62,"Friday, Jun 14",,NYM,CHC,L,3,6,,24-38,4,12.5,Jackson,Marcum,Gregg,3:16,N,"32,213",--
63,63,"Saturday, Jun 15",,NYM,CHC,L,2,5,,24-39,4,13.5,Feldman,Niese,Gregg,3:32,D,"27,004",---
64,64,"Sunday, Jun 16",,NYM,CHC,W-wo,4,3,,25-39,4,13.5,Parnell,Marmol,,2:51,D,"30,256",+
65,65,"Monday, Jun 17",@,NYM,ATL,L-wo,1,2,,25-40,4,14.5,Carpenter,Gee,,2:29,N,"22,048",-
66,66,"Tuesday, Jun 18 (1)",@,NYM,ATL,W,4,3,,26-40,4,12.5,Harvey,Wood,Parnell,3:13,D,"21,857",+
67,67,"Tuesday, Jun 18 (2)",@,NYM,ATL,W,6,1,,27-40,4,12.5,Wheeler,Maholm,,3:24,N,"21,073",++
68,68,"Wednesday, Jun 19",@,NYM,ATL,L,3,5,,27-41,4,13.5,Medlen,Marcum,Kimbrel,3:00,N,"21,852",-
69,69,"Thursday, Jun 20",@,NYM,ATL,W,4,3,,28-41,4,12.5,Hawkins,Minor,Parnell,3:10,N,"33,824",+
70,70,"Friday, Jun 21",@,NYM,PHI,W,4,3,,29-41,4,11.5,Hefner,Hamels,Parnell,3:05,N,"40,062",++
71,71,"Saturday, Jun 22",@,NYM,PHI,L-wo,7,8,,29-42,4,11.5,Papelbon,Torres,,3:15,D,"45,725",-
72,72,"Sunday, Jun 23",@,NYM,PHI,W,8,0,,30-42,4,11.5,Harvey,Lannan,,2:34,D,"44,951",+
73,73,"Tuesday, Jun 25",@,NYM,CHW,L-wo,4,5,,30-43,4,12.5,Reed,Hawkins,,2:55,N,"20,787",-
74,74,"Wednesday, Jun 26",@,NYM,CHW,W,3,0,,31-43,4,11.5,Marcum,Danks,Parnell,2:28,N,"18,249",+
75,75,"Thursday, Jun 27",@,NYM,COL,W,3,2,,32-43,4,11.0,Hawkins,Belisle,Parnell,2:51,D,"34,387",++
76,76,"Friday, Jun 28",,NYM,WSN,L,4,6,,32-44,4,12.0,Clippard,Parnell,Storen,3:19,N,"28,363",-
77,77,"Saturday, Jun 29",,NYM,WSN,W,5,1,,33-44,4,12.0,Gee,Jordan,,3:05,D,"26,426",+
78,78,"Sunday, Jun 30",,NYM,WSN,L,2,13,,33-45,4,13.0,Gonzalez,Wheeler,,3:11,D,"33,366",-
79,79,"Monday, Jul 1",,NYM,ARI,W-wo,5,4,13,34-45,4,12.5,Aardsma,Collmenter,,5:13,N,"22,240",+
80,80,"Tuesday, Jul 2",,NYM,ARI,W,9,1,,35-45,4,12.5,Hefner,Corbin,,2:24,N,"21,500",++
81,81,"Wednesday, Jul 3",,NYM,ARI,L,3,5,,35-46,4,12.5,Delgado,Harvey,Bell,3:17,N,"41,257",-
82,82,"Thursday, Jul 4",,NYM,ARI,L,4,5,15,35-47,4,12.5,Roe,Rice,Ziegler,5:46,D,"24,224",--
83,83,"Friday, Jul 5",@,NYM,MIL,W,12,5,,36-47,4,11.5,Wheeler,Hellweg,Edgin,3:30,N,"32,519",+
84,84,"Saturday, Jul 6",@,NYM,MIL,L,6,7,,36-48,4,12.5,Gallardo,Marcum,Rodriguez,3:32,N,"31,619",-
85,85,"Sunday, Jul 7",@,NYM,MIL,W,2,1,,37-48,4,11.5,Hefner,Gorzelanny,Parnell,2:47,D,"39,677",+
86,86,"Monday, Jul 8",@,NYM,SFG,W,4,3,16,38-48,4,11.5,Edgin,Kontos,Parnell,5:26,N,"41,497",++
87,87,"Tuesday, Jul 9",@,NYM,SFG,W,10,6,,39-48,4,11.5,Rice,Mijares,,3:23,N,"41,534",+++
88,88,"Wednesday, Jul 10",@,NYM,SFG,W,7,2,,40-48,4,10.5,Wheeler,Cain,,2:55,D,"41,679",++++
89,89,"Friday, Jul 12",@,NYM,PIT,L-wo,2,3,11,40-49,4,11.0,Mazzaro,Germen,,3:32,N,"39,036",-
90,90,"Saturday, Jul 13",@,NYM,PIT,L,2,4,,40-50,4,12.0,Wilson,Burke,Grilli,3:02,N,"39,173",--
91,91,"Sunday, Jul 14",@,NYM,PIT,W,4,2,,41-50,4,11.0,Gee,Cole,Parnell,3:02,D,"37,490",+
92,92,"Friday, Jul 19",,NYM,PHI,L,8,13,,41-51,4,12.0,Kendrick,Hefner,,3:27,N,"35,021",-
93,93,"Saturday, Jul 20",,NYM,PHI,W,5,4,,42-51,4,11.0,Germen,Hamels,Parnell,3:35,D,"26,722",+
94,94,"Sunday, Jul 21",,NYM,PHI,W,5,0,,43-51,4,10.0,Harvey,Lee,,2:33,D,"32,127",++
95,95,"Monday, Jul 22",,NYM,ATL,L,1,2,,43-52,4,11.0,Walden,Parnell,Kimbrel,3:03,N,"25,111",-
96,96,"Tuesday, Jul 23",,NYM,ATL,W,4,1,,44-52,4,10.0,Torres,Medlen,Parnell,2:54,N,"24,355",+
97,97,"Wednesday, Jul 24",,NYM,ATL,L,2,8,,44-53,4,11.0,Hudson,Hefner,,3:03,N,"28,194",-
98,98,"Thursday, Jul 25",,NYM,ATL,W,7,4,,45-53,4,10.0,Wheeler,Loe,Parnell,3:27,D,"35,793",+
99,99,"Friday, Jul 26 (1)",@,NYM,WSN,W,11,0,,46-53,4,10.5,Mejia,Zimmermann,,3:13,D,"33,858",++
100,100,"Friday, Jul 26 (2)",@,NYM,WSN,L-wo,1,2,,46-54,4,10.5,Soriano,Hawkins,,2:53,N,"33,689",-
Rk,Gm#,Date,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
101,101,"Saturday, Jul 27",@,NYM,WSN,L,1,4,,46-55,4,11.5,Haren,Gee,Soriano,2:17,D,"37,464",--
102,102,"Sunday, Jul 28",@,NYM,WSN,L,1,14,,46-56,4,12.5,Jordan,Torres,,3:17,D,"31,467",---
