Business,Contact,Category
,,
1. Camp Anglewood,"900 Rock Lane Elkins Park, PA 19027 267-939-4455",Day
,,
2. Lavner Camps!,Multiple Locations PA 610-664-8800,"Day, Residential"
,,
3. Abington Club Kids CampKelly Degorski,"The Abington Club 300 Meetinghouse Road Jenkintown, PA 19046 215-885-0734 x113",Day
4. Abington Friends Day Camp and Summer Enrichment Program,"575 Washington Ln. Jenkintown, PA 19046 215-576-3996",Day
5. AIM Academy Summer Enrichment Program,"1200 River Road Conshohocken, PA 19428 215-483-2461",Day
6. Bala House Montessori School,"27 Conshohocken State Rd. Bala Cynwyd, PA 19072 610-664-6767","Day, Program"
,,
7. Burn Brae Day Camp of Creative Arts,"1405 Twining Rd. Dresher, PA 19025 215-657-3388",Day
8. Camp Kef,"45 Haverford Rd Kaiserman JCC Wynnewood, PA 19096 610-896-7770 X123",Day
,,
9. Camp Pegasus,"1400 Montgomery Ave. Rosemont College Rosemont, PA 19003 610-649-1080 ext8","Day, Special Needs (Also see the SpecialKids guide.)"
,,
10. Cheltenham Center for the Arts,"439 Ashbourne Rd. Cheltenham, PA 19012 215-379-4660",Day
,,
