,Cal Poly won the toss and deferred to the second half
,"James Langford kickoff 62 yards to the NIU8, Lewis, Tommylee return 24 yards to the NIU32 (Justin Webber;Trevor Weis)."
at Niu32,NORTHERN ILLINOIS drive start at 15:00.
at Niu32,"Hopkins, Jasmin rush for 6 yards to the NIU38 (Greg Francis)."
at Niu38,"HARNISH, Chand rush for 31 yards to the CP31, 1ST DOWN NIU (Greg Francis)."
at Cp31,"PENALTY CP face mask 10 yards to the CP21, 1ST DOWN NIU."
at Cp21,"HARNISH, Chand pass complete to PALMER, Nathan for 7 yards to the CP14 (V Smith-Johnson)."
at Cp14,"Daniels, Akeem rush for 3 yards to the CP11, 1ST DOWN NIU (Greg Francis)."
at Cp11,"Hopkins, Jasmin rush for 3 yards to the CP8 (Xavier Ramos;Sullivan Grosz)."
at Cp08,"HARNISH, Chand rush for 3 yards to the CP5 (Johnny Millard)."
at Cp05,"HARNISH, Chand pass incomplete to JOHNSON, Anthon (Asa Jackson)."
at Cp05,"Sims, Mathew field goal attempt from 22 GOOD, clock 12:03."
,"Northern Illinois 3, Cal Poly 0"
,"Drive: 8 plays, 63 yards, TOP 02:57"
,"Wedel, Tyler kickoff 62 yards to the CP8, Mark Rodgers return 11 yards to the CP19 (Bell, Cameron), PENALTY CP illegal block 10 yards to the CP9, 1st and 10, CP ball on CP9."
at Cp09,CAL POLY drive start at 12:03.
at Cp09,"Mark Rodgers rush for 2 yards to the CP11 (Davis, Tommy)."
at Cp11,"Mark Rodgers rush for 2 yards to the CP13 (Schiller, Pat;STONE, Demetriu)."
at Cp13,"Andre Broadous sacked for loss of 5 yards to the CP8 (Schiller, Pat)."
at Cp08,"Paul Hundley punt 45 yards to the NIU47, downed."
,"Drive: 3 plays, minus 1 yards, TOP 01:41"
at Niu47,NORTHERN ILLINOIS drive start at 10:22.
at Niu47,"Hopkins, Jasmin rush for 7 yards to the CP46 (Angel Morales)."
at Cp46,"Hopkins, Jasmin rush for 5 yards to the CP41, 1ST DOWN NIU (Angel Morales;Johnny Millard)."
at Cp41,"Ashford, Perez rush for 26 yards to the CP15, 1ST DOWN NIU (Greg Francis)."
at Cp15,"Hopkins, Jasmin rush for 2 yards to the CP13 (Erich Klemme;Johnny Millard)."
at Cp13,"HARNISH, Chand pass incomplete to Clark, Willie."
at Cp13,"Timeout Northern Illinois, clock 08:51."
at Cp13,"HARNISH, Chand rush for 11 yards to the CP2, 1ST DOWN NIU, out-of-bounds (Asa Jackson)."
at Cp02,"PENALTY CP unsportsmanlike conduct 1 yards to the CP1, 1ST DOWN NIU."
at Cp01,"Hopkins, Jasmin rush for 1 yard to the CP0, TOUCHDOWN, clock 08:35."
,"Sims, Mathew kick attempt good."
,"Northern Illinois 10, Cal Poly 0"
,"Drive: 7 plays, 53 yards, TOP 01:47"
,"Wedel, Tyler kickoff 49 yards to the CP21, Asa Jackson return 9 yards to the CP30, out-of-bounds (Ware, Dominique)."
at Cp30,CAL POLY drive start at 08:35.
at Cp30,"Jake Romanelli rush for 7 yards to the CP37 (Ward, Jimmie)."
at Cp37,"Mark Rodgers rush for no gain to the CP37, out-of-bounds (Ward, Jimmie), PENALTY CP illegal block 15 yards to the CP22, NO PLAY."
at Cp22,"Andre Broadous rush for 14 yards to the CP36 (Schiller, Pat)."
at Cp36,"Andre Broadous rush for loss of 1 yard to the CP35 (Ward, Jimmie)."
at Cp35,"Paul Hundley punt 21 yards to the NIU44, downed (blocked by STEPHEN, Courtn)."
,"Drive: 3 plays, 5 yards, TOP 02:18"
at Niu44,NORTHERN ILLINOIS drive start at 06:17.
