No.,Part #,Part # / Description,List Price,Price,
1,52441-SNA-A12,"52441-SNA-A12 / SPRING, RR.",$38.03,$27.38,
2,52610-SNE-A03,"52610-SNE-A03 / SHOCK ABSORBER ASSY., RR.",$131.18,$94.45,
3,52621-SB2-004,"52621-SB2-004 / WASHER, RR. SHOCK ABSORBER MOUNTING (SHOWA)",$5.42,$3.90,
4,52622-SNA-A01,"52622-SNA-A01 / BUSH, RR. SHOCK ABSORBER (LOWER)",$10.03,$7.22,
5,52631-SNA-A12,"52631-SNA-A12 / RUBBER, RR. SHOCK ABSORBER MOUNTING",$14.52,$10.45,
7,52631-SNA-A22,"52631-SNA-A22 / RUBBER, RR. SHOCK ABSORBER MOUNTING",$2.08,$1.50,
8,52691-SNV-P00,"52691-SNV-P00 / RUBBER, RR. SPRING MOUNTING",$23.43,$16.87,
8,52691-SNA-A01,"52691-SNA-A01 / RUBBER, RR. SPRING MOUNTING",$17.62,$12.68,
9,52748-SNA-A10,"52748-SNA-A10 / RUBBER, RR. SPRING SEAT (LOWER)",$23.55,$16.96,
10,90181-SNA-000,"90181-SNA-000 / BOLT, FLANGE (12X65)",$2.28,$1.64,
11,90364-SNA-901,"90364-SNA-901 / NUT, SELF-LOCK (10MM) (FUSE RASHI)",$4.12,$2.96,
11,90364-SNA-003,"90364-SNA-003 / NUT, SELF-LOCK (10MM) (NYLON) (FUSE RASHI)",$2.25,$1.62,
12,91560-SNA-A01,"91560-SNA-A01 / CLIP, TRIM",$2.42,$1.74,
