date,city,state,venue
3/5/2011,Mescalero,NM,Inn of the Mountain Gods Resort and Casino
3/11/2011,Biloxi,MS,IP Casino Resort and Spa
3/13/2011,Davie,FL,The Club at Seminole Hard Rock Casino
3/13/2011,Hollywood,FL,Seminole Hard Rock Hotel & Casino
3/18/2011,Calgary,AB,Southern Alberta Jubilee Auditorium
3/19/2011,Enoch,AB,River Cree Casino
3/30/2011,New York,NY,P.C. Richard & Son Theater
3/31/2011,New York,NY,P.C. Richard & Son Theater
4/9/2011,Mount Pleasant,MI,Soaring Eagle Casino & Resort
4/14/2011,Chandler,AZ,Gila River Casino
4/15/2011,Cabazon,CA,Morongo Casino Resort and Spa
4/29/2011,Henderson,NV,Green Valley Ranch
4/30/2011,Tucson,AZ,Rialto Theatre
5/15/2011,Panama City,FL,Marina Civic Center
5/28/2011,Valdosta,GA,Wild Adventures Theme Park
5/29/2011,Marksville,LA,Paragon Casino Resort
7/21/2011,Sandy,UT,Rio Tinto Stadium
8/13/2011,Camden,NJ,Susquehanna Bank Center
8/27/2011,Burgettstown,PA,First Niagara Pavilion
8/30/2011,Syracuse,NY,NY State Fair
9/24/2011,Dallas,TX,Gexa Energy Pavilion
9/25/2011,The Woodlands,TX,The Cynthia Woods Mitchell Pavilion
9/30/2011,Albuquerque,NM,Isleta Amphitheater
10/5/2011,Concord,CA,Concord Pavilion
10/7/2011,Chula Vista,CA,Sleep Train Amphitheatre
10/14/2011,Wheatland,CA,Toyota Amphitheatre
10/15/2011,Mountain View,CA,Shoreline Amphitheatre
12/2/2011,Rama,ON,Casino Rama
12/3/2011,Rama,ON,Casino Rama
