#,Name,Age,Club,LMSC,Time
1,R Sean Justice,35,ARIZ,Arizona,16:38.48
2,Ryan E Cox,38,MVN,Southern Pacific,17:19.91
3,Ramses Rodriguez,39,SYSM,Florida,18:26.32
4,Matt Hooper,38,UNAT,Florida Gold Coast,18:39.89
5,Matthew J Mauriello,35,FISH,Metropolitan,19:25.64
6,Derek Speerschneider,38,NCMS,North Carolina,20:07.14
7,Steve Ripic,38,MVN,Southern Pacific,20:15.46
8,WonKee Moon,37,DCAC,Potomac Valley,20:17.52
9,Brian J Kremers,38,LBG,Southern Pacific,20:17.61
10,David R Hughes,37,SDSM,San Diego - Imperial,20:36.12
