Clip Type,Clip Name,Viewing Progress,Run Length
Clip,Modern Castle: ABC Mash-Up Minute,,98 sec
Preview,Beckett's Career Crossroads,,76 sec
Preview,Castle Owes It All to Beckett,,2 min 22 sec
Preview,Castle Fights for His Life,,2 min 13 sec
Preview,Kate Beckett for State Senate?,,120 sec
Preview,Which Castle Is the Best?,,45 sec
Clip,Sneak Peek: Castle's First Murder Mystery,,72 sec
Preview,Beckett's Badass Takedown,,72 sec
Preview,The Castle & Beckett Skit,,76 sec
Preview,"Carly Rae Jepsen Sings ""I Really Like You""",,74 sec
Preview,A Beckett Impersonation,,50 sec
Preview,Castle Gives Martha a Pep Talk,,87 sec
Clip,Jaleel White Guest Stars On Castle,,2 min 16 sec
Clip,Carly Rae Jepsen Performs On Castle,,107 sec
Preview,Castle MacGyvers It,,64 sec
Preview,Castle Finds a Snake On the Plane,,73 sec
Preview,Castle and Alexis Solved the Case,,42 sec
Preview,Alexis Disarms the Killer,,113 sec
Preview,Castle Flies Oceanic Air,,78 sec
Clip,Sneak Peek: Castle Investigates a Mid-Air Mystery,,82 sec
Preview,Castle Meets Bilal,,103 sec
Preview,What if Castle Did Something Terrible?,,86 sec
Preview,Castle and Beckett Finally Know the Truth,,61 sec
Preview,Bilal Has Answers for Castle,,65 sec
Preview,Esposito Never Believed Castle's Story,,71 sec
Preview,Castle Prevented a Terrorist Attack,,105 sec
Clip,Sneak Peek: Castle Starts to Remember,,101 sec
Preview,Beckett Recognizes the Victim,,62 sec
Preview,Castle Gives up Performing for Beckett,,79 sec
Preview,Ryan and Esposito Get Lucky,,68 sec
Preview,Beckett Has Stage Fright,,86 sec
Preview,Castle and Beckett Flirt With the Law,,66 sec
Clip,A Grave Situation,,80 sec
Preview,Ryan Has to Bring Frank in,,2 min 15 sec
Preview,Ryan Chases an Assassin,,77 sec
Preview,Is Castle a One Direction Fan?,,70 sec
Preview,Ryan Arrests the Shooter,,99 sec
Clip,Sneak Peek: Beckett Uncovers a Motive for Murder,,80 sec
Preview,A Suspect Gets the Drop On Ryan and Esposito,,57 sec
Preview,Beckett's Confidence Is Back,,64 sec
Preview,Castle Doesn't Need Ryan's Marriage Advice,,62 sec
Preview,Inspector Zhang Isn't Perfect,,75 sec
Preview,Beckett Realizes She's Insecure,,47 sec
Preview,Castle Meets the Best Case Ever,,102 sec
Preview,Castle Runs Around in a Space Suit,,2 min 5 sec
Preview,Caskett Needs to Get a Room,,41 sec
Preview,Martha Announces She's Moving Out,,109 sec
Preview,Beckett to the Future,,3 min 46 sec
Preview,Beckett Secret's Sci-Fi Past Revealed,,2 min 41 sec
Preview,Castle and Beckett: Abducted by Aliens?,,2 min 9 sec
Clip,It's a Space Case!,,50 sec
Preview,Beckett Survives,,2 min 29 sec
Preview,Gates Knows What Kate Sees in Castle,,62 sec
Preview,Castle Defeats 3XK,,2 min 27 sec
Preview,Beckett Is Killed,,40 sec
Preview,Castle Rushes Home Fearing the Worst,,61 sec
Preview,Castle and Beckett Love Each Other,,96 sec
Clip,Sneak Peek: Castle Fights for Beckett,,113 sec
Preview,"Oh, How the Tables Have Turned",,113 sec
Preview,Caskett Babies Coming Soon?,,76 sec
Preview,Tyson and Nieman Took Beckett,,106 sec
Preview,Castle Digs in About Tyson's Mom,,2 min 28 sec
Preview,Castle Faces the Real Triple Killer,,4 min 14 sec
Preview,The Triple Killer's Gruesome M.O.,,105 sec
Preview,Castle Is Arrested for Murder,,120 sec
Preview,Castle Doen't Believe 3XK Is Really Dead,,79 sec
Preview,Castle's Surprise Jail Visitor: the Triple Killer,,3 min 10 sec
Clip,Jerry Tyson?,,2 min 59 sec
Preview,Ryan Made a Dating Profile for Javi,,61 sec
Preview,Caskett Agrees Naps Are Good,,65 sec
