,AERO,EDGE,SPRINT,PACE,COMP,FIT,SPORT,S1,ASCENT
Guide to ride and 4 instructional SpinningВ® DVDs,вЂў,вЂў,вЂў,вЂў,вЂў,вЂў,вЂў,вЂў,вЂў
One-motion emergency stop feature,вЂў,вЂў,вЂў,вЂў,вЂў,вЂў,вЂў,вЂў,вЂў
Patented SpinningВ® loop handlebar,вЂў,вЂў,вЂў,вЂў,вЂў,вЂў,вЂў,вЂў,вЂў
Molded contoured fender sweat guards,вЂў,вЂў,вЂў,вЂў,вЂў,вЂў,,вЂў,вЂў
Stainless steel attachment hardware,вЂў,вЂў,вЂў,вЂў,,,,вЂў,вЂў
5 degree rise ergo bars,вЂў,вЂў,вЂў,вЂў,,,,вЂў,вЂў
Ovalized vertical slider tubes for seat and bars,вЂў,вЂў,вЂў,вЂў,,,,вЂў,вЂў
Sweat resistant full size oval tube frame,вЂў,вЂў,вЂў,,,,,,вЂў
43 lb smooth section chrome plated flywheel,вЂў,вЂў,вЂў,,,,,,вЂў
Commercial spec heavy duty bottom bracket,вЂў,вЂў,вЂў,,,,,,вЂў
Oversized commercial spec cast steel crankset,вЂў,вЂў,вЂў,,,,,,вЂў
Road bike feel with Q-factor of 155cm,вЂў,вЂў,вЂў,,,,,,вЂў
2 stage clear coat silver powder coated frame,вЂў,вЂў,вЂў,,,,,,вЂў
Co-molded rubber resistance knob,вЂў,вЂў,вЂў,,,,,,вЂў
Co-molded rubber adjustment knobs,вЂў,вЂў,вЂў,,,,,,вЂў
Weight limit 350 lb,вЂў,вЂў,вЂў,,,,,,вЂў
Handlebar with integral water bottle holders,вЂў,вЂў,,,,,,,
Dual-sided SPDВ®-compatiable heavy duty pedals,вЂў,вЂў,,,,,,,
Micro adjust multi-position slim steel seatpost,вЂў,вЂў,,,,,,,
Fore-aft micro adjustable handlebars,вЂў,,,,,,,,
Standard toe clip and strap pedals,,,вЂў,вЂў,вЂў,вЂў,вЂў,вЂў,вЂў
31 lb chrome plated flywheel,,,,вЂў,вЂў,вЂў,вЂў,вЂў,
Weight limit 250 lb,,,,вЂў,вЂў,вЂў,вЂў,вЂў,
Standard cast steel crankset,,,,вЂў,вЂў,вЂў,вЂў,вЂў,
Metallic silver powder coated frame,,,,вЂў,вЂў,вЂў,,,
Sweat resistant oval tube compact geometry frame,,,,вЂў,,,,,
Oval and square tube mix compact geometry frame,,,,,вЂў,,,вЂў,
Square tube compact geometry frame,,,,,,вЂў,вЂў,,
