HEALTH PROFESSIONS AND RELATED PROGRAMS,Bachelor,Master,Doctorate
Audiology/Audiologist,-,-,8
Audiology/Audiologist and Speech-Language Pathology/Pathologist,43,-,-
Clinical Laboratory Science/Medical Technology/Technologist,33,-,-
Community Health Services/Liaison/Counseling,-,4,-
"Dental Clinical Sciences, General",-,6,-
Dental Hygiene/Hygienist,19,3,-
Dentistry,-,-,43
Medicine,-,-,99
Nursing Practice,-,-,8
Nursing Science,-,-,3
Occupational Therapy/Therapist,-,42,-
Pathology/Pathologist Assistant,-,5,-
Pharmaceutics and Drug Design,-,1,7
Pharmacy,-,-,81
Physical Therapy/Therapist,-,-,31
"Public Health, General",-,40,6
Registered Nursing/Registered Nurse,243,43,-
Speech-Language Pathology/Pathologist,-,22,-
Vocational Rehabilitation Counseling/Counselor,-,15,-
