Domain,Daily traffic,Daily earnings,Rank,Ip Adress
dating.se,в‰€904,$4.03,"1,333,658",194.152.38.143
spilskyen.tv2.dk,"в‰€293,048",$880.24,"3,631",194.152.38.21
spigo.de,"в‰€2,603",$9.27,"401,348",194.152.38.22
spigo.dk,"в‰€4,887",$16.18,"237,654",194.152.38.23
spigo.es,в‰€904,$4.03,"1,263,672",194.152.38.24
spigo.pt,в‰€904,$4.03,"1,179,336",194.152.38.27
spigo.it,"в‰€1,358",$5.46,"809,448",194.152.38.29
spigo.se,в‰€904,$4.03,"1,282,791",194.152.38.29
n/a spigo.co.uk,в‰€502,$2.72,"2,454,167",194.152.38.102
n/a dating.dk,"в‰€39,636",$120.4,"25,238",194.152.38.130
n/a dating.no,в‰€904,$4.03,"1,281,775",194.152.38.143
n/a spilop.dk,в‰€300,$2.02,"3,759,312",194.152.38.24
n/a spigo.nl,в‰€300,$2.02,"3,895,733",194.152.38.25
n/a spigo.be,в‰€263,$1.86,"4,492,137",194.152.38.25
n/a spigo.in,в‰€502,$2.72,"2,339,633",194.152.38.26
n/a spigo.cz,в‰€644,$3.2,"1,792,122",194.152.38.26
n/a spigo.fr,в‰€644,$3.2,"1,933,454",194.152.38.26
n/a spigo.gr,в‰€52,$0.74,"26,962,627",194.152.38.26
n/a spigo.com.br,"в‰€2,315",$8.36,"494,002",194.152.38.27
n/a spigo.no,в‰€300,$2.02,"3,680,878",194.152.38.27
