Loc #,Frequency,Emission,Class,Units,Pag,Pwr,Lat,Long,City,County,State
1,39.46000000,20K0F3E,FB,1,0,50.000,42.94783,-76.43078,SKANEATELES,ONONDAGA,NY
1,39.46000000,11K0F3E,FB,1,0,50.000,42.94783,-76.43078,SKANEATELES,ONONDAGA,NY
1,154.74000000,11K0F3E,FB,1,0,35.000,42.94783,-76.43078,SKANEATELES,ONONDAGA,NY
1,154.74000000,20K0F3E,FB,1,0,35.000,42.94783,-76.43078,SKANEATELES,ONONDAGA,NY
1,154.86000000,11K0F3E,FB,1,0,35.000,42.94783,-76.43078,SKANEATELES,ONONDAGA,NY
1,154.86000000,20K0F3E,FB,1,0,35.000,42.94783,-76.43078,SKANEATELES,ONONDAGA,NY
1,155.41500000,20K0F3E,FB,1,0,35.000,42.94783,-76.43078,SKANEATELES,ONONDAGA,NY
1,155.41500000,11K0F3E,FB,1,0,35.000,42.94783,-76.43078,SKANEATELES,ONONDAGA,NY
1,155.64000000,11K0F3E,FB,1,0,35.000,42.94783,-76.43078,SKANEATELES,ONONDAGA,NY
1,155.64000000,20K0F3E,FB,1,0,35.000,42.94783,-76.43078,SKANEATELES,ONONDAGA,NY
1,155.68500000,11K0F3E,FB,1,0,35.000,42.94783,-76.43078,SKANEATELES,ONONDAGA,NY
1,155.68500000,20K0F3E,FB,1,0,35.000,42.94783,-76.43078,SKANEATELES,ONONDAGA,NY
