CD Rates,Minimum Opening Deposit,APY,Interest Rate
CD Disclosures (1),,,
14 Day Certificate of Deposit,"$5,000",0.10%,0.10%
90 Day Certificate of Deposit,$500,0.10%,0.10%
180 Day Certificate of Deposit,$500,0.20%,0.20%
1 Year Certificate of Deposit,$500,0.30%,0.30%
18 Month Certificate of Deposit,$500,0.40%,0.40%
2 Year Certificate of Deposit,$500,0.45%,0.45%
30 Month Certificate of Deposit,$500,0.60%,0.60%
3 Year Certificate of Deposit,$500,0.70%,0.70%
4 Year Certificate of Deposit,$500,0.90%,0.90%
5 Year Certificate of Deposit,$500,1.15%,1.15%
